# The file is broken into the CPU section followed by the video memory and GPU sections.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The first three columns of the CPU section must be ""cpu mhz"" then ""sys mb"" then ""cpu cores"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The first column of the video memory section must be ""vidmem"". This triggers the start of the video memory section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# The first column of the GPU section must be ""gpu"".  This triggers the start of the GPU section.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Each subsequent column header in both sections is a dvar name.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In the CPU section, each dvar gets the value listed in its column for the row of the system settings that most closely match the current machine, without going over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In the video memory section, each dvar gets the value listed in its column for the row of the video memory that most closely matches the current video card, without going over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# In the GPU section, each dvar gets the value listed in its column for the row of the first GPU string to match.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# For GPU names, spaces are treated as wildcards that match any sequence of 0 or more non-numeric characters.  You can use * to match 0 or more of any character, or ? to match any single character.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu ghz,sys mb,cpu cores,ragdoll_mp_limit,r_lodScaleSkinned,r_lodBiasSkinned,r_lodScaleRigid,r_lodBiasRigid,snd_enableEq,r_elevatedPriority,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,128,1,16,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,128,2,32,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,128,2,32,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,128,4,32,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1024,1,16,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.5,1024,2,32,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1024,2,32,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1024,4,32,1,0,1,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vidmem,r_usePrebuiltSpotShadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpu,r_imageQuality,sm_sunShadowScaleLocked,r_distortion,r_aaMode,r_dof_enable,r_ssao,r_fur_shader,r_apex_turbulence,r_texFilterAnisoMax,r_texFilterAnisoMin,r_texFilterMipMode,r_subdivLimit,r_adaptiveSubdivBaseFactor,r_adaptiveSubdivPatchFactor,r_fxaaSubpixel,r_umbra,r_depthPrepass,r_dlightlimit,r_dof_hq,r_tessellation,r_tessellationCutoffDistanceBase,r_tessellationCutoffFalloffBase,r_subdomainLimit,r_subdomainScale,r_useComputeSkinning,r_asyncCompute,r_mbEnableA,r_mbFastEnableA,r_cmdbuf_worker,r_lightCacheLessFrequentPeriod,r_lightCacheLessFrequentMaxDistance,r_reactiveTurbulenceEnable,r_picmip_manual,r_picmip,r_picmip_bump,r_picmip_spec,r_picmip_water,sm_enable,r_SkinnedCacheThreshold,r_SkinnedCacheSize
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 4*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,0,960,320,3,1,1,0,0,1,0,10,64,1,0,2,3,3,0,0,0.85,512000
GeForce GT 4*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,0,960,320,3,1,1,0,0,1,0,10,64,1,0,2,3,3,0,0,0.85,512000
GeForce 4*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,0,960,320,3,1,1,0,0,1,0,10,64,1,0,2,3,3,0,0,0.85,512000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 56*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
GeForce GTX 57*,2,0,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.8,512000
GeForce GTX 5*,3,0,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
GeForce GT 5*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
GeForce 5*,1,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.85,512000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeForce GTX 66*,3,0,0,1,0,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,0,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
GeForce GTX 67*,3,0,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
GeForce GTX 6*,3,1,1,2,1,0,0,0,16,1,0,3,1.5,0.5,0.33,1,0,4,0,1,960,320,3,1,1,0,1,1,0,10,64,1,0,0,0,0,0,1,0.748,600000
