empty,scope,acog,eotech,reflex,tracker,hybrid,vzscope,firetypeburst,firetypesingle,gl,shotgun,silencer,flashsuppress,barrelrange,grip,alienmuzzlebrake,xmags
weapon_pistol,,acogpistol,,,,,,,,,,silencer02,flashsuppress02,barrelrange02,,alienmuzzlebrakepi,
weapon_shotgun,,,eotechshotgun,reflexshotgun,,,,,,,,silencer03,flashsuppress03,barrelrange03,,alienmuzzlebrakesg,
weapon_smg,,acogsmg,eotechsmg,reflexsmg,trackersmg,hybridsmg,,,,,,,,,,,
weapon_assault,,,,,,,,alienfiretypeburst,firetypesingle,,,,,,,,
weapon_lmg,,,eotechlmg,reflexlmg,,,,,,,shotgunlmg,,,,,,
weapon_dmr,,,,,,,,alienfiretypeburstdmr,,,,silencer03,flashsuppress03,barrelrange03,,alienmuzzlebrakesn,
weapon_sniper,,,,,,,,,,,,silencer03,flashsuppress03,barrelrange03,,alienmuzzlebrakesn,
iw6_alienak12,,,,,,,,alienfiretypeburstlight,firetypesinglelight,,,,,,,,
iw6_aliencbjms,,,,,,,,,,,,,,,griphide,,
iw6_alieng28,g28scope,,,,,,,alienfiretypeburstg28,,,,,,,,,
iw6_alienhoneybadger,,,,,,,,alienfiretypeburst,firetypesingle,,,,,,,,
iw6_alienimbel,imbelscope,,,,,,,alienfiretypeburstdmr,,,,,,,,,
iw6_alienkriss,,,,,,,,,,,,,,,griphide,,
iw6_alienl115a3,alienl115a3scope,,,,,,alienl115a3vzscope,,,,,silencerl115a3,,,,,
iw6_alienm27,,,,,,,,,,,,,,,griphide,,
iw6_alienmagnum,,,,,,,,,,,,silencer02round,,,,,
iw6_alienmaul,,,eotechshotgun,reflexshotgun,,,,,,,,,,,griphide,,
iw6_alienmsbs,,,,,,,,,firetypesinglelight,,,,,,griphide,,
iw6_alienmts255,,,eotechshotgun,reflexshotgun,,,,,,,,,,,griphide,,
iw6_alienpp19,,,,,,,,,,,,,,,griphide,,
iw6_alienvks,alienvksscope,,,,,,vksvzscope,,,,,,,,,,
iw6_aliensc2010,,,,,,,,alienfiretypeburst,,,,,,,,alienmuzzlebrakesn,
iw6_alienbren,,,,,,,,alienfiretypeburst,,,,,,,,,
iw6_alienfp6,,,eotechshotgun,reflexshotgun,,,,,,,,,,,,,
iw6_aliendlc15,,,,,,,,alienfiretypeburstlight,,,,,,,,,
iw6_aliendlc23,dlcweap02scope,,,,,,,,,,,,,,griphide,,
iw6_arkalienimbel,imbelscope,,,,,,,alienfiretypeburstdmr,,,,,,,,,
iw6_arkalienmaul,,,eotechshotgun,reflexshotgun,,,,,,,,,,,griphide,,
iw6_arkalienvks,alienvksscope,,,,,,vksvzscope,,,,,,,,,,
iw6_arkaliendlc15,,,,,,,,alienfiretypeburstlight,,,,,,,,,
iw6_arkaliendlc23,dlcweap02scope,,,,,,,,,,,,,,griphide,,
iw6_arkalienr5rgp,,,,,,,,alienfiretypeburstlight,,,,,,,,,
iw6_alienmp443,,,,,,,,,,,,,,,,alienmuzzlebrakepa,
iw6_alien_m9a1,,,,,,,,,,,,,,,,alienmuzzlebrakep3,
iw5_alienmp443,,,,,,,,,,,,,,,,alienmuzzlebrakepa,
iw5_alien_m9a1,,,,,,,,,,,,,,,,alienmuzzlebrakep3,
