a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,,none,LUA_MENU_NO_ATTACHMENT,none,none,,,,,,,,,,,,,
1,,rail,LUA_MENU_IRON_SIGHT,ironsight,ironsight,,,,,,,,,,,,,
2,,rail,LUA_MENU_ACOG_SCOPE,acog,acog,,,,,,,,,,,,,
3,,rail,LUA_MENU_ACOG_SCOPE,acogsmg,acog,,,,,,,,,,,,,
4,,rail,LUA_MENU_ACOG_SCOPE,acogpistol,acog,,,,,,,,,,,,,
5,,rail,LUA_MENU_ECLAN_SCOPE,eclan,eclan,,,,,,,,,,,,,
6,,rail,LUA_MENU_RED_DOT_SIGHT,reflex,reflex,,,,,,,,,,,,,
7,,rail,LUA_MENU_RED_DOT_SIGHT,reflexsmg,reflex,,,,,,,,,,,,,
8,,rail,LUA_MENU_RED_DOT_SIGHT,reflexlmg,reflex,,,,,,,,,,,,,
9,,rail,LUA_MENU_RED_DOT_SIGHT,reflexshotgun,reflex,,,,,,,,,,,,,
10,,rail,LUA_MENU_THERMAL,thermal,thermal,,,,,,,,,,,,,
11,,rail,LUA_MENU_THERMAL,thermalsmg,thermal,,,,,,,,,,,,,
12,,rail,LUA_MENU_EOTECH,eotech,eotech,,,,,,,,,,,,,
13,,rail,LUA_MENU_EOTECH,eotechsmg,eotech,,,,,,,,,,,,,
14,,rail,LUA_MENU_EOTECH,eotechlmg,eotech,,,,,,,,,,,,,
15,,rail,LUA_MENU_EOTECH,eotechshotgun,eotech,,,,,,,,,,,,,
16,,rail,LUA_MENU_HYBRID,hybrid,hybrid,,,,,,,,,,,,,
17,,rail,LUA_MENU_HYBRID,hybridsmg,hybrid,,,,,,,,,,,,,
18,,rail,LUA_MENU_TRACKER,tracker,tracker,,,,,,,,,,,,,
19,,rail,LUA_MENU_TRACKER,trackersmg,tracker,,,,,,,,,,,,,
20,,rail,LUA_MENU_VZSCOPE,vzscope,vzscope,,,,,,,,,,,,,
21,,rail,LUA_MENU_DONE_SELECTING,gm6scope,scope,,,,,,,,,,,,,
22,,rail,LUA_MENU_VZSCOPE,gm6vzscope,vzscope,,,,,,,,,,,,,
23,,rail,LUA_MENU_DONE_SELECTING,alienl115a3scope,scope,,,,,,,,,,,,,
24,,rail,LUA_MENU_VZSCOPE,alienl115a3vzscope,vzscope,,,,,,,,,,,,,
25,,rail,LUA_MENU_DONE_SELECTING,usrscope,scope,,,,,,,,,,,,,
26,,rail,LUA_MENU_VZSCOPE,usrvzscope,vzscope,,,,,,,,,,,,,
27,,rail,LUA_MENU_DONE_SELECTING,alienvksscope,scope,,,,,,,,,,,,,
28,,rail,LUA_MENU_VZSCOPE,alienvksvzscope,vzscope,,,,,,,,,,,,,
29,,rail,LUA_MENU_DONE_SELECTING,imbelscope,scope,,,,,,,,,,,,,
30,,rail,LUA_MENU_DONE_SELECTING,g28scope,scope,,,,,,,,,,,,,
31,,rail,LUA_MENU_DONE_SELECTING,mk14scope,scope,,,,,,,,,,,,,
32,,rail,LUA_MENU_DONE_SELECTING,svuscope,scope,,,,,,,,,,,,,
33,,barrel,LUA_MENU_SILENCER,silencer,silencer,,,,,,,,,,,,,
34,,barrel,LUA_MENU_SILENCER,silencer02,silencer,,,,,,,,,,,,,
35,,barrel,LUA_MENU_SILENCER,silencer02round,silencer,,,,,,,,,,,,,
36,,barrel,LUA_MENU_SILENCER,silencer03,silencer,,,,,,,,,,,,,
37,,barrel,LUA_MENU_SILENCER,silencerl115a3,silencer,,,,,,,,,,,,,
38,,barrel,LUA_MENU_BARREL_BORED,barrelbored,barrelbored,,,,,,,,,,,,,
39,,barrel,LUA_MENU_BARREL_RANGE,barrelrange,barrelrange,,,,,,,,,,,,,
40,,barrel,LUA_MENU_BARREL_RANGE,barrelrange02,barrelrange,,,,,,,,,,,,,
41,,barrel,LUA_MENU_BARREL_RANGE,barrelrange03,barrelrange,,,,,,,,,,,,,
42,,barrel,LUA_MENU_FLASH_SUPPRESS,flashsuppress,flashsuppress,,,,,,,,,,,,,
43,,barrel,LUA_MENU_FLASH_SUPPRESS,flashsuppress02,flashsuppress,,,,,,,,,,,,,
44,,barrel,LUA_MENU_FLASH_SUPPRESS,flashsuppress03,flashsuppress,,,,,,,,,,,,,
45,,undermount,LUA_MENU_GRIP,grip,grip,,,,,,,,,,,,,
46,,undermount,LUA_MENU_GRIP,griphide,grip,,,,,,,,,,,,,
47,,undermount,LUA_MENU_GRENADE_LAUNCHER,gl,gl,,,,,,,,,,,,,
48,,undermount,LUA_MENU_GRENADE_LAUNCHER,glarx160,gl,,,,,,,,,,,,,
49,,undermount,LUA_MENU_AKIMBO,akimbo,akimbo,,,,,,,,,,,,,
50,,undermount,LUA_MENU_SHOTGUN,shotgun,shotgun,,,,,,,,,,,,,
51,,undermount,LUA_MENU_SHOTGUN,shotgunlmg,shotgun,,,,,,,,,,,,,
52,,undermount,LUA_MENU_TACTICAL,tactical,tactical,,,,,,,,,,,,,
53,,undermount,LUA_MENU_HEARTBEAT,heartbeat,heartbeat,,,,,,,,,,,,,
54,,unique,LUA_MENU_FMJ,fmj,fmj,,,,,,,,,,,,,
55,,unique,LUA_MENU_ROF,rof,rof,,,,,,,,,,,,,
56,,unique,LUA_MENU_XMAGS,xmags,xmags,,,,,,,,,,,,,
57,,unique,LUA_MENU_AMMO_SLUG,ammoslug,ammoslug,,,,,,,,,,,,,
58,,unique,LUA_MENU_FIRE_TYPE_AUTO,firetypeauto,firetypeauto,,,,,,,,,,,,,
59,,unique,LUA_MENU_FIRE_TYPE_SINGLE,firetypesingle,firetypesingle,,,,,,,,,,,,,
60,,unique,LUA_MENU_FIRE_TYPE_SINGLE,firetypesinglelight,firetypesingle,,,,,,,,,,,,,
61,,unique,LUA_MENU_FIRE_TYPE_BURST,alienfiretypeburst,firetypeburst,,,,,,,,,,,,,
62,,unique,LUA_MENU_FIRE_TYPE_BURST,alienfiretypeburstlight,firetypeburst,,,,,,,,,,,,,
63,,unique,LUA_MENU_FIRE_TYPE_BURST,alienfiretypeburstdmr,firetypeburst,,,,,,,,,,,,,
64,,unique,LUA_MENU_FIRE_TYPE_BURST,alienfiretypeburstg28,firetypeburst,,,,,,,,,,,,,
65,,unique,LUA_MENU_RIOTSHIELD_HEARTBEAT,rshieldheartbeat,rshieldheartbeat,,,,,,,,,,,,,
