a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Checkpoint 1 (0),0,4,5,,goon,3 4 5,,,,,,,,,,
1,1,1,10,4,5,,goon,3 5,brute,1 1 1,,,,,,,,
2,1,2,60,4,5,,goon,4 5,,,,,,,,,,
3,1,END (90),91,4,5,,goon,6 6 6,,,,,,,,,,
4,1,Checkpoint 1 (x1),290,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
5,2,Checkpoint 2 (0),0,4,7,,goon,4 5 10,,,,,,,,,,
6,2,1,10,4,7,,goon,4 5,,,,,,,,,,
7,2,2,35,18,5,,goon,4 6,brute,1 1 1,,,,,,,,
8,2,3,50,5,5,,goon,3 7,brute,0 1,spitter,0 1 1,,,,,,
9,2,4,90,18,10,,goon,6 8,,,,,,,,,,
10,2,END (120),110,5,5,,goon,6 8,,,,,,,,,,
11,2,Checkpoint 2 (x1),320,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
12,3,Checkpoint 3 (0),0,7,5,,goon,4 6 8,,,,,,,,,,
13,3,1,30,,,,goon,4 5,,,spitter,2 2 3,,,,,,
14,3,2,35,,,,,,,,,,,,,,locust,1 1 1
15,3,3,45,5,5,,goon,6 6 6,brute,0 1 2,,,,,,,,
16,3,4,60,,,,goon,4 6,,,spitter,2 2,,,,,,
17,3,5,70,,,,goon,6 6,,,,,minion,4 4 8,,,,
18,3,6,80,5,5,,goon,4 6,brute,1 2,,,,,,,,
19,3,7,90,5,7,,goon,3 5,,,spitter,2 2,,,,,,
20,3,8,100,,,,goon,4 4,,,,,minion,6 6,,,,
21,3,END (120),110,6,5,,goon,4 8,,,,,,,,,,
22,3,Checkpoint 3 (x1),320,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
23,4,Checkpoint 4 (0),0,5,5,,goon,3 3 4,brute,2 2 3,,,,,,,,
24,4,1,10,,,,,,,,,,minion,4 4 12,,,,
25,4,2,20,,,,goon,3 3,,,,,,,,,,
26,4,3,30,,,,goon,3 3,,,,,minion,4 4,,,,
27,4,4,40,,,,,,,,spitter,1 1 2,,,,,,
28,4,5,50,,,,goon,2 3,,,,,minion,6 6,,,,
29,4,6,60,,,,goon,3 3,,,,,,,,,,
30,4,7,70,,,,,,,,,,minion,6 6,,,locust,1 1 1
31,4,8,80,,,,goon,2 3,,,,,,,,,,
32,4,9,90,,,,,,,,spitter,1 1,minion,8 8,,,,
33,4,10,100,,,,goon,3 3,,,,,,,,,,
34,4,END (120),110,5,5,,goon,1 4,,,,,minion,9 9,,,,
35,4,Checkpoint 4 (x1),320,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
36,5,Spider 1 (0),0,,,,goon,2 2 2,,,,,,,,,,
37,5,1,15,,,,goon,2 2,,,,,,,,,,
38,5,2,30,,,,,,brute,2 2 2,,,minion,3 3 4,,,,
39,5,3,60,,,,,,brute,2 2,,,minion,3 3,,,,
40,5,4,75,,,,goon,1 1,brute,1 1,,,,,,,,
