a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Tier 1,0,,,,goon,10 10 18,,,,,,,,,,
1,1,1,5,,,,goon,10 10 18,,,,,,,,,,
2,1,2,10,,,,goon,10 10 18,,,,,,,,,,
3,1,3,15,,,,goon,10 10 18,,,,,,,,,,
4,1,Tier 2,20,,,,goon,12 12 15,,,seeder,3 3 3,,,,,,
5,1,5,25,,,,goon,12 12 15,,,,,,,,,,
6,1,6,30,,,,goon,12 12 15,,,seeder,3 3 3,,,,,,
7,1,7,35,,,,goon,12 12 15,,,,,,,,,,
8,1,Tier 3,40,,,,goon,12 12 13,brute,1 1 1,seeder,4 4 4,,,,,,
9,1,9,45,,,,goon,12 12 13,brute,1 1 1,,,,,,,,
10,1,10,50,,,,goon,12 12 13,brute,1 1 1,seeder,4 4 4,,,,,,
11,1,11,55,,,,goon,12 12 13,brute,1 1 1,,,,,,,,
12,1,Tier 4,60,,,,goon,10 10 10,brute,2 2 2,seeder,4 4 4,minion_nometeor,2 2 2,,,,
13,1,13,65,,,,goon,10 10 10,brute,2 2 2,,,minion_nometeor,2 2 2,,,,
14,1,14,70,,,,goon,10 10 10,brute,2 2 2,seeder,4 4 4,minion_nometeor,2 2 2,,,,
15,1,15,75,,,,goon,10 10 10,brute,2 2 2,,,minion_nometeor,2 2 2,,,,
16,1,Tier 5,80,,,,goon,6 6 6,brute,3 3 3,seeder,4 4 4,minion_nometeor,4 4 4,elite,1 1 1,,
17,1,17,85,,,,goon,6 6 6,brute,3 3 3,,,minion_nometeor,4 4 4,,,,
18,1,18,90,,,,goon,6 6 6,brute,3 3 3,seeder,4 4 4,minion_nometeor,4 4 4,,,,
19,1,19,95,,,,goon,6 6 6,brute,3 3 3,,,minion_nometeor,4 4 4,,,,
20,1,Tier 6,100,,,,goon,5 5 5,brute,4 4 4,seeder,4 4 4,minion_nometeor,4 4 4,elite,1 1 1,,
21,1,21,105,,,,goon,5 5 5,brute,4 4 4,,,minion_nometeor,4 4 4,,,,
22,1,22,110,,,,goon,5 5 5,brute,4 4 4,seeder,4 4 4,minion_nometeor,4 4 4,,,,
23,1,23,115,,,,goon,5 5 5,brute,4 4 4,,,minion_nometeor,4 4 4,,,,
24,1,Tier 7,120,,,,goon,4 4 4,brute,4 4 4,seeder,4 4 4,minion_nometeor,4 4 4,elite,2 2 2,,
25,1,25,125,,,,goon,4 4 4,brute,4 4 4,,,minion_nometeor,4 4 4,,,,
26,1,26,130,,,,goon,4 4 4,brute,4 4 4,seeder,4 4 4,minion_nometeor,4 4 4,,,,
27,1,27,135,,,,goon,4 4 4,brute,4 4 4,,,minion_nometeor,4 4 4,,,,
28,1,Tier 8,140,,,,goon,2 2 2,brute,4 4 4,seeder,4 4 4,minion_nometeor,6 6 6,elite,2 2 2,,
29,1,29,145,,,,goon,2 2 2,brute,4 4 4,,,minion_nometeor,6 6 6,,,,
30,1,30,150,,,,goon,2 2 2,brute,4 4 4,seeder,4 4 4,minion_nometeor,6 6 6,,,,
31,1,31,155,,,,goon,2 2 2,brute,4 4 4,,,minion_nometeor,6 6 6,,,,
32,1,Tier 9,160,,,,goon,2 2 2,brute,5 5 5,seeder,4 4 4,minion_nometeor,4 4 4,elite,3 3 3,,
33,1,33,165,,,,goon,2 2 2,brute,5 5 5,,,minion_nometeor,4 4 4,,,,
34,1,34,170,,,,goon,2 2 2,brute,5 5 5,seeder,4 4 4,minion_nometeor,4 4 4,,,,
35,1,35,175,,,,goon,2 2 2,brute,5 5 5,,,minion_nometeor,4 4 4,,,,
36,2,Tier 10,0,,,,goon,2 2 2,brute,5 5 5,seeder,6 6 6,minion_nometeor,2 2 2,elite,3 3 3,locust,1 1 1
37,2,37,5,,,,goon,2 2 2,brute,5 5 5,,,minion_nometeor,2 2 2,,,,
38,2,38,10,,,,goon,2 2 2,brute,5 5 5,seeder,6 6 6,minion_nometeor,2 2 2,,,locust,1 1 1
39,2,39,15,,,,goon,2 2 2,brute,5 5 5,,,minion_nometeor,2 2 2,,,,
40,2,Tier 11,20,,,,,,brute,4 4 4,seeder,4 4 4,minion_nometeor,7 7 7,elite,3 3 3,locust,1 1 1
