a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,0,0,,,,goon,3 4 5,,,,,,,,,,
1,1,1,15,3,5,,goon,3 6,brute,1 1 1,,,,,,,,
2,1,2,60,3,5,,goon,4 6,,,,,,,,,,
3,1,3,91,3,5,,goon,3 4 6,brute,0 1 4,,,,,,,,
4,2,0,0,,,,goon,3 6,brute,1 1 2,,,,,seeder,0 1 4,,
5,2,1,10,4,5,,goon,4 6,,,spitter,1 1,,,,,,
6,2,2,60,4,5,,goon,4 5 10,,,,,,,,,,
7,2,3,91,4,5,,goon,4 6,brute,2 2,,,,,,,,
8,2,4,110,4,5,,goon,3 7,brute,2 2,,,,,,,,
9,3,0,0,,,,,,,,,,minion,3 3 3,,,,
10,3,1,10,,,,goon,2 4,,,,,minion,3 3,,,,
11,3,2,30,,,,,,brute,2 2,,,minion,3 3,,,,
12,3,3,90,,,,goon,2 4,,,,,minion,3 3,,,,
13,3,4,120,,,,,,brute,2 2,,,minion,3 3,,,,
14,3,5,150,3,5,,goon,2 4,brute,2 2,,,,,,,,
15,4,0,0,,,,goon,4 5,,,,,,,,,,
16,4,1,10,,,,goon,2 4,,,,,,,,,,
17,4,2,20,,,,goon,5 6,brute,2 3,,,,,,,,
18,4,3,30,2,5,,goon,6 7,brute,2 4,,,,,,,,
19,4,4,50,1,2,,goon,5 6,,,,,,,,,,
20,4,5,70,4,5,,goon,3 6,brute,2 2,,,,,,,,
21,4,6,80,,,,goon,3 6,,,spitter,1 2,,,,,,
22,4,7,110,,,,goon,4 5,brute,2 4,,,,,,,,
23,4,8,120,5,5,,goon,5 6,brute,2 4,spitter,2 2,,,,,,
24,5,0,0,5,7,,goon,4 4 6,,,,,,,,,,
25,5,1,15,5,7,,goon,4 4,brute,2 2,spitter,2 2 4,,,,,,
26,5,2,30,,,,goon,4 6,,,,,,,,,locust,1 1 2
27,5,3,40,5,7,,,,brute,2 2,,,,,,,,
28,5,4,49,,,,,,,,spitter,2 4,,,,,,
29,5,5,50,6,7,,goon,4 6,,,,,,,,,,
30,5,6,80,6,7,,,,brute,2 2,,,,,,,,
31,5,7,90,6,7,,goon,4 4,,,spitter,2 4,,,,,,
32,5,8,100,,,,,,brute,3 5,,,,,,,,
33,5,9,110,6,5,,goon,4 4,,,,,,,,,,
34,5,10,120,6,5,,,,,,spitter,2 2,,,,,locust,1 1
35,5,11,130,6,5,,,,brute,2 2,,,,,,,,
36,5,12,140,7,5,,goon,4 4,,,,,,,,,,
37,5,13,150,7,5,,,,brute,2 2,spitter,1 2,,,,,,
38,5,14,160,7,5,,goon,4 4,,,spitter,3 4,,,,,,
39,5,15,170,,,,goon,4 4,brute,3 4,,,,,,,locust,1 1
40,6,0,0,6,5,,,,brute,2 3 5,,,,,,,,
41,6,1,20,6,5,,,,brute,2 2,spitter,2 3 5,,,,,,
42,6,2,30,6,5,,,,,,,,,,,,,
43,6,3,50,6,5,,,,brute,2 3,,,,,,,,
44,6,4,60,6,5,,,,brute,2 3,,,,,,,,
45,6,5,79,,,,,,,,,,,,seeder,0 1 1,,
46,6,6,80,10,1,,,,brute,2 2 2,,,,,,,,
47,6,7,90,7,5,,,,brute,2 3 5,spitter,2 3,,,,,,
48,6,8,110,7,1,,,,brute,2 2 2,,,,,,,,
49,6,9,120,7,5,,,,brute,2 3 5,,,,,,,,
50,6,10,130,,,,,,brute,2 2 2,,,,,,,locust,2 2 2
51,6,11,140,7,5,,,,,,spitter,2 3 4,,,,,,
52,6,12,150,,,,,,brute,2 2 4,spitter,2 3 5,,,,,,
53,6,13,160,8,5,,,,brute,2 3 6,,,,,,,,
54,6,14,170,2,5,,,,brute,2 3 6,,,,,,,locust,2 2 2
55,6,15,175,8,5,,goon,4 8,brute,2 4,,,,,seeder,1 1,,
56,7,0,0,,,,goon,4 8,,,,,,,,,,
57,7,1,8,2,5,,goon,4 8,,,,,,,,,,
58,7,2,16,7,5,,goon,6 6,,,,,,,,,,
59,7,3,24,7,5,,,,,,spitter,4 5,,,,,,
60,7,4,32,7,5,,goon,5 5,brute,4 5,,,,,,,locust,2 2 2
61,7,5,40,,,,goon,4 4,brute,2 3,spitter,4 5,,,,,,
62,7,6,80,10,1,,goon,3 3,brute,3 4,,,,,,,,
63,7,7,88,7,5,,goon,4 4,brute,4 5,spitter,4 5,,,,,,
64,7,8,96,7,1,,goon,3 3,brute,3 4,,,,,,,,
65,7,9,104,7,5,,goon,4 4,brute,5 6,spitter,4 5,,,,,,
66,7,10,112,,,,goon,3 3,brute,3 4,,,,,,,,
67,7,11,120,7,5,,goon,4 4,brute,5 6,spitter,4 5,,,,,locust,2 2 2
68,7,12,128,,,,goon,3 3,brute,5 6,,,,,,,,
69,7,13,136,,,,,,brute,4 5,,,,,,,locust,2 2 3
70,8,0,0,1,6,,goon,6 6,,,,,,,,,,
71,8,1,8,,,,,,,,spitter,4 5,,,,,,
72,8,2,16,1,6,,goon,5 5,brute,4 5,,,,,,,locust,2 2 2
73,8,3,24,,,,goon,4 4,brute,2 3,spitter,4 5,,,,,,
74,8,4,32,3,8,,goon,3 3,brute,3 4,,,,,,,,
75,8,5,40,3,8,,goon,4 4,brute,4 5,spitter,4 5,,,,,,
76,8,6,80,,,,goon,3 3,brute,3 4,,,,,,,,
77,8,7,88,6,8,,goon,4 4,brute,5 6,spitter,4 5,,,,,,
78,8,8,96,,,,goon,3 3,brute,3 4,,,,,,,,
79,8,9,104,3,8,,goon,4 4,brute,5 6,spitter,4 5,,,,,locust,2 2 2
80,8,10,112,6,8,,,,brute,5 5,spitter,5 5,,,seeder,1 1 0,,
81,8,11,120,6,8,,,,brute,6 6 6,spitter,5 5,,,,,,
82,8,12,128,8,8,,,,brute,6 6,spitter,6 6 6,,,,,locust,2 2 2
83,8,13,136,8,8,,,,brute,7 7 7,spitter,7 7 7,,,,,,
84,8,14,144,8,8,,,,brute,7 7,spitter,7 7,,,seeder,1 1 1,,
85,9,0,0,7,7,,,,,,spitter,4 4 4,,,seeder,2 2 2,,
86,9,1,10,7,7,,,,brute,2 3 6,spitter,2 3 6,,,,,,
87,9,2,30,7,7,,goon,5 5,,,,,,,,,,
88,9,3,45,7,7,,goon,5 5,brute,2 2 3,spitter,2 2,,,,,,
89,9,4,55,,,,,,,,,,,,seeder,1 1 1,,
90,9,5,75,7,7,,,,brute,2 3,spitter,2 3,,,,,,
91,9,6,85,7,7,,,,brute,3 6,,,,,,,,
92,9,7,95,,,,,,,,spitter,2 3,,,,,locust,2 2 2
93,9,8,115,7,5,,,,brute,3 5 6,,,,,,,,
94,9,9,125,7,5,,,,brute,3 5,spitter,3 4,,,,,,
95,9,10,135,,,,,,,,,,,,seeder,1 1,,
96,9,11,155,8,5,,goon,5 5,brute,2 3,spitter,2 3,,,,,,
97,9,12,170,,,,,,,,spitter,2 3,,,,,,
98,9,13,180,8,5,,goon,5 5 8,,,spitter,3 6,,,,,,
99,10,0,0,10,5,,goon,2 3 5,brute,4 5 7,spitter,3 5 5,,,,,,
100,10,1,30,10,3,,goon,2 3,brute,4 5,,,,,,,,
101,10,2,60,10,3,,goon,2 3,brute,4 5,spitter,3 5,,,,,,
102,10,3,70,,,,goon,2 3,brute,4 5,,,,,,,locust,1 1 2
103,10,4,95,10,3,,goon,2 3,brute,4 5,spitter,3 5,,,,,,
104,10,5,110,10,3,,goon,2 3,brute,4 5,,,,,,,,
105,10,6,140,10,3,,goon,2 3,brute,4 5,spitter,3 5,,,,,,
106,11,0,0,7,2,,goon,2 3 4,,,spitter,8 8 8,,,,,locust,1 1 2
107,11,1,30,8,4,,goon,2 3,brute,4 5 8,spitter,2 3 5,,,,,,
108,11,2,50,7,5,,goon,2 3,brute,4 5,,,,,,,,
109,11,3,80,8,4,,goon,2 3,brute,4 5,,,,,,,,
110,11,4,95,8,5,,goon,2 3,brute,4 5,spitter,2 3,,,,,,
111,11,5,120,,,,goon,2 3,brute,4 5,,,,,,,locust,2 2
112,11,6,140,8,5,,goon,2 3,brute,4 5,,,,,,,,
113,12,0,0,8,5,,goon,1 2 3,brute,4 5 8,,,,,,,,
114,12,1,15,8,5,,goon,1 2,brute,4 5,,,,,,,,
115,12,2,45,,,,goon,1 2,brute,4 5,spitter,3 4 5,,,,,,
116,12,3,65,8,5,,goon,2 3,brute,3 5,,,,,,,,
117,12,4,85,8,5,,goon,1 2,brute,2 2 5,spitter,1 2,,,,,,
118,12,5,110,,,,goon,1 2,brute,4 5,,,,,,,locust,1 2
119,12,6,140,10,3,,goon,1 2,brute,4 5,spitter,3 4,,,,,,
120,13,0,0,,,,goon,1 2,brute,4 5,,,,,,,,
121,13,1,30,8,5,,goon,4 8,,,,,,,,,,
122,13,2,60,,,,goon,3 3,brute,2 4,spitter,1 2,,,,,,
123,13,3,90,,,,goon,5 5,,,,,,,,,,
124,13,4,110,8,5,,goon,5 5,,,,,,,,,,
125,13,5,125,,,,,,brute,4 8,,,,,,,locust,1 1 1
126,13,6,160,8,5,,,,brute,4 8,spitter,1 2,,,,,,
127,14,0,0,,,,goon,4 8,,,,,,,,,,
128,14,1,15,10,4,,goon,4 8,,,,,,,,,,
