a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
0,1,Tier 1,0,,,,goon,18 18 18,,,,,,,,,,,,,,,,
1,1,1,5,,,,goon,18 18 18,,,,,,,,,,,,,,,,
2,1,2,10,,,,goon,18 18 18,,,,,,,,,,,,,,,,
3,1,3,15,,,,goon,18 18 18,,,,,,,,,,,,,,,,
4,1,Tier 2,20,,,,goon,18 18 18,,,,,,,,,,,,,,,,
5,1,1,25,,,,goon,18 18 18,,,,,,,,,,,,,,,,
6,1,2,30,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
7,1,3,35,,,,goon,15 15 15,,,,,,,,,,,,,,,,
8,1,Tier 3,40,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
9,1,1,45,,,,goon,15 15 15,,,,,,,,,,,,,,,,
10,1,2,50,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
11,1,3,55,,,,goon,15 15 15,,,,,,,,,,,,,,,,
12,1,Tier 4,60,18,5,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
13,2,1,0,,,,goon,15 15 15,,,,,,,,,,,,,,,,
14,2,2,5,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
15,2,3,10,,,,goon,15 15 15,,,,,,,,,,,,,,,,
16,2,Tier 8,15,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
17,2,1,20,,,,goon,15 15 15,,,,,,,,,,,,,,,,
18,2,2,25,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
19,2,3,30,,,,goon,12 12 12,,,spitter,3 3 3,,,,,,,,,,,,
20,2,Tier 9,35,,,,goon,12 12 12,brute,3 3 3,,,,,,,,,,,,,,
21,2,1,40,,,,goon,12 12 12,,,,,,,,,,,,,,,,
22,2,2,45,,,,goon,12 12 12,brute,3 3 3,spitter,3 3 3,,,,,,,,,,,,
23,2,3,50,,,,goon,12 12 12,,,,,,,,,,,,,,,,
24,2,Tier 10,55,,,,goon,12 12 12,brute,3 3 3,,,,,,,,,,,,,,
25,2,1,60,,,,goon,9 9 9,,,spitter,3 3 3,,,bomber,3 3 3,,,,,,,,
26,2,2,65,,,,goon,9 9 9,brute,3 3 3,,,,,,,,,,,,,,
27,2,3,70,,,,goon,6 6 6,,,,,minion,3 3 3,,,,,,,,,,
28,2,Tier 11,75,,,,goon,6 6 6,brute,3 3 3,spitter,3 3 3,,,,,,,,,,,,
29,2,1,80,,,,goon,6 6 6,,,,,,,bomber,3 3 3,,,,,,,,
30,2,2,85,,,,goon,6 6 6,brute,3 3 3,,,,,,,,,,,,,,
31,2,3,90,,,,goon,6 6 6,,,spitter,3 3 3,minion,3 3 3,,,,,,,,,,
32,2,Tier 12,95,,,,goon,6 6 6,brute,3 3 3,,,,,,,,,,,,,,
33,2,1,100,,,,goon,6 6 6,,,,,,,bomber,3 3 3,,,,,,,,
34,2,2,105,,,,goon,6 6 6,brute,3 3 3,spitter,3 3 3,,,,,,,,,,,,
35,2,3,110,,,,goon,6 6 6,,,,,minion,3 3 3,,,,,,,,,,
36,2,Tier 13,115,,,,goon,6 6 6,brute,3 3 3,,,,,,,,,,,,,,
37,2,1,120,18,5,,goon,6 6 6,,,spitter,3 3 3,,,bomber,3 3 3,,,,,,,,
38,3,2,0,,,,goon,15 15 15,,,,,,,,,,,,,,,,
39,3,3,5,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
40,3,Tier 14,10,,,,goon,15 15 15,,,,,,,,,,,,,,,,
41,3,1,15,,,,goon,15 15 15,brute,3 3 3,,,,,,,,,,,,,,
42,3,2,20,,,,goon,15 15 15,,,,,,,,,,,,,,,,
