a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,0,0,18,10,,goon,3 3 6,,,,,,,,,,
1,1,1,20,1,5,,goon,4 4,,,,,,,,,,
2,2,0,0,,,,goon,1 1 10,,,,,,,,,,
3,2,1,8,,,,goon,2 2,,,,,,,,,,
4,2,2,16,18,8,,goon,3 3,,,,,,,,,,
5,2,3,32,18,8,,goon,4 4,,,,,,,,,,
6,2,4,60,18,8,,goon,5 5 12,,,,,,,,,,
7,2,5,108,18,8,,goon,6 6,,,,,,,,,,
8,2,6,156,4,6,,goon,7 7 14,,,,,,,,,,
9,3,0,0,,,,goon,2 2 12,,,,,,,,,,
10,3,1,7,,,,goon,3 3,,,,,,,,,,
11,3,2,14,,,,goon,4 4,,,,,,,,,,
12,3,3,21,18,7,,goon,5 5,,,,,,,,,,
13,3,4,42,18,11,,goon,6 6,,,,,,,,,,
14,3,5,97,18,11,,goon,7 7,,,,,,,,,,
15,3,6,141,4,6,,goon,8 8,,,,,,,,,,
16,4,0,0,,,,goon,3 3 14,,,,,,,,,,
17,4,1,7,,,,goon,4 4,,,,,,,,,,
18,4,2,14,,,,goon,5 5,,,,,,,,,,
19,4,3,21,18,7,,goon,6 6,,,,,,,,,,
20,4,4,42,18,10,,goon,7 7,,,,,,,,,,
21,4,5,92,18,10,,goon,8 8,,,,,,,,,,
22,4,6,132,4,6,,goon,9 9,,,,,,,,,,
23,5,0,0,,,,,,spitter,4 4 6,,,,,,,,
24,5,1,18,18,9,,goon,4 4 4,,,,,,,,,,
25,5,2,36,,,,goon,4 4,spitter,4 4,,,,,,,,
26,5,3,45,18,9,,goon,4 4,,,,,,,,,,
27,5,4,63,,,,goon,4 4,spitter,4 4,,,,,,,,
28,5,5,72,18,9,,goon,4 4,,,,,,,,,,
29,5,6,90,,,,goon,4 4,spitter,4 4,,,,,,,,
30,5,7,99,18,9,,goon,4 4,,,,,,,,,,
31,5,8,117,,,,goon,4 4,spitter,4 4,,,,,,,,
32,5,9,126,18,9,,goon,4 4,,,,,,,,,,
33,5,10,144,,,,goon,4 4,spitter,4 4,,,,,,,,
34,5,11,153,18,9,,goon,4 4,,,,,,,,,,
35,5,12,171,,,,goon,4 4,spitter,4 4,,,,,,,,
36,5,13,180,18,9,,goon,4 4,,,,,,,,,,
37,5,14,198,,,,goon,4 4,spitter,4 4,,,,,,,,
38,5,15,207,18,9,,goon,4 4,,,,,,,,,,
39,5,16,225,,,,goon,4 4,spitter,4 4,,,,,,,,
40,5,17,234,18,9,,goon,4 5,,,,,,,,,,
