a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,0,0,12,5,,goon,6 6,,,,,,,,,,
1,1,1,30,14,5,,goon,6 6,,,,,,,,,,
2,1,2,60,16,5,,goon,7 7,,,,,,,,,,
3,1,3,90,18,5,,goon,7 7,,,,,,,,,,
4,1,4,120,18,5,,goon,8 8,,,,,,,,,,
5,2,0,0,14,5,,goon,9 9,,,,,,,,,,
6,2,1,30,16,5,,goon,10 10,,,,,,,,,,
7,2,2,60,18,5,,goon,11 11,,,,,,,,,,
8,2,3,90,18,5,,goon,12 12,,,,,,,,,,
9,2,4,120,18,5,,goon,13 13,,,,,,,,,,
10,3,0,0,18,5,,goon,10 10,,,,,,,,,,
11,3,1,30,18,5,,goon,10 10 17,,,spitter,1 1 1,,,,,,
12,3,2,60,18,5,,goon,10 10 16,,,spitter,1 1 2,,,,,,
13,3,3,90,18,5,,goon,10 10 15,,,spitter,1 1 3,,,,,,
14,3,4,120,18,5,,goon,10 10 14,,,spitter,1 1 4,,,,,,
15,4,0,0,18,5,,goon,4 4,,,,,,,,,,
16,4,1,30,18,5,,goon,4 4,,,,,,,,,,
17,4,2,60,18,5,,goon,4 4,,,,,,,,,,
18,4,3,90,18,5,,goon,4 4,,,spitter,1 1,,,,,,
19,4,4,120,18,5,,goon,4 4,,,,,,,,,,
20,5,0,0,18,5,,goon,4 4,,,,,,,,,,
21,5,1,30,18,5,,goon,4 4,brute,1 1,,,,,,,,
22,5,2,60,18,5,,goon,4 4,,,,,,,,,,
23,5,3,90,18,5,,goon,4 4,,,spitter,1 1,,,,,,
24,5,4,120,18,5,,goon,4 4,brute,1 1,spitter,1 1,,,,,,
25,6,0,0,18,5,,goon,4 4,brute,1 1,spitter,1 1,,,,,,
26,6,1,30,18,5,,goon,4 4,brute,1 1,spitter,1 1,,,,,,
27,6,2,60,18,5,,goon,4 4,brute,1 1,spitter,1 1,,,,,,
28,6,3,90,18,5,,goon,4 4,brute,1 1,spitter,1 1,,,,,,
29,6,4,120,18,5,,goon,4 4,,,,,,,,,,
318,7,Debug,0,,,,goon,1 1,,,,,,,,,,
319,7,Debug,1,,,,brute,1 1,,,,,,,,,,
320,7,Debug,2,,,,minion,1 1,,,,,,,,,,
321,7,Debug,3,,,,spitter,1 1,,,,,,,,,,
322,7,Debug,4,,,,elite,1 1,,,,,,,,,,
323,7,Debug,5,,,,brute,10 10,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,
3001,,,,,,,,,,,,,,,,,,
3002,,,,,,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,1,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,
500,1,.5,.5,2,1,,,,,,,,,,,,,
501,2,.5,.5,2,1,,,,,,,,,,,,,
502,3,.5,.5,2,1,,,,,,,,,,,,,
503,4,.5,.5,2,1,,,,,,,,,,,,,
504,5,.5,.5,2,1,,,,,,,,,,,,,
505,6,.5,.5,2,1,,,,,,,,,,,,,
506,7,.5,.5,2,1,,,,,,,,,,,,,
600,1,5000,1,,,,,,,,,,,,,,,
601,2,5000,1,,,,,,,,,,,,,,,
602,3,5000,1,,,,,,,,,,,,,,,
603,4,5000,1,,,,,,,,,,,,,,,
604,5,5000,1,,,,,,,,,,,,,,,
605,6,5000,1,,,,,,,,,,,,,,,
606,7,5000,1,,,,,,,,,,,,,,,
700,mini_lung,0,lodge_lane_t,,,,,,,,,,,,,,,
701,lodge_lung_1,24 72,random lodge_lane_b lodge_lane_c,,,,,,,,,,,,,,,
702,lodge_lung_1,0 48 96,lodge_lane_a,,,,,,,,,,,,,,,
703,lodge_lung_4,24 72,lodge_lane_a,,,,,,,,,,,,,,,
704,lodge_lung_4,0 48 96,lodge_lane_c,,,,,,,,,,,,,,,
705,lodge_lung_5,24 72,random lodge_lane_b lodge_lane_c,,,,,,,,,,,,,,,
706,lodge_lung_5,0 48 96,lodge_lane_a,,,,,,,,,,,,,,,
707,lodge_lung_2,0 44 88,lodge_lane_c,,,,,,,,,,,,,,,
708,lodge_lung_2,22 66 99,lodge_lane_d,,,,,,,,,,,,,,,
709,lodge_lung_6,0 44 88,lodge_lane_a,,,,,,,,,,,,,,,
710,lodge_lung_6,22 66 99,lodge_lane_c,,,,,,,,,,,,,,,
711,lodge_lung_3,0 60 120 180 240 300 360 420 480,random lodge_lane_c lane_blocker,,,,,,,,,,,,,,,
712,lodge_lung_3,30 90 150 210 270 330 390 450 510,random lodge_lane_a lodge_lane_b,,,,,,,,,,,,,,,
713,city_lung_5,20 60 100 140,city_lane_a city_lane_c,,,,,,,,,,,,,,,
714,city_lung_5,0 40 80 120 160,city_lane_d,,,,,,,,,,,,,,,
715,city_lung_5,180,city_lane_a city_lane_c city_lane_d,,,,,,,,,,,,,,,
716,city_lung_1,20 60 100 140,random city_lane_a city_lane_c,,,,,,,,,,,,,,,
717,city_lung_1,0 40 80 120 160,city_lane_b,,,,,,,,,,,,,,,
718,city_lung_1,180,city_lane_a city_lane_b city_lane_c,,,,,,,,,,,,,,,
719,city_lung_2,20 60 100 140,random city_lane_a city_lane_c,,,,,,,,,,,,,,,
720,city_lung_2,0 40 80 120 160,city_lane_b,,,,,,,,,,,,,,,
721,city_lung_2,180,city_lane_a city_lane_b city_lane_c,,,,,,,,,,,,,,,
722,city_lung_3,20 60 100 140,random city_lane_a city_lane_b,,,,,,,,,,,,,,,
723,city_lung_3,0 40 80 120 160,city_lane_d,,,,,,,,,,,,,,,
724,city_lung_3,180,city_lane_a city_lane_b city_lane_d,,,,,,,,,,,,,,,
725,city_lung_4,20 60 100 140,random city_lane_a city_lane_c,,,,,,,,,,,,,,,
726,city_lung_4,0 40 80 120 160,city_lane_b,,,,,,,,,,,,,,,
727,city_lung_4,180,city_lane_a city_lane_b city_lane_c,,,,,,,,,,,,,,,
728,lake_lung_1,30 90 150,random cabin_lane_c cabin_lane_d,,,,,,,,,,,,,,,
729,lake_lung_1,0 60 120 180,cabin_lane_d,,,,,,,,,,,,,,,
730,lake_lung_2,30 90 150,random cabin_lane_c cabin_lane_e,,,,,,,,,,,,,,,
731,lake_lung_2,0 60 120,cabin_lane_c,,,,,,,,,,,,,,,
732,lake_lung_2,180,cabin_lane_c cabin_lane_d cabin_lane_e,,,,,,,,,,,,,,,
733,lake_lung_3,30 90 150,random cabin_lane_b cabin_lane_c,,,,,,,,,,,,,,,
734,lake_lung_3,0 60 120,random cabin_lane_d cabin_lane_e,,,,,,,,,,,,,,,
735,lake_lung_3,180,cabin_lane_b cabin_lane_c cabin_lane_d cabin_lane_e,,,,,,,,,,,,,,,
736,lake_lung_4,30 90 150,random cabin_lane_a cabin_lane_b cabin_lane_e,,,,,,,,,,,,,,,
737,lake_lung_4,0 60 120,cabin_lane_c cabin_lane_d,,,,,,,,,,,,,,,
738,lake_lung_4,180,cabin_lane_a cabin_lane_b cabin_lane_c cabin_lane_d cabin_lane_e,,,,,,,,,,,,,,,
739,lake_lung_5,30 90 150,random cabin_lane_b cabin_lane_e,,,,,,,,,,,,,,,
740,lake_lung_5,0 60 120,cabin_lane_c,,,,,,,,,,,,,,,
741,lake_lung_5,180,cabin_lane_b cabin_lane_c cabin_lane_e,,,,,,,,,,,,,,,
742,lake_lung_6,30 90 150,random cabin_lane_a cabin_lane_e,,,,,,,,,,,,,,,
743,lake_lung_6,0 60 120,cabin_lane_d,,,,,,,,,,,,,,,
744,lake_lung_6,180,cabin_lane_a cabin_lane_d cabin_lane_e,,,,,,,,,,,,,,,
800,,,,,,,,,,,,,,,,,,
900,2,lodge_lung_2 lodge_lung_6 lodge_lung_4 lodge_lung_5,,,,,,,,,,,,,,,,
901,2,city_lung_1 city_lung_3 city_lung_4,,,,,,,,,,,,,,,,
902,2,lake_lung_2 lake_lung_6,,,,,,,,,,,,,,,,
903,1,lake_lung_3 lake_lung_4,,,,,,,,,,,,,,,,
1000,weapon_iw6_alienkriss_mp,2033,-1005,721,0,0,0,,,,,,,,,,,,,,,
1001,weapon_iw6_alienvepr_mp,1207,-1123,765,0,0,0,,,,,,,,,,,,,,,
