a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24,z25
0,item_alienpropanetank_mp,propane_tank_aliens_iw6,alienpropanetank_mp,ALIEN_COLLECTIBLES_PICKUP_PROPANE_TANK,100,,soulbound,120,999,1,0,1,0,,0,,,,,,,,,,
100,weapon_iw6_alienkriss_mp,weapon_kriss_v,iw6_alienkriss_mp,ALIEN_COLLECTIBLES_PICKUP_KRISS,1,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
101,weapon_iw6_alienmicrotar_mp,weapon_tar21,iw6_alienmicrotar_mp,ALIEN_COLLECTIBLES_PICKUP_MICROTAR,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
102,weapon_iw6_alienpp19_mp,weapon_pp19_bizon_iw6,iw6_alienpp19_mp,ALIEN_COLLECTIBLES_PICKUP_PP19,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
103,weapon_iw6_alienvepr_mp,weapon_vepr,iw6_alienvepr_mp,ALIEN_COLLECTIBLES_PICKUP_VEPR,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
104,weapon_iw6_aliencbjms_mp,weapon_cbj_ms_iw6,iw6_aliencbjms_mp,ALIEN_COLLECTIBLES_PICKUP_CBJMS,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
105,weapon_iw6_alienm9a1_mp,weapon_m9a1_iw6,iw6_alienm9a1_mp,ALIEN_COLLECTIBLES_PICKUP_M9A1,100,,soulbound,120,999,1,0,1,1,,1000,,,,,,,,,,
106,weapon_iw6_alienmagnum_mp,weapon_magnum_iw6,iw6_alien44magnum_mp,ALIEN_COLLECTIBLES_PICKUP_MAGNUM,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
107,weapon_iw6_alienp226_mp,weapon_p226,iw6_alienp226_mp,ALIEN_COLLECTIBLES_PICKUP_P226,100,,soulbound,120,999,1,0,1,1,,1000,,,,,,,,,,
108,weapon_iw6_alienmp443_mp,weapon_mp443,iw6_alienmp443_mp,ALIEN_COLLECTIBLES_PICKUP_MP443,100,,soulbound,120,999,1,0,1,1,,1000,,,,,,,,,,
109,weapon_iw6_alienfp6_mp,weapon_fabarm_fp6,iw6_alienfp6_mp,ALIEN_COLLECTIBLES_PICKUP_FP6,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
110,weapon_iw6_alienmaul_mp,weapon_maul,iw6_alienmaul_mp,ALIEN_COLLECTIBLES_PICKUP_MAUL,100,,soulbound,120,999,1,0,1,1,,2500,,,,,,,,,,
111,weapon_iw6_alienmts255_mp,weapon_mts_255,iw6_alienmts255_mp,ALIEN_COLLECTIBLES_PICKUP_MTS255,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
112,weapon_iw6_alienvks_mp,weapon_vks,iw6_alienvks_mp,ALIEN_COLLECTIBLES_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
113,weapon_iw6_alienvks_mp_alienvksscope,weapon_vks,iw6_alienvks_mp,ALIEN_COLLECTIBLES_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
114,weapon_iw6_alienvks_mp_alienvksvzscope,weapon_vks,iw6_alienvks_mp,ALIEN_COLLECTIBLES_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
115,weapon_iw6_alienvks_mp_alienvzscope,weapon_vks,iw6_alienvks_mp,ALIEN_COLLECTIBLES_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
116,weapon_iw6_alienl115a3_mp,weapon_l115a3,iw6_alienl115a3_mp,ALIEN_COLLECTIBLES_PICKUP_L115A3,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
117,weapon_iw6_alienl115a3_mp_alienl115a3vzscope,weapon_l115a3,iw6_alienl115a3_mp_alienl115a3vzscope,ALIEN_COLLECTIBLES_PICKUP_L115A3,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
118,weapon_iw6_alienm27_mp,weapon_m27,iw6_alienm27_mp,ALIEN_COLLECTIBLES_PICKUP_M27,100,,soulbound,120,999,1,0,1,1,,3000,,,,,,,,,,
119,weapon_iw6_alienkac_mp,weapon_kac_chainsaw,iw6_alienkac_mp,ALIEN_COLLECTIBLES_PICKUP_KAC,100,,soulbound,120,999,1,0,1,1,,3000,,,,,,,,,,
120,weapon_iw6_alienak12_mp,weapon_ak12,iw6_alienak12_mp,ALIEN_COLLECTIBLES_PICKUP_AK12,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
121,weapon_iw6_aliensc2010_mp,weapon_sc2010,iw6_aliensc2010_mp,ALIEN_COLLECTIBLES_PICKUP_SC2010,100,,soulbound,120,999,1,0,1,1,,1500,,,,,,,,,,
122,weapon_iw6_alienhoneybadger_mp,weapon_honeybadger,iw6_alienhoneybadger_mp,ALIEN_COLLECTIBLES_PICKUP_HONEYBADGER,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
123,weapon_iw6_alienbren_mp,weapon_cz_805_bren,iw6_alienbren_mp,ALIEN_COLLECTIBLES_PICKUP_BREN,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
124,weapon_iw6_alienimbel_mp,weapon_imbel_ia2,iw6_alienimbel_mp,ALIEN_COLLECTIBLES_PICKUP_IMBEL,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
125,weapon_iw6_alieng28_mp,weapon_g28,iw6_alieng28_mp,ALIEN_COLLECTIBLES_PICKUP_G28,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
126,weapon_iw6_alienmk32_mp,weapon_mk14_iw6,iw6_alienmk32_mp,ALIEN_COLLECTIBLES_PICKUP_MK32,100,,soulbound,120,999,1,0,1,1,,3000,,,,,,,,,,
127,weapon_iw6_alienpanzerfaust3_mp,weapon_panzerfaust3,iw6_alienpanzerfaust3_mp,ALIEN_COLLECTIBLES_PICKUP_PANZERFAUST,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
128,weapon_iw6_alienrgm_mp,weapon_kastet,alienrmg_mp,ALIEN_COLLECTIBLES_PICKUP_RGM,100,,soulbound,120,999,1,0,1,1,,2000,,,,,,,,,,
1000,loot_blood_small,prop_dogtags_foe,alien_loot_blood_small,ALIEN_COLLECTIBLES_LOOT_BLOOD_S,100,,currency,0,0,1,0,999,0,,0,,,,,,,,,,
10000,part_sentry_base,tag_origin,alien_part_sentry_base,alien_part_sentry_base_desc,1,item_sentry_minigun,soulbound,120,5,1,0,1,,,,,,,,,,,,,
10001,part_sentry_turret,tag_origin,alien_part_sentry_turret,alien_part_sentry_turret_desc,1,item_sentry_minigun,soulbound,120,5,1,0,1,,,,,,,,,,,,,
10002,part_sentry_ammo,tag_origin,alien_part_sentry_ammo,alien_part_sentry_ammo_desc,1,item_sentry_minigun,soulbound,120,5,1,0,1,,,,,,,,,,,,,
10003,,,,,,,,,,,,,,,,,,,,,,,,,
10004,,,,,,,,,,,,,,,,,,,,,,,,,
10005,,,,,,,,,,,,,,,,,,,,,,,,,
1000000,lootbox_health_tier1,item_health_pack 95,,item_health_regen_booster 5,,,,,,,,,,,,,,,,,,,,,
1000001,lootbox_health_tier2,item_health_pack 90,item_fast_legs_booster 15,item_revive_booster 15,,item_fast_hands_booster 15,item_health_regen_booster 5,,,,,,,,,,,,,,,,,,
1000002,lootbox_weapon_tier1,item_ammo 40,item_shock_ammo 10,weapon_iw6_alienfp6_mp 20,weapon_iw6_alienak12_mp 15,weapon_iw6_alienm27_mp 2,item_yellow_egg 5,,,,,,,,,,,,,,,,,,
1000003,lootbox_weapon_tier2,item_ammo 20,item_shock_ammo 20,weapon_iw6_alienfp6_mp 25,weapon_iw6_alienak12_mp 20,weapon_iw6_alienm27_mp 2,item_yellow_egg 5,,,,,,,,,,,,,,,,,,
1000004,lootbox_weapon_tier3,item_ammo 25,item_shock_ammo 15,weapon_iw6_alienmaul_mp 25,weapon_iw6_alienak12_mp 20,weapon_iw6_alienm27_mp 2,item_yellow_egg 5,,,,,,,,,,,,,,,,,,
1000005,lootbox_weapon_tier4,weapon_iw6_alienak12_mp 100,,,,,,,,,,,,,,,,,,,,,,,
1000006,lootbox_explosive_tier1,loot_blood_small 60,loot_blood_med 20,loot_blood_large 2,item_claymore_mp 13,item_bouncingbetty_mp 5,,,,,,,,,,,,,,,,,,,
1000007,lootbox_explosive_tier2,loot_blood_small 60,loot_blood_med 20,loot_blood_large 2,item_claymore_mp 13,item_bouncingbetty_mp 5,,,,,,,,,,,,,,,,,,,
1000008,lootbox_explosive_tier3,loot_blood_small 60,loot_blood_med 20,loot_blood_large 2,item_claymore_mp 13,item_bouncingbetty_mp 5,,,,,,,,,,,,,,,,,,,
