a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
0,item_alienpropanetank_mp,propane_tank_aliens_iw6,alienpropanetank_mp,ALIEN_PICKUPS_ARMORY_PICKUP_PROPANE_TANK,100,,soulbound,120,999,1,0,1,0,,0
100,weapon_iw6_alienkriss_mp,weapon_kriss_v,iw6_alienkriss_mp,ALIEN_PICKUPS_ARMORY_PICKUP_KRISS,100,,soulbound,120,999,1,0,1,1,,1500
101,weapon_iw6_alienvepr_mp,weapon_vepr,iw6_alienvepr_mp,ALIEN_PICKUPS_ARMORY_PICKUP_VEPR,100,,soulbound,120,999,1,0,1,1,,1500
102,weapon_iw6_alienmaul_mp,weapon_maul,iw6_alienmaul_mp,ALIEN_PICKUPS_ARMORY_PICKUP_MAUL,100,,soulbound,120,999,1,0,1,1,,2500
103,weapon_iw6_alienmts255_mp,weapon_mts_255,iw6_alienmts255_mp,ALIEN_PICKUPS_ARMORY_PICKUP_MTS255,100,,soulbound,120,999,1,0,1,1,,2000
104,weapon_iw6_alienvks_mp,weapon_vks,iw6_alienvks_mp,ALIEN_PICKUPS_ARMORY_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500
105,weapon_iw6_alienvks_mp_alienvksscope,weapon_vks,iw6_alienvks_mp,ALIEN_PICKUPS_ARMORY_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500
106,weapon_iw6_alienvks_mp_alienvksvzscope,weapon_vks,iw6_alienvks_mp,ALIEN_PICKUPS_ARMORY_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500
107,weapon_iw6_alienvks_mp_alienvzscope,weapon_vks,iw6_alienvks_mp,ALIEN_PICKUPS_ARMORY_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500
108,weapon_iw6_alienl115a3_mp,weapon_l115a3,iw6_alienl115a3_mp,ALIEN_PICKUPS_ARMORY_PICKUP_L115A3,100,,soulbound,120,999,1,0,1,1,,1500
109,weapon_iw6_alienl115a3_mp_alienl115a3vzscope,weapon_l115a3,iw6_alienl115a3_mp_alienl115a3vzscope,ALIEN_PICKUPS_ARMORY_PICKUP_L115A3,100,,soulbound,120,999,1,0,1,1,,1500
110,weapon_iw6_alienkac_mp,weapon_kac_chainsaw,iw6_alienkac_mp,ALIEN_PICKUPS_ARMORY_PICKUP_KAC,100,,soulbound,120,999,1,0,1,1,,3000
111,weapon_iw6_aliendlc13_mp,weapon_arx_160,iw6_aliendlc13_mp,ALIEN_PICKUPS_ARMORY_PICKUP_ARX_160,100,,soulbound,120,999,1,0,1,1,,2000
112,weapon_iw6_alieng28_mp,weapon_g28,iw6_alieng28_mp,ALIEN_PICKUPS_ARMORY_PICKUP_G28,100,,soulbound,120,999,1,0,1,1,,2000
113,weapon_iw6_aliendlc12_mp,weapon_lsat_iw6,iw6_aliendlc12_mp,ALIEN_PICKUPS_ARMORY_PICKUP_LSAT,100,,soulbound,120,999,1,0,1,1,,3000
114,weapon_iw6_aliendlc14_mp,weapon_dragunov_svu,iw6_aliendlc14_mp,ALIEN_PICKUPS_ARMORY_PICKUP_SVU,100,,soulbound,120,999,1,0,1,1,,2000
115,weapon_iw6_alienrgm_mp,weapon_kastet,alienrmg_mp,ALIEN_PICKUPS_ARMORY_PICKUP_KASTET,100,,soulbound,120,999,1,0,1,1,,1500
116,weapon_iw6_aliendlc15_mp,weapon_rm_22,iw6_aliendlc15_mp,ALIEN_PICKUPS_ARMORY_PICKUP_MAVERICK,100,,soulbound,120,999,1,0,1,1,,1500
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,
1000,loot_blood_small,prop_dogtags_foe,alien_loot_blood_small,ALIEN_PICKUPS_ARMORY_LOOT_BLOOD_S,100,,currency,0,0,1,0,999,0,,0
