a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15
0,item_alienpropanetank_mp,propane_tank_aliens_iw6,alienpropanetank_mp,ALIEN_PICKUPS_ARMORY_PICKUP_PROPANE_TANK,100,,soulbound,120,999,1,0,1,0,,0
100,weapon_iw6_arkalienvks_mp_alienvksscope,weapon_vks,iw6_arkalienvks_mp,ALIEN_PICKUPS_DESCENT_PICKUP_VKS,100,,soulbound,120,999,1,0,1,1,,1500
101,weapon_iw6_arkalienusr_mp_usrvzscope,weapon_usr,iw6_arkalienusr_mp,ALIEN_PICKUPS_DESCENT_PICKUP_USR,100,,soulbound,120,999,1,0,1,1,,1500
102,weapon_iw6_arkalienr5rgp_mp,weapon_remington_r5rgp,iw6_arkalienr5rgp_mp,ALIEN_PICKUPS_DESCENT_PICKUP_R5RGP,100,,soulbound,120,999,1,0,1,1,,2000
103,weapon_iw6_arkaliendlc15_mp,weapon_rm_22,iw6_arkaliendlc15_mp,ALIEN_PICKUPS_DESCENT_PICKUP_MAVERICK,100,,soulbound,120,999,1,0,1,1,,1500
104,weapon_iw6_arkaliendlc23_mp_dlcweap02scope,weapon_evopro,iw6_arkaliendlc23_mp,ALIEN_PICKUPS_DESCENT_PICKUP_RIPPER,100,,soulbound,120,999,1,0,1,1,,1500
105,weapon_iw6_arkalienk7_mp,weapon_k7,iw6_arkalienk7_mp,ALIEN_PICKUPS_DESCENT_PICKUP_K7,100,,soulbound,120,999,1,0,1,1,,2000
106,weapon_iw6_arkalienuts15_mp,weapon_uts_15,iw6_arkalienuts15_mp,ALIEN_PICKUPS_DESCENT_PICKUP_UTS,100,,soulbound,120,999,1,0,1,1,,2000
107,weapon_iw6_arkalienmaul_mp,weapon_maul,iw6_arkalienmaul_mp,ALIEN_PICKUPS_DESCENT_PICKUP_MAUL,100,,soulbound,120,999,1,0,1,1,,2500
108,weapon_iw6_arkalienmk14_mp,weapon_mk14_ebr_iw6,iw6_arkalienmk14_mp,ALIEN_PICKUPS_DESCENT_PICKUP_MK14,100,,soulbound,120,999,1,0,1,1,,2000
109,weapon_iw6_arkalienimbel_mp,weapon_imbel_ia2,iw6_arkalienimbel_mp,ALIEN_PICKUPS_DESCENT_PICKUP_IMBEL,100,,soulbound,120,999,1,0,1,1,,2000
110,weapon_iw6_arkalienkac_mp,weapon_kac_chainsaw,iw6_arkalienkac_mp,ALIEN_PICKUPS_DESCENT_PICKUP_KAC,100,,soulbound,120,999,1,0,1,1,,3000
111,weapon_iw6_arkalienameli_mp,weapon_ameli,iw6_arkalienameli_mp,ALIEN_PICKUPS_DESCENT_PICKUP_AMELI,100,,soulbound,120,999,1,0,1,1,,3000
112,weapon_iw6_alienrgm_mp,weapon_kastet,alienrmg_mp,ALIEN_PICKUPS_DESCENT_PICKUP_KASTET,100,,soulbound,120,999,1,0,1,1,,1500
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
1000,loot_blood_small,prop_dogtags_foe,alien_loot_blood_small,ALIEN_PICKUPS_ARMORY_LOOT_BLOOD_S,100,,currency,0,0,1,0,999,0,,0
