a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Checkpoint 1 (0),0,4,5,,goon,3 3 4,,,,,,,,,,
1,1,1,10,4,5,,goon,3 3,,,,,,,,,,
2,1,2,60,4,5,,goon,4 4,,,,,,,,,,
3,1,END (90),91,4,5,,goon,4 4,,,,,,,,,,
4,1,Checkpoint 1 (x1),290,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
5,2,Checkpoint 2 (0),0,4,7,,goon,5 5 6,,,,,,,,,,
6,2,1,10,4,7,,goon,5 5,,,,,,,,,,
7,2,2,35,18,5,,goon,5 5,,,,,,,,,,
8,2,3,50,5,5,,goon,5 5,,,,,,,,,,
9,2,4,90,18,10,,goon,6 6,,,,,,,,,,
10,2,END (120),110,5,5,,goon,6 6,,,,,,,,,,
11,2,Checkpoint 2 (x1),320,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
12,3,Checkpoint 3 (0),0,7,5,,goon,5 5 6,,,,,,,,,,
13,3,1,30,,,,goon,5 5,,,spitter,1 1 1,,,,,,
14,3,2,35,,,,,,,,,,,,,,,
15,3,3,45,5,5,,goon,5 5,,,,,,,,,,
16,3,4,60,,,,goon,5 5,,,,,,,,,,
17,3,5,70,,,,goon,5 5,,,,,minion,4 4 6,,,,
18,3,6,80,5,5,,goon,5 5,,,,,,,,,,
19,3,7,90,5,7,,goon,5 5,,,spitter,1 1,,,,,,
20,3,8,100,,,,goon,5 5,,,,,minion,6 6,,,,
21,3,END (120),110,6,5,,goon,5 5,,,,,,,,,,
22,3,Checkpoint 3 (x1),320,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
23,4,Checkpoint 4 (0),0,5,5,,goon,5 5 6,brute,2 2 3,,,,,,,,
24,4,1,10,,,,,,,,,,minion,4 4 9,,,,
25,4,2,20,,,,goon,5 5,,,,,,,,,,
26,4,3,30,,,,goon,4 4,,,,,,,,,,
27,4,4,40,,,,,,,,spitter,1 1 2,,,,,,
28,4,5,50,,,,goon,5 5,,,,,minion,6 6,,,,
29,4,6,60,,,,goon,5 5,,,,,,,,,,
30,4,7,70,,,,goon,5 5,,,,,,,,,,
31,4,8,80,,,,goon,5 5,,,,,,,,,,
32,4,9,90,,,,,,,,,,minion,6 6,,,,
33,4,10,100,,,,goon,5 5,,,,,,,,,,
34,4,11,109,,,,,,,,,,minion,6 6,,,,
35,4,END (120),110,5,5,,goon,5 5,,,,,,,,,,
36,4,Checkpoint 4 (x1),320,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
37,5,Spider 1 (0),0,,,,goon,4 4 4,,,,,,,,,,
38,5,1,15,,,,goon,2 2,,,,,,,,,,
39,5,2,30,,,,goon,4 4,,,,,minion,4 4 4,,,,
40,5,3,60,,,,goon,2 2,,,,,,,,,,
41,5,4,75,,,,goon,4 4,,,,,,,,,,
42,5,5,90,,,,goon,2 2,,,,,minion,4 4,,,,
43,5,6,120,,,,goon,4 4,,,,,,,,,,
44,5,7,135,,,,goon,2 2,,,,,,,,,,
45,5,8,150,,,,goon,4 4,,,,,minion,4 4,,,,
46,5,9,180,,,,goon,2 2,,,,,,,,,,
47,5,10,195,,,,goon,4 4,,,,,,,,,,
48,5,11,210,,,,goon,2 2,,,,,minion,4 4,,,,
49,5,12,225,,,,goon,4 4,,,,,,,,,,
50,5,END (),240,,,,goon,2 2,,,,,minion,4 4,,,,
51,5,Spider 1 (x1),450,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
52,6,Compound 1 (0),0,,,,,,brute,2 2 2,,,,,,,,
53,6,1,10,7,7,,goon,3 3 5,,,,,,,,,,
54,6,2,20,7,7,,goon,3 3,brute,2 2,spitter,1 1 2,,,,,,
55,6,3,30,,,,goon,3 3,,,,,minion,8 8 8,,,,
56,6,4,40,7,7,,,,brute,2 2,,,,,,,,
57,6,5,49,,,,goon,3 3,,,,,,,,,,
58,6,6,50,7,7,,goon,3 3,,,spitter,1 1,,,,,,
59,6,7,80,7,7,,,,brute,2 2,,,,,,,,
60,6,8,89,,,,,,,,,,minion,8 8,,,,
61,6,9,90,7,7,,goon,3 3,,,spitter,1 1,,,,,,
62,6,10,100,,,,,,brute,2 2,,,,,,,,
63,6,11,110,7,7,,goon,3 3,,,,,,,,,,
64,6,12,119,,,,,,,,,,minion,8 8,,,,
65,6,13,120,7,7,,,,,,spitter,1 1,,,,,,
66,6,14,130,7,7,,,,brute,2 2,,,,,,,,
67,6,15,140,7,7,,goon,3 3,,,,,,,,,,
68,6,16,150,7,7,,,,brute,2 2,,,,,,,,
69,6,17,160,7,7,,,,,,spitter,2 2,,,,,,
70,6,18,169,,,,,,,,,,minion,4 4 4,,,,
71,6,END (180),170,7,7,,goon,3 3,brute,2 2,spitter,1 1 1,,,,,,
72,6,Compound 1 (x1),380,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
73,7,Compound 2 (0),0,7,7,,goon,3 3 5,brute,2 2 3,,,,,,,,
74,7,1,20,7,7,,,,brute,2 2,spitter,2 2 2,,,,,,
75,7,2,29,,,,,,,,,,minion,6 6 6,,,,
76,7,3,30,7,7,,goon,3 3,brute,2 2,spitter,2 2,,,,,,
77,7,4,50,7,7,,,,brute,2 2,,,,,,,,
