a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Checkpoint 1 (0),0,7,8,,goon,3 3 4,,,,,,,,,,
1,1,1,10,7,8,,goon,3 3,,,,,,,,,,
2,1,2,60,7,8,,goon,4 4,,,,,,,,,,
3,1,END (90),91,7,8,,goon,4 4,,,,,,,,,,
4,1,Checkpoint 1 (x1),290,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
5,2,Checkpoint 2 (0),0,7,8,,goon,5 5 6,,,,,,,,,,
6,2,1,10,7,8,,goon,5 5,brute,1 1 1,,,,,,,,
7,2,2,35,18,8,,goon,5 5,,,,,,,,,,
8,2,3,50,7,8,,goon,5 5,brute,1 1,,,,,,,,
9,2,4,90,18,10,,goon,6 6,,,,,,,,,,
10,2,END (120),110,5,5,,goon,6 6,,,,,,,,,,
11,2,Checkpoint 2 (x1),320,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
12,3,Checkpoint 3 (0),0,7,5,,goon,5 5 6,,,spitter,1 1 1,,,,,,
13,3,1,29,,,,,,,,,,minion,4 4 4,,,,
14,3,2,30,7,5,,goon,5 5,brute,1 1 1,,,,,,,,
15,3,3,35,7,5,,goon,5 5,,,spitter,1 1,,,,,,
16,3,4,45,7,5,,goon,5 5,brute,1 1,,,,,,,,
17,3,5,59,,,,,,,,,,minion,4 4,,,,
18,3,6,60,7,5,,goon,5 5,,,spitter,1 1,,,,,,
19,3,7,70,7,5,,goon,5 5,brute,1 1,,,,,,,,
20,3,8,80,7,5,,goon,5 5,,,spitter,1 1,,,,,,
21,3,9,89,,,,,,,,,,minion,4 4,,,,
22,3,10,90,7,5,,goon,5 5,brute,1 1,,,,,,,,
23,3,11,100,7,5,,goon,5 5,,,spitter,1 1,,,,,,
24,3,END (120),110,7,5,,goon,5 5,brute,1 1,,,,,,,,
25,3,Checkpoint 3 (x1),320,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
26,4,Checkpoint 4 (0),0,7,5,,goon,5 5 6,brute,1 1 2,,,,,,,,
27,4,1,10,7,5,,goon,5 5,,,spitter,1 1 2,,,,,,
28,4,2,19,,,,,,,,,,minion,4 4 4,,,,
29,4,3,20,7,5,,goon,5 5,brute,1 1,,,,,,,,
30,4,4,30,7,5,,goon,5 5,,,spitter,1 1,,,,,,
31,4,5,39,,,,,,,,,,minion,4 4,,,,
32,4,6,40,7,5,,goon,5 5,brute,1 1,,,,,,,,
33,4,7,50,7,5,,goon,5 5,,,spitter,1 1,,,,,,
34,4,8,59,,,,,,,,,,minion,4 4,,,,
35,4,9,60,7,5,,goon,5 5,brute,1 1,,,,,,,,
36,4,10,70,7,5,,goon,5 5,,,spitter,1 1,,,,,,
37,4,11,79,,,,,,,,,,minion,4 4,,,,
38,4,12,80,7,5,,goon,5 5,brute,1 1,,,,,,,,
39,4,13,90,7,5,,goon,5 5,,,spitter,1 1,,,,,,
40,4,14,99,,,,,,,,,,minion,4 4,,,,
41,4,15,100,7,5,,goon,5 5,brute,1 1,,,,,,,,
42,4,END (120),110,7,5,,goon,5 5,,,spitter,1 1,,,,,,
43,4,Checkpoint 4 (x1),320,18,1,,,,brute,9 9 9,spitter,2 2 2,,,elite,5 5 5,locust,2 2 2
44,5,Spider 1 (0),0,7,5,,goon,4 4 5,,,,,,,,,,
45,5,1,15,7,5,,goon,4 4,,,,,,,,,,
46,5,2,30,7,5,,goon,4 4,brute,1 1 1,,,minion,4 4 4,,,,
47,5,3,60,7,5,,goon,4 4,brute,1 1,,,,,,,,
48,5,4,75,7,5,,goon,4 4,,,,,,,,,,
49,5,5,90,7,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
50,5,6,120,7,5,,goon,4 4,brute,1 1,,,,,,,,
51,5,7,135,7,5,,goon,4 4,,,,,,,,,,
52,5,8,150,7,5,,goon,4 4,brute,1 1,,,minion,4 4,,,,
53,5,9,180,7,5,,goon,4 4,brute,1 1,,,,,,,,
