a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Checkpoint 1 (0),0,4,10,,goon,3 3 3,,,,,,,,,,
1,1,1,10,4,10,,goon,3 3,,,,,,,,,,
2,1,2,60,4,10,,goon,3 3,,,,,,,,,,
3,1,END (90),91,4,10,,goon,3 3,,,,,,,,,,
4,1,Checkpoint 1 (x1),290,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
5,2,Checkpoint 2 (0),0,,,,goon,3 3 4,,,,,,,,,,
6,2,1,10,4,10,,goon,3 3,,,,,,,,,,
7,2,2,35,18,1,,goon,3 3,,,,,,,,,,
8,2,3,50,5,10,,goon,3 3,,,,,,,,,,
9,2,4,90,18,1,,goon,3 3,,,,,,,,,,
10,2,END (120),110,5,10,,goon,3 3,,,,,,,,,,
11,2,Checkpoint 2 (x1),320,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
12,3,Checkpoint 3 (0),0,7,10,,goon,4 4 4,,,,,,,,,,
13,3,1,30,,,,goon,4 4,,,spitter,1 1 1,,,,,,
14,3,2,35,,,,goon,4 4,,,,,,,,,,
15,3,3,50,,,,goon,4 4,,,,,,,,,,
16,3,4,60,,,,goon,4 4,,,,,,,,,,
17,3,5,70,,,,goon,4 4,,,,,,,,,,
18,3,6,80,,,,goon,4 4,,,,,,,,,,
19,3,7,90,,,,goon,4 4,,,,,,,,,,
20,3,8,100,,,,goon,4 4,,,spitter,1 1,,,,,,
21,3,END (120),110,6,5,,goon,4 4,,,,,,,,,,
22,3,Checkpoint 3 (x1),320,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
23,4,Checkpoint 4 (0),0,5,5,,goon,4 4 5,,,,,,,,,,
24,4,1,10,,,,goon,4 4,,,spitter,1 1 1,,,,,,
25,4,2,20,,,,goon,4 4,,,,,,,,,,
26,4,3,30,,,,goon,4 4,,,,,,,,,,
27,4,4,40,,,,goon,4 4,,,,,,,,,,
28,4,5,50,,,,goon,4 4,,,spitter,1 1,,,,,,
29,4,6,60,,,,goon,4 4,,,,,,,,,,
30,4,7,70,,,,goon,4 4,,,,,,,,,,
31,4,8,80,,,,goon,4 4,,,,,,,,,,
32,4,9,90,,,,goon,4 4,,,spitter,1 1,,,,,,
33,4,10,100,,,,goon,4 4,,,,,,,,,,
34,4,END (120),110,5,5,,goon,4 4,,,,,,,,,,
35,4,Checkpoint 4 (x1),320,18,1,,,,brute,11 11 11,spitter,4 4 4,,,elite,3 3 3,,
36,5,Spider 1 (0),0,,,,goon,2 3 3,,,,,,,,,,
37,5,1,10,,,,goon,2 3,,,,,,,,,,
38,5,2,20,,,,goon,2 3,,,,,,,,,,
39,5,3,50,,,,goon,2 3,,,,,,,,,,
40,5,4,60,,,,goon,2 3,,,,,,,,,,
41,5,5,90,,,,goon,2 3,,,,,,,,,,
42,5,6,100,,,,goon,2 3,,,,,,,,,,
43,5,7,130,,,,goon,2 3,,,,,,,,,,
44,5,8,140,,,,goon,2 3,,,,,,,,,,
45,5,9,170,,,,goon,2 3,,,,,,,,,,
46,5,10,180,,,,goon,2 3,,,,,,,,,,
47,5,11,210,,,,goon,2 3,,,,,,,,,,
48,5,12,220,,,,goon,2 3,,,,,,,,,,
49,5,END (),250,4,7,,goon,2 3,,,,,,,,,,
