a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Well Deck 1 (0),0,4,5,,goon,3 3 6,,,,,,,,,,
1,1,1,10,4,5,,goon,3 3,,,,,,,,,,
2,1,2,60,4,5,,goon,4 4,,,,,,,,,,
3,1,END (90),91,4,5,,goon,4 4,,,,,,,,,,
4,1,Well Deck 1 (x1),290,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
5,2,Well Deck Blocker (0),0,4,7,,goon,5 5 7,,,,,,,,,,
6,2,1,10,4,7,,goon,5 5,,,,,,,,,,
7,2,2,35,,,,goon,5 5,,,seeder,1 1 1,,,,,,
8,2,3,45,5,5,,goon,5 5,,,,,,,,,,
9,2,4,90,18,10,,goon,6 6,,,,,,,,,,
10,2,END (130),110,5,5,,goon,6 6,,,,,,,,,,
11,2,Well Deck Blocker (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
12,3,Tentacle (0),0,8,7,,goon,5 5 6,,,,,,,,,,
13,3,1,30,,,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,
14,3,2,35,,,,,,,,,,minion_nometeor,4 4,,,,
15,3,3,45,8,10,,goon,5 5,,,,,,,,,,
16,3,4,90,8,10,,goon,5 5,,,,,minion_nometeor,4 4,,,,
17,3,5,110,8,10,,goon,5 5,,,,,minion_nometeor,4 4,,,,
18,3,6,130,,,,goon,5 5,,,,,,,,,,
19,3,7,140,,,,goon,5 5,,,,,,,,,,
20,3,8,150,,,,goon,5 5,,,,,minion_nometeor,4 4,,,,
21,3,END (160),160,8,10,,goon,5 5,,,,,,,,,,
22,3,Tentacle (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
23,4,Cargo 1 (0),0,4,7,,goon,5 5 6,brute,1 1 2,,,,,,,,
24,4,1,10,4,7,,,,brute,1 1,,,minion_nometeor,4 4 4,,,,
25,4,2,20,4,7,,goon,5 5,brute,1 1,,,,,,,,
26,4,3,30,4,7,,goon,5 5,brute,1 1,,,,,,,,
27,4,4,40,4,7,,,,brute,1 1,,,,,,,,
28,4,5,50,4,7,,goon,5 5,brute,1 1,,,minion_nometeor,4 4,,,,
29,4,6,60,4,7,,goon,5 5,brute,1 1,seeder,2 2 2,,,,,,
30,4,7,70,4,7,,goon,5 5,brute,1 1,,,,,,,,
31,4,8,80,4,7,,goon,5 5,brute,1 1,,,,,,,,
32,4,9,90,4,7,,,,brute,1 1,,,minion_nometeor,4 4,,,,
33,4,10,100,4,7,,goon,5 5,brute,1 1,,,,,,,,
34,4,11,110,4,7,,,,brute,1 1,,,minion_nometeor,4 4,,,,
35,4,END (130),120,4,7,,goon,5 5,,,,,,,,,,
36,4,Cargo 1 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
37,5,Cargo 2 (0),0,5,7,,goon,5 5 6,brute,2 2 2,,,,,,,,
38,5,1,10,5,7,,,,brute,2 2,,,minion_nometeor,4 4 4,,,,
39,5,2,20,5,7,,goon,5 5,brute,2 2,,,,,,,,
40,5,3,30,5,7,,goon,4 4,brute,2 2,seeder,2 2 2,minion_nometeor,4 4,,,,
41,5,4,40,5,7,,,,brute,2 2,,,,,,,,
42,5,5,50,5,7,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
43,5,Rhino Event (30),60,5,7,,goon,5 5,brute,2 2,,,,,,,,
44,5,7,70,5,7,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,locust,1 1 1
45,5,8,80,5,7,,goon,5 5,brute,2 2,,,,,,,,
46,5,9,90,5,7,,goon,5 5,brute,2 2,seeder,2 2,minion_nometeor,4 4,,,,
47,5,10,100,5,7,,goon,5 5,brute,2 2,,,,,,,,
48,5,11,110,5,7,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
49,5,END (130),120,5,7,,goon,5 5,brute,2 2,,,,,,,,
50,5,Cargo 2 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
51,6,Cargo 3 (0),0,6,7,,goon,5 5 5,brute,2 2 2,,,,,,,,
52,6,1,10,6,7,,,,brute,2 2,,,minion_nometeor,4 4 4,,,,
53,6,2,20,6,7,,goon,5 5,brute,2 2,,,,,,,,
54,6,3,30,6,7,,goon,5 5,brute,2 2,seeder,2 2 2,,,,,,
55,6,4,40,6,7,,,,brute,2 2,,,minion_nometeor,4 4,,,,
56,6,5,50,6,7,,goon,5 5,brute,2 2,,,,,,,,
57,6,Rhino Event (30),60,6,7,,goon,5 5,brute,2 2,seeder,2 2,,,,,,
58,6,7,70,6,7,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,locust,2 2 2
59,6,8,80,6,7,,goon,5 5,brute,2 2,,,,,,,,
60,6,9,90,6,7,,,,brute,2 2,seeder,2 2,,,,,,
61,6,10,100,6,7,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
62,6,11,110,6,7,,goon,5 5,brute,2 2,,,,,,,,
63,6,END (130),120,6,7,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
64,6,Cargo 3 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
65,7,Cargo Blocker (0),0,7,5,,goon,5 5 5,brute,2 2 3,,,,,,,,
66,7,1,10,7,5,,,,brute,2 2,,,minion_nometeor,4 4 4,,,,
67,7,2,20,7,5,,goon,5 5,brute,2 2,seeder,2 2 2,,,,,,
68,7,3,30,7,5,,goon,5 5,brute,2 2,,,,,,,,
69,7,4,40,7,5,,,,brute,2 2,seeder,2 2,minion_nometeor,4 4,,,locust,1 1 1
70,7,5,50,7,5,,goon,5 5,brute,2 2,,,,,,,,
71,7,6,60,7,5,,goon,5 5,brute,2 2,seeder,2 2,,,,,,
72,7,7,70,7,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
73,7,8,80,7,5,,goon,5 5,brute,2 2,,,,,,,,
74,7,Blocker Event Event (30),90,7,5,,,,brute,2 2,,,,,,,,
75,7,10,100,7,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
76,7,11,110,7,5,,goon,5 5,brute,2 2,,,,,,,,
77,7,END (180),120,7,5,,goon,5 5,brute,2 2,seeder,2 2,minion_nometeor,4 4,,,,
78,7,Cargo Blocker (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
79,8,Top Deck 1 (0),0,5,5,,goon,5 5 6,brute,4 4 4,,,,,,,,
80,8,1,10,5,5,,,,,,,,minion_nometeor,4 4 4,,,,
81,8,2,20,5,5,,goon,5 5,brute,4 4,seeder,3 3 3,,,,,,
82,8,3,30,5,5,,goon,4 4,brute,4 4,,,,,,,,
83,8,4,40,5,5,,,,,,seeder,3 3,minion_nometeor,4 4,,,locust,1 1 1
84,8,5,50,5,5,,goon,5 5,brute,4 4,,,,,,,,
85,8,Rhino Event (30),60,5,5,,goon,5 5,brute,4 4,seeder,3 3,,,,,,
86,8,7,70,5,5,,goon,5 5,,,,,minion_nometeor,4 4,,,,
87,8,8,80,5,5,,goon,5 5,brute,4 4,seeder,3 3,,,,,locust,1 1
88,8,9,90,5,5,,,,brute,4 4,,,,,,,,
89,8,10,100,5,5,,goon,5 5,,,seeder,3 3,minion_nometeor,4 4,,,,
90,8,11,110,5,5,,goon,5 5,brute,4 4,,,,,,,,
91,8,END (130),120,5,5,,goon,5 5,brute,4 4,seeder,3 3,minion_nometeor,4 4,,,,
92,8,Top Deck 1 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
93,9,Top Deck 2 (0),0,7,5,,goon,5 5 6,brute,4 4 5,,,,,,,,
94,9,1,10,7,5,,,,,,,,minion_nometeor,4 4 4,,,,
95,9,2,20,7,5,,goon,5 5,brute,4 4,seeder,3 3 3,,,,,,
96,9,3,30,7,5,,goon,5 5,brute,4 4,,,,,,,,
97,9,4,40,7,5,,,,,,seeder,3 3,minion_nometeor,4 4,,,locust,1 1 1
98,9,5,50,7,5,,goon,5 5,brute,4 4,,,,,,,,
99,9,Rhino Event (30),60,7,5,,goon,5 5,brute,4 4,seeder,3 3,,,,,,
100,9,7,70,7,5,,goon,5 5,,,,,minion_nometeor,4 4,,,,
101,9,8,80,7,5,,goon,5 5,brute,4 4,seeder,3 3,,,,,locust,1 1
102,9,9,90,7,5,,,,brute,4 4,,,,,,,,
103,9,10,100,7,5,,goon,5 5,,,seeder,3 3,minion_nometeor,4 4,,,,
104,9,11,110,7,5,,goon,5 5,brute,4 4,,,,,,,,
105,9,END (130),120,7,5,,goon,5 5,brute,4 4,seeder,3 3,minion_nometeor,4 4,,,,
106,9,Top Deck 2 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
107,10,Labs 1 (0),0,5,5,,goon,5 5 6,brute,5 5 5,,,,,,,,
108,10,1,10,5,5,,,,,,seeder,3 3 3,minion_nometeor,4 4 4,,,,
109,10,2,20,5,5,,goon,5 5,brute,5 5,,,,,,,,
110,10,3,30,5,5,,goon,4 4,brute,4 4,seeder,3 3,,,,,locust,1 1 1
111,10,4,40,5,5,,,,,,,,minion_nometeor,4 4,,,,
112,10,5,50,5,5,,goon,5 5,brute,4 4,seeder,3 3,,,,,,
113,10,Rhino Event (30),60,5,5,,goon,5 5,brute,4 4,,,,,,,locust,1 1
114,10,7,70,5,5,,goon,5 5,,,seeder,3 3,minion_nometeor,4 4,,,,
115,10,8,80,5,5,,goon,5 5,brute,4 4,,,,,,,,
116,10,9,90,5,5,,goon,5 5,brute,4 4,seeder,3 3,,,,,locust,1 1
117,10,10,100,5,5,,goon,5 5,,,,,minion_nometeor,4 4,,,,
118,10,11,110,5,5,,goon,5 5,brute,4 4,seeder,3 3,,,,,,
119,10,END (130),120,5,5,,goon,5 5,brute,4 4,,,minion_nometeor,4 4,,,,
120,10,Labs 1 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
121,11,Labs 2 (0),0,7,5,,goon,5 5 6,brute,2 2 4,,,,,,,,
122,11,1,10,7,5,,,,,,,,minion_nometeor,4 4 4,,,,
123,11,2,20,7,5,,goon,5 5,brute,2 2,,,,,,,,
124,11,3,30,7,5,,goon,4 4,,,seeder,2 2 3,,,,,locust,1 1 1
125,11,4,40,7,5,,,,brute,2 2,,,minion_nometeor,4 4,,,,
126,11,5,50,7,5,,goon,5 5,,,,,,,,,,
127,11,Rhino Event (30),60,7,5,,goon,5 5,brute,2 2,seeder,2 2,,,,,locust,1 1
128,11,7,70,7,5,,goon,5 5,,,,,minion_nometeor,4 4,,,,
129,11,8,80,7,5,,goon,5 5,brute,2 2,,,,,,,,
130,11,9,90,7,5,,goon,5 5,,,seeder,2 2,,,,,locust,1 1
131,11,10,100,7,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
132,11,11,110,7,5,,goon,5 5,,,,,,,,,,
133,11,END (130),120,7,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
134,11,Labs 2 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
135,12,Labs 3 (0),0,9,5,,goon,5 5 5,brute,2 2 4,,,,,,,,
136,12,1,10,9,5,,goon,5 5,,,seeder,2 2 4,minion_nometeor,4 4 4,,,,
137,12,2,20,9,5,,goon,5 5,brute,2 2,,,,,,,,
138,12,3,30,9,5,,goon,5 5,,,,,,,,,locust,1 1 1
139,12,4,40,9,5,,goon,5 5,brute,2 2,seeder,2 2,minion_nometeor,4 4,,,,
140,12,5,50,9,5,,goon,5 5,,,,,,,,,,
141,12,Rhino Event (30),60,9,5,,goon,5 5,brute,2 2,,,,,,,locust,1 1
142,12,7,70,9,5,,goon,5 5,,,seeder,2 2,minion_nometeor,4 4,,,,
143,12,8,80,9,5,,goon,5 5,brute,2 2,,,,,,,,
144,12,9,90,9,5,,goon,5 5,,,,,,,,,locust,1 1
145,12,10,100,9,5,,goon,5 5,brute,2 2,seeder,2 2,minion_nometeor,4 4,,,,
146,12,11,110,9,5,,goon,5 5,,,,,,,,,,
147,12,END (130),120,9,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
148,12,Labs 3 (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
149,13,Gas (0),0,10,5,,goon,5 5 5,brute,4 4 4,,,,,,,,
150,13,1,10,10,5,,goon,5 5,brute,2 2,seeder,2 2 5,minion_nometeor,4 4 4,,,locust,1 1 2
151,13,2,20,10,5,,goon,5 5,brute,2 2,,,,,,,,
152,13,3,30,10,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
153,13,4,40,10,5,,goon,5 5,brute,2 2,seeder,2 2,,,,,locust,1 1
154,13,5,50,10,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
155,13,2x Rhino Event (45),60,10,5,,goon,5 5,brute,2 2,,,,,,,,
156,13,7,70,10,5,,goon,5 5,brute,2 2,seeder,2 2,minion_nometeor,4 4,,,locust,1 1
157,13,8,80,10,5,,goon,5 5,brute,2 2,,,,,,,,
158,13,9,90,10,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
159,13,10,100,10,5,,goon,5 5,brute,2 2,seeder,2 2,,,,,locust,1 1
160,13,11,109,10,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
161,13,END (180),110,10,5,,goon,5 5,brute,2 2,,,minion_nometeor,4 4,,,,
162,13,Gas (x1),320,18,1,,,,brute,9 9 9,,,,,elite,5 5 5,locust,2 2 2
163,14,First Quarter Spawning (0),0,13,10,,goon,5 5 5,,,seeder,2 2 2,,,,,,
164,14,1,15,13,10,,goon,5 5,,,,,minion_nometeor,4 4 4,,,,
165,14,2,30,13,10,,goon,5 5,brute,2 2 2,,,,,,,,
166,14,3,45,13,10,,goon,5 5,,,seeder,1 1,,,,,,
167,14,DEATH,360,18,5,,,,brute,18 18 18,,,,,,,,
168,15,First Quarter Heating (0),0,15,8,,goon,5 5 5,brute,2 2 2,seeder,2 2 2,minion_nometeor,4 4 4,,,,
169,15,1,30,15,8,,goon,5 5,brute,2 2,seeder,1 1,minion_nometeor,4 4,,,,
170,15,DEATH,360,18,5,,,,brute,18 18 18,,,,,,,,
171,16,Second Quarter Spawning (0),0,13,10,,goon,5 5 5,brute,2 2 2,seeder,2 2 2,,,,,,
172,16,1,15,13,10,,goon,5 5,brute,2 2,seeder,1 1,minion_nometeor,4 4 4,,,,
173,16,2,30,13,10,,goon,5 5,brute,2 2,seeder,1 1,,,,,,
174,16,3,45,13,10,,goon,5 5,brute,2 2,seeder,1 1,minion_nometeor,4 4,,,,
175,16,DEATH,360,18,5,,,,brute,18 18 18,,,,,,,,
176,17,Second Quarter Heating (0),0,15,8,,goon,4 4 4,brute,2 2 3,seeder,2 2 2,minion_nometeor,4 4 4,,,,
177,17,1,30,15,8,,goon,4 4,brute,2 2,seeder,2 2,minion_nometeor,4 4,,,,
178,17,DEATH,360,18,5,,,,brute,18 18 18,,,,,,,,
179,18,Third Quarter Spawning (0),0,13,10,,goon,4 4 4,brute,3 3 3,seeder,2 2 2,,,,,,
180,18,1,15,13,10,,goon,4 4,brute,2 2,seeder,1 1,minion_nometeor,4 4 4,,,,
181,18,2,30,13,10,,goon,4 4,brute,2 2 2,seeder,1 1,minion_nometeor,4 4,,,,
182,18,3,45,13,10,,goon,4 4,brute,2 2,seeder,1 1,minion_nometeor,4 4,,,,
183,18,DEATH,360,18,5,,,,brute,18 18 18,,,,,,,,
184,19,Third Quarter Heating (0),0,15,10,,goon,3 3 3,brute,3 3 3,seeder,2 2 3,minion_nometeor,4 4 4,,,,
185,19,1,30,15,10,,goon,3 3,brute,3 3,seeder,2 2,minion_nometeor,4 4,,,,
186,19,DEATH,360,15,5,,,,brute,18 18 18,,,,,,,,
187,20,Fourth Quarter Spawning (0),0,13,10,,goon,3 3 3,brute,4 4 4,seeder,2 2 2,minion_nometeor,4 4 4,,,,
188,20,1,15,13,10,,goon,3 3,brute,4 4,seeder,2 2,minion_nometeor,4 4,,,,
189,20,2,30,13,10,,goon,3 3,brute,4 4,seeder,2 2,minion_nometeor,4 4,,,,
190,20,3,45,13,10,,goon,3 3,brute,4 4,seeder,2 2,minion_nometeor,4 4,,,,
191,20,DEATH,360,18,5,,,,brute,18 18 18,,,,,,,,
192,21,Fourth Quarter Heating (0),0,,,,,,,,,,,,,,elite,1 1 1
193,21,1,1,15,10,,goon,2 2 2,brute,4 4 4,seeder,2 2 3,minion_nometeor,4 4 4,,,,
194,21,2,30,15,10,,goon,2 2,brute,4 4,seeder,2 2,minion_nometeor,4 4,,,,
195,21,DEATH,360,15,5,,,,brute,18 18 18,,,,,,,,
196,22,Debug Scout,0,,,,goon,1 1,,,,,,,,,,
197,22,Debug Hunter,1,,,,brute,1 1,,,,,,,,,,
198,22,Debug Seeker,2,,,,minion_nometeor,1 1,,,,,,,,,,
199,22,Debug Seeder,3,,,,seeder,1 1,,,,,,,,,,
200,22,Debug Phantom,4,,,,locust,1 1,,,,,,,,,,
201,22,Debug Rhino,5,,,,elite,1 1,,,,,,,,,,
202,23,DFA (0),0,7,6,,goon,5 5 5,brute,2 2 2,,,,,,,,
203,23,1,30,7,6,,,,brute,2 2,,,,,,,,
204,23,2,60,7,6,,goon,5 5,brute,2 2,,,,,,,,
205,23,3,90,7,6,,goon,5 5,brute,2 2,seeder,3 3 3,,,,,,
206,23,4,120,7,6,,,,brute,2 2,,,,,,,locust,1 1 2
207,23,END (180),150,7,6,,goon,5 5,brute,2 2,,,,,,,,
208,23,DFA (x1),380,7,6,,,,brute,7 7 7,,,minion_nometeor,4 4 4,elite,5 5 5,locust,2 2 2
2000,0,door_hive_1_1,1,0,well_deck_2_lane_2,,,,,,,,,,,,,
2001,0,door_hive_1_2,3,0,well_deck_2_lane_2,,,,,,,,,,,,,
2002,0,door_hive_1_3,2,0,well_deck_2_lane_2,,,,,,,,,,,,,
2003,0,door_hive_3_1,1,0,well_deck_2_lane_1,,,,,,,,,,,,,
2004,0,door_hive_3_2,3,0,well_deck_2_lane_1,,,,,,,,,,,,,
2005,0,door_hive_3_3,2,0,well_deck_2_lane_1,,,,,,,,,,,,,
2006,0,door_hive_4_1,4,0,first_blocker_door,,,,,,,,,,,,,
2007,0,door_hive_4_2,4,0,first_blocker_door,,,,,,,,,,,,,
2008,0,door_hive_4_3,4,0,first_blocker_door,,,,,,,,,,,,,
2009,0,door_hive_6_1,5,0,post_tentacle_hallway,,,,,,,,,,,,,
2010,0,door_hive_6_2,6,0,post_tentacle_hallway,,,,,,,,,,,,,
2011,0,door_hive_6_3,7,0,post_tentacle_hallway,,,,,,,,,,,,,
2012,0,door_hive_7_1,8,0,cargo_area_d,,,,,,,,,,,,,
2013,0,door_hive_7_2,9,0,cargo_area_d,,,,,,,,,,,,,
2014,0,door_hive_7_3,10,0,cargo_area_d,,,,,,,,,,,,,
2015,0,door_hive_8_1,8,0,cargo_area_b,,,,,,,,,,,,,
2016,0,door_hive_8_2,9,0,cargo_area_b,,,,,,,,,,,,,
2017,0,door_hive_8_3,10,0,cargo_area_b,,,,,,,,,,,,,
2018,0,door_hive_9_1,8,0,top_deck_a,,,,,,,,,,,,,
2019,0,door_hive_9_2,9,0,top_deck_a,,,,,,,,,,,,,
2020,0,door_hive_9_3,10,0,top_deck_a,,,,,,,,,,,,,
2021,0,door_hive_10_1,8,0,lab_area_d,,,,,,,,,,,,,
2022,0,door_hive_10_2,9,0,lab_area_d,,,,,,,,,,,,,
2023,0,door_hive_10_3,10,0,lab_area_d,,,,,,,,,,,,,
2024,5,reached_layer_1,25,30,,,,,,,,,,,,,,
2025,6,reached_layer_1,25,30,,,,,,,,,,,,,,
2026,7,reached_layer_1,27,30,,,,,,,,,,,,,,
2027,8,reached_layer_1,25,30,,,,,,,,,,,,,,
2028,9,reached_layer_1,25,30,,,,,,,,,,,,,,
2029,10,reached_layer_1,25,30,,,,,,,,,,,,,,
2030,11,reached_layer_1,25,30,,,,,,,,,,,,,,
2031,12,reached_layer_1,25,30,,,,,,,,,,,,,,
2032,13,reached_layer_1,26,45,,,,,,,,,,,,,,
3000,1,no,0,goon,18 18,,,,,,,,,,,,,
3001,1,no,0,goon,18 18,,,,,,,,,,,,,
3002,2,no,0,brute,3 3,,,,,,,,,,,,,
3003,2,no,5,brute,3 3,,,,,,,,,,,,,
3004,3,no,0,minion_nometeor,12 12,,,,,,,,,,,,,
3005,3,no,0,minion_nometeor,12 12,,,,,,,,,,,,,
3006,4,no,0,locust,1 1,,,,,,,,,,,,,
3007,4,no,0,minion_nometeor,6 6,,,,,,,,,,,,,
3008,4,no,0,goon,3 3,,,,,,,,,,,,,
3009,4,no,0,brute,1 1,,,,,,,,,,,,,
3010,5,no,0,elite,1 1,brute,3 3,,,,,,,,,,,
3011,6,no,0,elite,1 1,locust,1 1,,,,,,,,,,,
3012,7,no,0,elite,1 1,seeder,2 2,,,,,,,,,,,
3013,8,no,0,locust,4 4,goon,6 6,,,,,,,,,,,
3014,9,no,0,seeder,4 4,,,,,,,,,,,,,
3015,10,no,0,elite,2 2,goon,6 6,,,,,,,,,,,
3016,25,no,0,elite,1 1,,,,,,,,,,,,,
3017,26,no,0,elite,2 2,,,,,,,,,,,,,
3018,27,yes,0,locust,1 1,,,,,,,,,,,,,
3019,27,yes,0,elite,1 1,,,,,,,,,,,,,
400,Min Spawn Interval,1,,,,,,,,,,,,,,,,
401,Safe Spawn Distance,400,,,,,,,,,,,,,,,,
402,Spawn Point Last Used Duration,2,,,,,,,,,,,,,,,,
403,Break Away From Group Distance,750,,,,,,,,,,,,,,,,
404,Player In Zone Score Modifier,0.75,,,,,,,,,,,,,,,,
405,Current Attacker In Zone Score Modifier,0.25,,,,,,,,,,,,,,,,
406,Recently Used Spawn Point Zone Score Modifier,0.1,,,,,,,,,,,,,,,,
407,Max Break Away Zone Score Increase,2.5,,,,,,,,,,,,,,,,
408,Spawn Event Base Activation Time,0,,,,,,,,,,,,,,,,
409,Spawn Event Additional Time Per Alien,0.5,,,,,,,,,,,,,,,,
410,Spawn Event Max Delay Time,5,,,,,,,,,,,,,,,,
500,1,1,1,1,1,,,,,,,,,,,,,
501,2,1,1,1,1,,,,,,,,,,,,,
502,3,1,1,1,1,,,,,,,,,,,,,
503,4,1,1,1,1.5,,,,,,,,,,,,,
504,5,1,1,1,1.5,,,,,,,,,,,,,
505,6,1,1,1,1.5,,,,,,,,,,,,,
506,7,1,1,1,1.5,,,,,,,,,,,,,
507,8,1,1,.5,2,,,,,,,,,,,,,
508,9,1,1,.5,2,,,,,,,,,,,,,
509,10,1,1,.5,2,,,,,,,,,,,,,
510,11,1,1,.5,2,,,,,,,,,,,,,
511,12,1,1,.5,2,,,,,,,,,,,,,
512,13,1,1,.5,2,,,,,,,,,,,,,
513,14,1,1,1,3,,,,,,,,,,,,,
514,15,1,1,1,3,,,,,,,,,,,,,
515,16,1,1,1,3,,,,,,,,,,,,,
516,17,1,1,1,3,,,,,,,,,,,,,
517,18,1,1,1,3,,,,,,,,,,,,,
518,19,1,1,1,3,,,,,,,,,,,,,
519,20,1,1,1,3,,,,,,,,,,,,,
520,21,1,1,1,3,,,,,,,,,,,,,
521,22,1,1,1,1,,,,,,,,,,,,,
522,23,1,1,1,2,,,,,,,,,,,,,
600,1,90,10000,,,,,,,,,,,,,,,
601,2,130,180,,,,,,,,,,,,,,,
602,3,160,180,,,,,,,,,,,,,,,
603,4,130,10000,,,,,,,,,,,,,,,
604,5,60 130,10000,,,,,,,,,,,,,,,
605,6,60 130,10000,,,,,,,,,,,,,,,
606,7,90 180,10000,,,,,,,,,,,,,,,
607,8,60 130,10000,,,,,,,,,,,,,,,
608,9,60 130,10000,,,,,,,,,,,,,,,
609,10,60 130,10000,,,,,,,,,,,,,,,
610,11,60 130,180,,,,,,,,,,,,,,,
611,12,60 130,180,,,,,,,,,,,,,,,
612,13,90 180,10000,,,,,,,,,,,,,,,
613,14,500,10000,,,,,,,,,,,,,,,
614,15,500,0,,,,,,,,,,,,,,,
615,16,500,0,,,,,,,,,,,,,,,
616,17,500,0,,,,,,,,,,,,,,,
617,18,500,0,,,,,,,,,,,,,,,
618,19,500,0,,,,,,,,,,,,,,,
619,20,500,0,,,,,,,,,,,,,,,
620,21,500,0,,,,,,,,,,,,,,,
621,22,500,0,,,,,,,,,,,,,,,
622,23,180,10000,,,,,,,,,,,,,,,
700,mini_lung_00,0 60,random_sequence mini_lung_lane_1 mini_lung_lane_2,,,,,,,,,,,,,,,
701,mini_lung_00,30 90,random_sequence mini_lung_lane_1 mini_lung_lane_2,,,,,,,,,,,,,,,
702,well_deck_2,0 60 120,random_sequence well_deck_2_lane_1 well_deck_2_lane_2,,,,,,,,,,,,,,,
703,well_deck_2,30 90,random_sequence well_deck_2_lane_1 well_deck_2_lane_2,,,,,,,,,,,,,,,
704,well_deck_3,0 90 180,random_sequence tentacle_1 tentacle_2,,,,,,,,,,,,,,,
705,well_deck_3,45 135,random_sequence tentacle_1 tentacle_2,,,,,,,,,,,,,,,
706,cargo_area_mini_1,0 90,random_sequence cargo_area_a cargo_area_b,,,,,,,,,,,,,,,
707,cargo_area_mini_1,45 135,random_sequence cargo_area_a cargo_area_b,,,,,,,,,,,,,,,
708,cargo_area_mini_1,180,cargo_area_a cargo_area_b,,,,,,,,,,,,,,,
709,cargo_area_mini_2,0 90,random_sequence cargo_area_a cargo_area_c cargo_area_d,,,,,,,,,,,,,,,
710,cargo_area_mini_2,45 135,random_sequence cargo_area_a cargo_area_c cargo_area_d,,,,,,,,,,,,,,,
711,cargo_area_mini_2,180,cargo_area_a cargo_area_c,,,,,,,,,,,,,,,
712,cargo_area_mini_3,0,defendfromafar,,,,,,,,,,,,,,,
713,cargo_area_mini_4,0 90,random_sequence cargo_area_a cargo_area_b cargo_area_c,,,,,,,,,,,,,,,
714,cargo_area_mini_4,45 135,random_sequence cargo_area_a cargo_area_b cargo_area_c,,,,,,,,,,,,,,,
715,cargo_area_mini_4,180,cargo_area_a cargo_area_c,,,,,,,,,,,,,,,
716,cargo_area_main,0 90,random_sequence cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
717,cargo_area_main,45 135,random_sequence cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
718,cargo_area_main,180,cargo_area_c cargo_area_b,,,,,,,,,,,,,,,
719,top_deck_mini_1,0,top_deck_a,,,,,,,,,,,,,,,
720,top_deck_mini_2,0,top_deck_a,,,,,,,,,,,,,,,
721,top_deck_mini_3,0,top_deck_a,,,,,,,,,,,,,,,
722,lab_mini_1,0,random_sequence lab_area_a lab_area_b lab_area_c,,,,,,,,,,,,,,,
723,lab_mini_1,30,random_sequence lab_area_a lab_area_b lab_area_c,,,,,,,,,,,,,,,
724,lab_mini_1,90,lab_area_a lab_area_b lab_area_c,,,,,,,,,,,,,,,
725,lab_mini_2,0,random_sequence lab_area_c lab_area_d,,,,,,,,,,,,,,,
726,lab_mini_2,30,random_sequence lab_area_c lab_area_d,,,,,,,,,,,,,,,
727,lab_mini_2,90,lab_area_c lab_area_d,,,,,,,,,,,,,,,
728,lab_mini_3,0,random_sequence lab_area_d lab_area_b lab_area_c,,,,,,,,,,,,,,,
729,lab_mini_3,30,random_sequence lab_area_d lab_area_b lab_area_c,,,,,,,,,,,,,,,
