a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Well Deck 1 (0),0,2,8,,goon,3 3 4,,,,,,,,,,
1,1,1,10,2,8,,goon,3 3,,,,,,,,,,
2,1,2,60,2,8,,goon,4 4,,,,,,,,,,
3,1,END (90),91,2,7,,goon,4 4,,,,,,,,,,
4,1,Well Deck 1 (x1),290,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
5,2,Well Deck Blocker (0),0,3,7,,goon,4 4 4,,,,,,,,,,
6,2,1,10,3,7,,goon,4 4,,,,,,,,,,
7,2,2,35,3,10,,goon,2 2,brute,1 1 1,,,,,,,,
8,2,3,50,3,7,,goon,4 4,,,,,,,,,,
9,2,4,90,10,10,,goon,4 4 5,,,,,,,,,,
10,2,END (130),110,4,7,,goon,4 4,,,,,,,,,,
11,2,Well Deck Blocker (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
12,3,Tentacle (0),0,4,7,,goon,3 3 4,,,,,,,,,,
13,3,1,30,,,,goon,3 3,,,,,minion_nometeor,1 1 1,,,,
14,3,2,35,,,,goon,3 3,,,,,,,,,,
15,3,3,45,4,10,,goon,3 3,,,,,,,,,,
16,3,4,90,4,10,,goon,3 3,,,,,,,,,,
17,3,5,110,4,10,,goon,3 3,,,,,minion_nometeor,1 1,,,,
18,3,6,130,,,,goon,3 3,,,,,,,,,,
19,3,7,140,,,,goon,3 3,,,,,,,,,,
20,3,8,150,,,,goon,3 3,,,,,,,,,,
21,3,END (160),160,3,8,,goon,3 3,,,,,minion_nometeor,1 1,,,,
22,3,Tentacle (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
23,4,Cargo 1 (0),0,5,5,,goon,3 3 4,brute,1 1 1,,,,,,,,
24,4,1,10,,,,,,,,,,minion_nometeor,2 2 2,,,,
25,4,2,20,,,,goon,3 3,,,,,,,,,,
26,4,3,30,,,,goon,3 3,,,,,,,,,,
27,4,4,40,,,,,,brute,1 1,,,,,,,,
28,4,5,50,,,,goon,3 3,,,,,minion_nometeor,2 2,,,,
29,4,6,60,,,,goon,4 4,,,seeder,1 1 1,,,,,,
30,4,7,70,,,,goon,4 4,,,,,,,,,,
31,4,8,80,,,,goon,4 4,brute,1 1,,,,,,,,
32,4,9,90,,,,,,,,,,minion_nometeor,2 2,,,,
33,4,10,100,,,,goon,4 4,,,,,,,,,,
34,4,11,110,,,,,,,,,,minion_nometeor,2 2,,,,
35,4,END (130),120,5,5,,goon,4 4,,,,,,,,,,
36,4,Cargo 1 (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
37,5,Cargo 2 (0),0,5,5,,goon,3 3 4,brute,1 1 1,,,,,,,,
38,5,1,10,,,,,,,,,,minion_nometeor,2 2 2,,,,
39,5,2,20,,,,goon,3 3,,,,,,,,,,
40,5,3,30,,,,goon,3 3,,,seeder,1 1 1,,,,,,
41,5,4,40,,,,,,brute,1 1,,,,,,,,
42,5,5,50,,,,goon,4 4,,,,,minion_nometeor,2 2,,,,
43,5,Rhino Event (45 Seconds),60,,,,goon,4 4,,,,,,,,,,
44,5,7,70,,,,goon,4 4,,,,,,,,,,
45,5,8,80,,,,goon,4 4,brute,2 2,,,,,,,,
46,5,9,90,,,,,,,,seeder,1 1,minion_nometeor,2 2,,,,
47,5,10,100,,,,goon,4 4,,,,,,,,,,
48,5,11,110,,,,,,,,,,minion_nometeor,2 2,,,,
49,5,END (130),120,5,5,,goon,4 4,,,,,,,,,,
50,5,Cargo 2 (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
51,6,Cargo 3 (0),0,5,5,,goon,4 4 4,brute,2 2 2,,,,,,,,
52,6,1,10,,,,,,,,,,minion_nometeor,2 2 3,,,,
53,6,2,20,,,,goon,4 4,,,,,,,,,,
54,6,3,30,,,,goon,4 4,,,seeder,1 1 1,,,,,,
55,6,4,40,,,,,,brute,1 1,,,minion_nometeor,2 2,,,,
56,6,5,50,,,,goon,4 4,,,,,,,,,,
57,6,6,60,,,,goon,4 4,,,,,,,,,locust,1 1 1
58,6,7,70,,,,goon,4 4,,,,,minion_nometeor,2 2,,,,
59,6,8,80,,,,goon,4 4,brute,1 1,,,,,,,,
60,6,9,90,,,,,,,,seeder,1 1,,,,,,
61,6,10,100,,,,goon,4 4,,,,,minion_nometeor,2 2,,,,
62,6,11,110,,,,,,,,,,,,,,,
63,6,END (130),120,5,5,,goon,4 4,brute,1 1,,,minion_nometeor,2 2,,,,
64,6,Cargo 3 (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
65,7,Cargo Blocker (0),0,5,5,,goon,4 4 4,brute,1 1 2,,,,,,,,
66,7,1,10,,,,,,,,,,minion_nometeor,2 2 2,,,,
67,7,2,20,,,,goon,4 4,brute,1 1,,,,,,,,
68,7,3,30,,,,goon,4 4,,,seeder,1 1 1,,,,,,
69,7,4,40,,,,,,brute,1 1,,,minion_nometeor,2 2,,,,
70,7,5,50,,,,goon,4 4 5,,,,,,,,,,
71,7,6,60,,,,goon,4 4,brute,1 1 3,seeder,1 1,,,,,locust,1 1 1
72,7,7,70,,,,goon,4 4,,,,,minion_nometeor,2 2,,,,
73,7,8,80,,,,goon,4 4,brute,1 1,,,,,,,,
74,7,9,90,5,10,,,,,,seeder,1 1,,,,,,
75,7,10,120,5,10,,goon,4 4,brute,1 1,,,minion_nometeor,2 2,,,,
76,7,11,150,5,10,,,,,,,,,,,,,
77,7,END (180),180,5,5,,goon,4 4,brute,2 2,,,minion_nometeor,2 2,,,,
78,7,Cargo Blocker (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
79,8,Top Deck 1 (0),0,5,5,,goon,4 4 6,brute,2 2 2,,,,,,,,
80,8,1,10,,,,,,,,,,minion_nometeor,1 1 2,,,,
81,8,2,20,,,,goon,4 4,brute,2 2,,,,,,,,
82,8,3,30,,,,goon,4 4,,,seeder,1 1 1,,,,,,
83,8,4,40,,,,,,brute,2 2,,,minion_nometeor,2 2,,,,
84,8,5,50,,,,goon,4 4,,,,,,,,,,
85,8,6,60,,,,goon,4 4,brute,2 2,,,,,,,locust,1 1 1
86,8,7,70,,,,goon,4 4,,,,,minion_nometeor,2 2,,,,
87,8,8,80,,,,goon,4 4,brute,2 2,,,,,,,,
88,8,9,90,,,,,,,,seeder,1 1,,,,,,
89,8,10,100,,,,goon,4 4,brute,2 2,,,minion_nometeor,2 2,,,,
90,8,11,110,,,,,,,,,,,,,,,
91,8,END (130),120,5,5,,goon,4 4,brute,2 2,,,minion_nometeor,2 2,,,,
92,8,Top Deck 1 (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
93,9,Top Deck 2 (0),0,5,5,,goon,4 4 6,brute,2 2 3,,,,,,,,
94,9,1,10,,,,,,,,,,minion_nometeor,2 2 2,,,,
95,9,2,20,,,,goon,4 4,brute,2 2,,,,,,,,
96,9,3,30,,,,goon,4 4,,,seeder,1 1 1,,,,,,
97,9,4,40,,,,,,brute,2 2,,,minion_nometeor,2 2,,,,
98,9,5,50,,,,goon,4 4,,,,,,,,,,
99,9,Rhino Event (45 Seconds),60,,,,goon,4 4,brute,2 2,,,,,,,locust,1 1 1
100,9,7,70,,,,goon,4 4,,,,,minion_nometeor,2 2,,,,
101,9,8,80,,,,goon,4 4,brute,2 2,,,,,,,,
102,9,9,90,,,,,,,,seeder,1 1,,,,,,
103,9,10,100,,,,goon,4 4,brute,2 2,,,minion_nometeor,2 2,,,,
104,9,11,110,,,,,,,,,,,,,,,
105,9,END (130),120,5,5,,goon,4 4,brute,2 2,,,minion_nometeor,2 2,,,,
106,9,Top Deck 2 (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
107,10,Labs 1 (0),0,5,5,,goon,5 5 5,brute,2 2 3,,,,,,,,
108,10,1,10,,,,,,,,,,minion_nometeor,2 2 3,,,,
109,10,2,20,,,,goon,5 5,,,,,,,,,,
110,10,3,30,,,,goon,5 5,,,seeder,1 1 1,,,,,,
111,10,4,40,,,,,,brute,3 3,,,,,,,,
112,10,5,50,,,,goon,5 5,,,,,minion_nometeor,2 2,,,,
113,10,6,60,,,,goon,5 5,,,,,,,,,locust,1 1 1
114,10,7,70,,,,goon,5 5,,,,,,,,,,
115,10,8,80,,,,goon,5 5,brute,3 3,,,,,,,,
116,10,9,90,,,,,,,,seeder,1 1,minion_nometeor,2 2,,,,
117,10,10,100,,,,goon,5 5,,,,,,,,,,
118,10,11,110,,,,,,,,,,minion_nometeor,2 2,,,locust,1 1
119,10,END (130),120,5,5,,goon,5 5,,,,,,,,,,
120,10,Labs 1 (x1),320,18,1,,,,brute,9 9 9,seeder,2 2 2,,,elite,5 5 5,locust,2 2 2
121,11,Labs 2 (0),0,5,5,,goon,5 5 5,brute,2 2 3,,,,,,,,
122,11,1,10,,,,,,,,,,minion_nometeor,2 2 3,,,,
123,11,2,20,,,,goon,5 5,,,,,,,,,,
124,11,3,30,,,,goon,5 5,,,seeder,1 1 1,,,,,,
125,11,Rhino Event (45 Seconds),45,,,,,,brute,3 3,,,,,,,,
126,11,5,50,,,,goon,5 5,,,,,minion_nometeor,2 2,,,,
127,11,6,60,,,,goon,5 5,,,seeder,1 1,,,,,,
128,11,7,70,,,,goon,5 5,,,,,,,,,,
