a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Checkpoint 1 (0),0,,,,goon,4 4 4,,,,,,,,,,
1,1,1,10,4,10,,goon,3 3,,,,,,,,,,
2,1,2,35,4,10,,goon,3 3,,,,,,,,,,
3,1,3,50,4,10,,goon,3 3,,,,,,,,,,
4,1,4,70,4,10,,goon,3 3,brute,1 1 1,,,,,,,,
5,1,5,90,,,,goon,3 3,,,,,,,,,,
6,1,6,100,,,,goon,3 3,,,,,,,,,,
7,1,7,110,,,,goon,3 3,brute,1 1,,,,,,,,
8,1,8,120,,,,goon,3 3,,,,,,,,,,
9,1,END (130),130,4,10,,goon,3 3,,,,,,,,,,
10,1,DEATHWAVE,290,18,1,,gargoyle,3 3 3,brute,3 3 3,spitter,3 3 3,mammoth,3 3 3,bomber,3 3 3,locust,3 3 3
11,2,Checkpoint 1 (0),0,,,,goon,4 4 4,,,spitter,1 1 1,,,,,,
12,2,1,10,4,10,,goon,4 4,brute,1 1 1,,,,,,,,
13,2,2,35,4,10,,goon,4 4,brute,1 1,,,,,,,,
14,2,3,50,4,10,,goon,4 4,,,spitter,1 1,,,,,,
15,2,4,70,4,10,,goon,4 4,brute,1 1,,,,,,,,
16,2,5,90,,,,goon,4 4,,,spitter,1 1,,,,,,
17,2,6,100,,,,goon,4 4,,,,,,,,,,
18,2,7,110,,,,goon,4 4,,,,,,,,,,
19,2,8,120,,,,goon,4 4,brute,1 1,,,,,,,,
20,2,END (130),130,4,10,,goon,4 4,,,spitter,1 1,,,,,,
21,2,DEATHWAVE,290,18,1,,gargoyle,3 3 3,brute,3 3 3,spitter,3 3 3,mammoth,3 3 3,bomber,3 3 3,locust,3 3 3
22,3,Checkpoint 1 (0),0,,,,goon,4 4 6,,,spitter,1 1 1,,,,,,
23,3,1,10,4,10,,goon,4 4,brute,1 1 2,,,,,,,,
24,3,2,35,4,10,,goon,4 4,brute,1 1,,,,,,,,
25,3,3,50,4,10,,goon,4 4,,,spitter,1 1,,,,,,
26,3,4,70,4,10,,goon,4 4,brute,1 1,,,,,,,,
27,3,5,90,,,,goon,4 4,,,spitter,1 1,,,,,,
28,3,6,100,,,,goon,4 4,,,,,,,,,,
29,3,7,110,,,,goon,4 4,,,,,,,,,,
30,3,8,120,,,,goon,4 4,brute,1 1,,,,,,,,
31,3,END (130),130,4,10,,goon,4 4,,,spitter,1 1,,,,,,
32,3,DEATHWAVE,290,18,1,,gargoyle,3 3 3,brute,3 3 3,spitter,3 3 3,mammoth,3 3 3,bomber,3 3 3,locust,3 3 3
33,4,Checkpoint 1 (0),0,,,,goon,4 4 6,,,spitter,1 1 2,,,,,,
34,4,1,10,4,10,,goon,4 4,brute,1 1 2,,,,,,,,
35,4,2,35,4,10,,goon,4 4,brute,1 1,,,,,,,,
36,4,3,50,4,10,,goon,4 4,,,spitter,1 1,,,,,,
37,4,4,70,4,10,,goon,4 4,brute,1 1,,,,,,,,
38,4,5,90,,,,goon,4 4,,,spitter,1 1,,,,,,
39,4,6,100,,,,goon,4 4,,,,,,,,,,
40,4,7,110,,,,goon,4 4,,,,,,,,,,
41,4,8,120,,,,goon,4 4,brute,1 1,,,,,,,,
