a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19,u20,v21,w22,x23,y24
1000,1,Transition (1),0,,,,goon,2 2 3,,,,,,,,,,,,,,,,
1001,1,1,10,,,,goon,2 2,,,,,,,,,,,,,,,,
1002,1,2,20,,,,goon,2 2,,,,,,,,,,,,,,,,
1003,1,3,30,,,,goon,2 2,brute,1 1 1,,,,,,,,,,,,,,
1004,1,4,40,,,,goon,2 2,,,,,,,,,,,,,,,,
1005,1,5,50,,,,goon,2 2,,,,,,,,,,,,,,,,
1006,1,6,60,,,,goon,2 2,,,,,,,,,,,,,,,,
1007,1,7,70,,,,goon,2 2,,,,,,,,,,,,,,,,
1008,1,8,80,,,,goon,2 2,,,,,,,,,,,,,,,,
1009,1,End,90,18,10,,goon,2 2,,,,,,,,,,,,,,,,
1010,1,x1,210,18,1,,,,brute,3 3 3,spitter,3 3 3,minion_nometeor,2 2 2,bomber,2 2 2,gargoyle,2 2 2,locust,2 2 2,elite,4 4 4,,
1011,2,Transition (2),0,,,,goon,3 3 3,,,,,,,,,,,,,,,,
1012,2,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1013,2,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1014,2,3,30,,,,goon,3 3,brute,1 1 1,,,,,bomber,2 2 2,,,,,,,,
1015,2,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1016,2,5,45,,,,,,,,spitter,1 1 1,,,,,,,,,,,,
1017,2,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1018,2,7,60,,,,goon,3 3,brute,1 1,,,,,,,gargoyle,1 1 1,,,,,,
1019,2,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1020,2,9,75,,,,,,,,spitter,1 1,,,,,,,,,,,,
1021,2,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1022,2,11,90,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1023,2,End,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1024,2,x1,225,18,5,,goon,3 3,brute,3 3 3,spitter,3 3 3,minion_nometeor,2 2 2,bomber,2 2 2,gargoyle,2 2 2,locust,2 2 2,elite,4 4 4,,
1025,3,Transition (3),0,,,,goon,3 3 5,,,,,,,,,,,,,,,,
1026,3,1,10,,,,goon,3 3,,,,,,,,,,,,,,,,
1027,3,2,20,,,,goon,3 3,,,,,,,,,,,,,,,,
1028,3,3,30,,,,goon,3 3,brute,1 1 2,,,,,bomber,2 2 2,,,,,,,,
1029,3,4,40,,,,goon,3 3,,,,,,,,,,,,,,,,
1030,3,5,45,,,,,,,,spitter,1 1 2,minion,2 2 2,,,,,,,,,,
1031,3,6,50,,,,goon,3 3,,,,,,,,,,,,,,,,
1032,3,7,60,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,gargoyle,1 1 2,,,,,,
1033,3,8,70,,,,goon,3 3,,,,,,,,,,,,,,,,
1034,3,9,75,,,,,,,,spitter,1 1,minion_nometeor,2 2 2,,,,,,,,,,
1035,3,10,80,,,,goon,3 3,,,,,,,,,,,,,,,,
1036,3,11,90,,,,goon,3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1037,3,12,100,,,,goon,3 3,,,,,,,,,,,,,,,,
1038,3,13,105,,,,,,,,spitter,1 1,minion,2 2 2,,,gargoyle,1 1,,,,,,
1039,3,14,110,,,,goon,3 3,,,,,,,,,,,,,,,,
1040,3,End,120,18,10,,goon,3 3,brute,1 1,,,,,bomber,2 2,,,,,,,,
1041,3,DEATH,240,18,5,,goon,4 4,brute,3 3 3,spitter,3 3 3,minion_nometeor,2 2 2,bomber,2 2 2,gargoyle,2 2 2,locust,2 2 2,elite,4 4 4,,
1042,4,Transition (4),0,,,,goon,5 5 5,,,,,,,,,,,,,,,,
1043,4,1,10,,,,goon,5 5,,,,,,,,,,,,,,,,
1044,4,2,20,,,,goon,5 5,,,,,,,,,,,,,,,,
1045,4,3,30,,,,goon,5 5,brute,1 1 2,,,,,bomber,2 2 4,,,,,,,,
1046,4,4,40,,,,goon,5 5,,,,,minion,2 2 2,,,,,,,,,,
1047,4,5,45,,,,,,,,spitter,1 1 2,,,bomber,2 2,,,,,,,,
1048,4,6,50,,,,goon,5 5,,,,,minion_nometeor,2 2 2,,,,,,,,,,
1049,4,7,60,,,,goon,5 5,brute,1 1,,,,,bomber,2 2,gargoyle,1 1 2,locust,1 1 1,,,,
1050,4,8,70,,,,goon,5 5,,,,,minion,2 2,,,,,,,,,,
1051,4,9,75,,,,,,,,spitter,1 1,,,bomber,2 2,,,,,,,,
1052,4,10,80,,,,goon,5 5,,,,,minion_nometeor,2 2,,,,,,,,,,
1053,4,11,90,18,10,,goon,5 5 5,brute,1 1 2,spitter,1 1 2,minion_nometeor,2 2 2,bomber,2 2 4,gargoyle,1 1 2,locust,1 1 1,,,,
1054,4,DEATH,255,18,5,,goon,4 4,brute,3 3 3,spitter,3 3 3,minion_nometeor,2 2 2,bomber,2 2 2,gargoyle,2 2 2,locust,2 2 2,elite,4 4 4,,
