a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Tutorial (0),0,18,8,,goon,3 3 6,brute,1 1 1,,,,,,,,
1,1,1,20,1,5,,goon,4 4,,,,,,,,,,
2,2,Lodge 1 (0),0,18,4,,goon,1 1 8,,,,,,,,,,
3,2,1,8,18,4,,goon,2 2,,,,,,,,,,
4,2,2,16,18,4,,goon,3 3,,,,,,,,,,
5,2,3,32,18,4,,goon,4 4,brute,1 1 1,,,,,,,,
6,2,4,60,18,4,,goon,5 5 10,brute,1 1,,,,,,,,
7,2,Lodge 1 (120),108,18,4,,goon,6 6,,,,,,,,,,
8,2,Lodge 1 (x1),156,4,3,,goon,7 7 10,,,,,,,,,,
9,3,Lodge 2 (0),0,,,,goon,4 4 8,,,,,minion,8 8 8,,,,
10,3,1,7,,,,goon,4 4,,,,,,,,,,
11,3,2,14,,,,goon,5 5,,,,,,,,,,
12,3,3,21,18,4,,goon,5 5,,,,,minion,3 3,,,,
13,3,4,42,18,5,,goon,6 6,,,,,minion,3 3,,,,
14,3,Lodge 2 (120),97,18,5,,goon,7 7,,,,,minion,3 3,,,,
15,3,Lodge 2 (x1),141,4,6,,goon,8 8,,,,,,,,,,
16,4,Lodge 3 (0),0,2,5,,goon,3 3 10,,,,,,,,,,
17,4,1,7,4,5,,goon,4 4,,,spitter,1 1 1,,,,,,
18,4,2,14,4,5,,goon,5 5,,,,,minion,8 8 8,,,,
19,4,3,21,18,5,,goon,6 6,,,spitter,1 1 2,minion,3 3,,,,
20,4,4,42,18,5,,goon,7 7,,,,,minion,3 3,,,,
21,4,Lodge 3 (120),92,18,5,,goon,8 8,,,spitter,1 1 3,minion,3 3,,,,
22,4,Lodge 3 (x1),132,4,6,,goon,9 9,,,spitter,2 2 3,,,,,,
23,5,Blocker 1 (0),0,18,10,,goon,4 4 4,,,spitter,4 4 4,minion,4 4 4,,,,
24,5,1,90,18,9,,goon,4 4 5,,,spitter,4 4 5,minion,4 4,,,,
25,5,2,107,18,8,,goon,4 4 6,,,spitter,4 4 6,minion,4 4,,,,
26,5,3,125,18,7,,goon,4 4 7,,,spitter,4 4 7,minion,4 4,,,,
27,5,Blocker 1 (Final),140,18,6,,goon,4 4 6,,,spitter,4 4 8,minion,4 4,,,,
28,6,City 1 (0),0,18,1,,goon,4 4 18,,,,,,,,,,
29,6,1,10,18,5,,goon,4 4 8,brute,1 1 1,,,,,,,,
30,6,2,20,18,5,,goon,4 4,,,spitter,2 2 2,,,,,,
31,6,3,30,18,5,,goon,4 4 10,,,,,minion,3 3 4,,,,
32,6,4,50,18,5,,goon,4 4,brute,1 1 2,spitter,2 2,,,,,,
33,6,5,60,18,5,,goon,4 4,,,,,minion,3 3,,,,
34,6,6,80,3,1,,goon,4 4 9,brute,1 1,spitter,2 2 3,,,,,,
35,6,7,110,18,5,,goon,4 4 8,brute,2 2 3,,,minion,3 3,,,,
36,6,8,130,18,5,,goon,4 4,,,spitter,2 2,,,,,,
37,6,9,140,18,5,,goon,4 4,brute,2 2,,,minion,3 3,,,,
38,6,10,160,18,5,,goon,4 4,,,spitter,2 2,,,,,,
39,6,City 1 (180),170,18,5,,goon,4 4 7,brute,2 2 4,,,minion,3 3,,,,
40,6,City 1 (x1),190,18,5,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
41,6,City 1 (x2),200,18,5,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
42,6,City 1 (x3),210,18,5,,,,brute,8 8 8,spitter,4 4 4,,,elite,4 4 6,,
43,7,City 2 (0),0,18,5,,goon,5 5 11,brute,2 2 4,,,,,,,,
44,7,1,10,18,5,,goon,5 5,,,spitter,2 2 3,,,,,,
45,7,2,20,18,5,,goon,5 5,brute,3 3,,,,,,,,
46,7,3,30,18,5,,goon,5 5,,,spitter,2 2,minion,4 4 4,,,,
47,7,4,50,18,5,,goon,5 5,brute,3 3,,,,,,,,
48,7,5,60,18,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
49,7,6,70,18,5,,goon,5 5 7,brute,4 4,,,,,,,,
50,7,7,80,18,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
51,7,8,90,18,5,,goon,5 5,brute,4 4,,,,,,,,
52,7,9,110,18,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
53,7,10,120,18,5,,goon,5 5 6,brute,4 4 5,,,,,,,,
54,7,11,130,18,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
55,7,12,140,18,5,,goon,5 5,brute,4 4,,,,,,,,
56,7,13,150,18,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
57,7,14,170,18,5,,goon,5 5,brute,4 4,,,,,,,,
58,7,City 2 (180),180,18,5,,goon,5 5,brute,4 4,spitter,3 3,minion,4 4,,,,
59,7,City 2 (x1),200,18,4,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
60,7,City 2 (x2),260,18,2,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
61,7,City 2 (x3),320,18,1,,,,brute,8 8 8,spitter,4 4 4,,,elite,4 4 6,,
62,8,City 3 (0),0,18,4,,,,,,spitter,10 10 10,,,,,,
63,8,1,9,18,4,,goon,7 7 7,brute,2 2 4,spitter,3 3 3,,,,,,
64,8,2,18,18,4,,goon,7 7,brute,2 2,,,,,,,,
65,8,3,27,18,4,,goon,7 7,,,spitter,3 3,minion,4 4 4,,,,
66,8,4,36,18,4,,goon,7 7,brute,3 3,spitter,3 3,,,,,,
67,8,5,47,18,4,,goon,7 7,brute,3 3,,,,,,,,
68,8,6,55,18,4,,goon,7 7,,,spitter,3 3,minion,4 4,,,,
69,8,7,63,18,4,,goon,7 7,brute,4 4,spitter,3 3,,,,,,
70,8,8,72,18,4,,goon,7 7,brute,4 4,,,,,,,,
71,8,9,81,18,4,,goon,7 7,,,spitter,3 3,minion,4 4,,,,
72,8,10,90,18,4,,goon,6 6 6,brute,4 4 5,spitter,3 3,,,,,,
73,8,11,99,18,4,,goon,6 6,brute,4 4,,,,,,,,
74,8,12,108,18,4,,goon,6 6,,,spitter,3 3,minion,4 4,,,,
75,8,13,117,18,4,,goon,6 6,brute,4 4,spitter,3 3,,,,,,
76,8,14,126,18,4,,goon,6 6,brute,4 4,,,,,,,,
77,8,15,135,18,4,,goon,6 6,,,spitter,3 3,minion,4 4,,,,
78,8,16,144,18,4,,goon,6 6,brute,4 4,spitter,3 3,,,,,,
79,8,17,153,18,4,,goon,6 6,brute,4 4,,,,,,,,
80,8,18,162,18,4,,goon,6 6,,,spitter,3 3,minion,4 4,,,,
81,8,19,171,18,4,,goon,6 6,brute,5 5,spitter,3 3,,,,,,
82,8,City 3 (180),180,18,4,,goon,6 6,brute,5 5,spitter,3 3,minion,4 4,,,,
83,8,City 3 (x1),200,18,3,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
84,8,City 3 (x2),260,18,2,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
85,8,City 3 (x3),320,18,1,,,,brute,8 8 8,spitter,4 4 4,,,elite,4 4 6,,
86,9,Blocker 2 (0),0,18,4,,goon,4 4 4,brute,1 1 2,spitter,4 4 8,,,,,,
87,9,1,60,18,4,,goon,4 4,brute,1 1,spitter,5 5,elite,1 1 1,,,,
88,9,2,90,18,4,,goon,4 4,brute,2 2 3,spitter,6 6,,,,,,
89,9,3,150,18,4,,goon,4 4,brute,1 1,spitter,7 7,elite,1 1 1,,,,
90,9,4,180,18,4,,goon,4 4,brute,1 1,spitter,8 8,,,,,,
91,9,5,210,18,4,,goon,4 4,brute,2 2,spitter,8 8,elite,1 1 1,,,,
92,9,6,240,18,1,,,,,,spitter,8 8,,,,,,
93,9,7,270,18,4,,goon,4 4,brute,2 2 4,spitter,8 8,elite,1 1 1,,,,
94,9,8,300,18,4,,goon,4 4,brute,3 3,spitter,8 8,,,,,,
95,9,Blocker 2 (END),360,18,4,,goon,7 7,brute,3 3,spitter,8 8,elite,1 1 1,,,,
96,9,Blocker 2 (x1),500,18,4,,goon,7 7 7,brute,5 5 5,spitter,5 5 5,,,elite,1 1 1,,
97,9,Blocker 2 (x2),560,18,4,,goon,5 5 5,brute,6 6 6,spitter,5 5,,,elite,1 1 2,,
98,9,Blocker 2 (x3),620,18,4,,goon,3 3 3,brute,6 6,spitter,6 6 6,,,elite,1 1 3,,
99,9,Blocker 2 (x4),680,18,4,,,,brute,7 7 7,spitter,7 7 7,,,elite,1 1 4,,
100,9,Blocker 2 (x5),740,18,4,,,,brute,6 6 6,spitter,7 7,,,elite,1 1 5,,
101,10,Cabin 1 (0),0,18,7,,goon,5 5 6,brute,3 3 5,spitter,2 2 3,,,,,,
102,10,1,15,,,,,,,,,,minion,4 4 4,,,,
103,10,2,16,18,7,,goon,5 5 9,brute,3 3,,,,,,,,
104,10,3,30,,,,,,,,,,minion,4 4,,,,
105,10,4,32,18,7,,goon,5 5 6,brute,3 3,spitter,2 2,,,,,,
106,10,5,40,18,7,,goon,5 5 9,brute,3 3,,,,,,,,
107,10,6,45,,,,,,,,,,minion,4 4,,,,
108,10,7,48,18,7,,goon,5 5 6,brute,3 3,spitter,2 2,,,,,,
109,10,8,60,,,,,,,,,,minion,4 4,,,,
110,10,9,64,18,7,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
111,10,10,75,,,,,,,,,,minion,4 4,,,,
112,10,11,80,18,7,,goon,5 5,brute,4 4 8,,,,,,,,
113,10,12,90,,,,,,,,,,minion,4 4,,,,
114,10,13,96,18,7,,goon,5 5,brute,4 4 5,spitter,2 2,,,,,,
115,10,14,105,,,,,,,,,,minion,4 4,,,,
116,10,15,108,18,7,,goon,5 5,brute,5 5,spitter,3 3,,,,,,
117,10,Cabin 1 (120),120,,,,goon,5 5,brute,5 5,spitter,2 2,minion,4 4,,,,
118,10,Cabin 1 (x1),150,18,5,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
119,10,Cabin 1 (x2),180,18,2,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
120,10,Cabin 1 (x3),210,18,1,,,,brute,8 8 8,spitter,4 4 4,,,elite,4 4 6,,
121,11,Cabin 2 (0),0,18,6,,goon,5 5 6,brute,3 3 5,spitter,2 2 3,,,,,,
122,11,1,15,,,,,,,,,,minion,4 4 4,,,,
123,11,2,16,18,6,,goon,5 5,brute,3 3,,,,,,,,
124,11,3,30,,,,,,,,,,minion,4 4,,,,
125,11,4,32,18,6,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
126,11,5,40,18,6,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
127,11,6,45,,,,,,,,,,minion,4 4,,,,
128,11,7,48,18,6,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
129,11,8,60,,,,,,,,,,minion,4 4,,,,
130,11,9,64,18,6,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
131,11,10,75,,,,,,,,,,minion,4 4,,,,
132,11,11,80,18,6,,goon,5 5,brute,4 4,spitter,2 2,,,,,,
133,11,12,90,,,,,,,,,,minion,4 4,,,,
134,11,13,96,18,6,,goon,5 5,brute,4 4,spitter,2 2,,,,,,
135,11,14,105,,,,,,,,,,minion,4 4,,,,
136,11,15,108,18,6,,goon,5 5,brute,5 5,spitter,3 3,,,,,,
137,11,Cabin 2 (120),120,,,,goon,5 5,brute,5 5,spitter,2 2,minion,4 4,,,,
138,11,Cabin 2 (x1),150,18,5,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
139,11,Cabin 2 (x2),180,18,2,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
140,11,Cabin 2 (x3),210,18,1,,,,brute,8 8 8,spitter,4 4 4,,,elite,4 4 6,,
141,12,Cabin 3 (0),0,18,5,,goon,5 5 6,brute,3 3 5,spitter,2 2 3,,,,,,
142,12,1,15,,,,,,,,,,minion,4 4 4,,,,
143,12,2,16,18,5,,goon,5 5,brute,3 3,,,,,,,,
144,12,3,30,,,,,,,,,,minion,4 4,,,,
145,12,4,32,18,5,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
146,12,5,40,18,5,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
147,12,6,45,,,,,,,,,,minion,4 4,,,,
148,12,7,48,18,5,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
149,12,8,60,,,,,,,,,,minion,4 4,,,,
150,12,9,64,18,5,,goon,5 5,brute,3 3,spitter,2 2,,,,,,
