a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,Tutorial (0),0,6,8,,goon,3 3 6,,,,,,,,,,
1,1,1,20,1,5,,goon,4 4,,,,,,,,,,
2,2,Lodge 1 (0),0,6,4,,goon,1 1 6,,,,,,,,,,
3,2,1,8,,,,goon,2 2,brute,1 1 1,,,,,,,,
4,2,2,16,6,4,,goon,3 3,,,,,,,,,,
5,2,3,32,6,4,,goon,4 4,,,,,,,,,,
6,2,4,60,6,4,,goon,5 5,,,,,,,,,,
7,2,Lodge 1 (120),108,6,4,,goon,6 6,,,,,,,,,,
8,2,Lodge 1 (x1),156,6,3,,goon,7 7 8,,,,,,,,,,
9,3,Lodge 2 (0),0,,,,goon,4 4 6,,,,,minion,8 8 8,,,,
10,3,1,7,,,,goon,4 4,,,,,,,,,,
11,3,2,14,,,,goon,5 5,brute,1 1 1,,,,,,,,
12,3,3,21,6,4,,goon,5 5,,,,,minion,3 3,,,,
13,3,4,42,6,5,,goon,6 6,,,,,minion,3 3,,,,
14,3,Lodge 2 (120),97,6,5,,goon,7 7 7,,,,,minion,3 3,,,,
15,3,Lodge 2 (x1),141,6,6,,goon,8 8 8,,,,,,,,,,
16,4,Lodge 3 (0),0,2,5,,goon,3 3 10,,,,,,,,,,
17,4,1,7,4,5,,goon,4 4,,,spitter,1 1 1,,,,,,
18,4,2,14,4,5,,goon,5 5,,,,,minion,8 8 8,,,,
19,4,3,21,6,5,,goon,6 6,,,spitter,1 1 2,minion,3 3,,,,
20,4,4,42,6,5,,goon,7 7,,,,,minion,3 3,,,,
21,4,Lodge 3 (120),92,6,5,,goon,8 8,,,spitter,1 1 3,minion,3 3,,,,
22,4,Lodge 3 (x1),132,6,6,,goon,9 9,,,spitter,2 2 3,,,,,,
23,5,Blocker 1 (0),0,6,10,,goon,4 4 4,,,spitter,2 2 4,minion,4 4 4,,,,
24,5,1,90,6,9,,goon,4 4 5,,,spitter,2 2 5,minion,4 4,,,,
25,5,2,107,6,8,,goon,4 4 6,,,spitter,2 2 6,minion,4 4,,,,
26,5,3,125,6,7,,goon,4 4 7,,,spitter,2 2 7,minion,4 4,,,,
27,5,Blocker 1 (Final),140,6,6,,goon,4 4 6,,,spitter,2 2 8,minion,4 4,,,,
28,6,City 1 (0),0,6,1,,goon,4 4 8,,,,,,,,,,
29,6,1,10,6,5,,goon,4 4,brute,1 1 1,,,,,,,,
30,6,2,20,6,5,,goon,4 4,,,spitter,2 2 2,,,,,,
31,6,3,30,6,5,,goon,4 4,,,,,minion,3 3 4,,,,
32,6,4,50,6,5,,goon,4 4,brute,1 1,spitter,2 2,,,,,,
33,6,5,60,6,5,,goon,4 4,,,,,minion,3 3,,,,
34,6,6,80,3,1,,goon,4 4,brute,1 1,spitter,2 2,,,,,,
35,6,7,110,6,5,,goon,4 4,brute,1 1 2,,,minion,3 3,,,,
36,6,8,130,6,5,,goon,4 4,,,spitter,2 2,,,,,,
37,6,9,140,6,5,,goon,4 4,brute,1 1,,,minion,3 3,,,,
38,6,10,160,6,5,,goon,4 4,,,spitter,2 2,,,,,,
39,6,City 1 (180),170,6,5,,goon,4 4,brute,2 2 4,,,minion,3 3,,,,
40,6,City 1 (x1),190,6,5,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
41,6,City 1 (x2),200,6,5,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
42,6,City 1 (x3),210,6,5,,,,brute,8 8 8,spitter,4 4 4,,,elite,4 4 6,,
43,7,City 2 (0),0,6,5,,goon,5 5 8,brute,2 2 3,,,,,,,,
44,7,1,10,6,5,,goon,5 5,,,spitter,2 2 3,,,,,,
45,7,2,20,6,5,,goon,5 5,brute,2 2,,,,,,,,
46,7,3,30,6,5,,goon,5 5,,,spitter,2 2,minion,4 4 4,,,,
47,7,4,50,6,5,,goon,5 5,brute,2 2,,,,,,,,
48,7,5,60,6,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
49,7,6,70,6,5,,goon,5 5 7,brute,2 2,,,,,,,,
50,7,7,80,6,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
51,7,8,90,6,5,,goon,5 5,brute,2 2,,,,,,,,
52,7,9,110,6,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
53,7,10,120,6,5,,goon,5 5 6,brute,3 3,,,,,,,,
54,7,11,130,6,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
55,7,12,140,6,5,,goon,5 5,brute,3 3,,,,,,,,
56,7,13,150,6,5,,goon,5 5,,,spitter,3 3,minion,4 4,,,,
57,7,14,170,6,5,,goon,5 5,brute,3 3,,,,,,,,
58,7,City 2 (180),180,6,5,,goon,5 5,brute,4 4,spitter,3 3,minion,4 4,,,,
59,7,City 2 (x1),200,6,4,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
60,7,City 2 (x2),260,6,2,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
61,7,City 2 (x3),320,6,1,,,,brute,8 8 8,spitter,4 4 4,,,elite,4 4 6,,
62,8,City 3 (0),0,6,4,,,,,,spitter,10 10 10,,,,,,
63,8,1,9,6,4,,goon,7 7 7,brute,2 2 3,spitter,3 3 3,,,,,,
64,8,2,18,6,4,,goon,7 7,brute,2 2,,,,,,,,
65,8,3,27,6,4,,goon,7 7,,,spitter,3 3,minion,4 4 4,,,,
66,8,4,36,6,4,,goon,7 7,brute,3 3,spitter,3 3,,,,,,
67,8,5,47,6,4,,goon,7 7,brute,3 3,,,,,,,,
68,8,6,55,6,4,,goon,7 7,,,spitter,3 3,minion,4 4,,,,
69,8,7,63,6,4,,goon,7 7,brute,3 3,spitter,3 3,,,,,,
70,8,8,72,6,4,,goon,7 7,brute,3 3,,,,,,,,
71,8,9,81,6,4,,goon,7 7,,,spitter,3 3,minion,4 4,,,,
72,8,10,90,6,4,,goon,6 6 6,brute,3 3,spitter,3 3,,,,,,
73,8,11,99,6,4,,goon,6 6,brute,3 3,,,,,,,,
74,8,12,108,6,4,,goon,6 6,,,spitter,3 3,minion,4 4,,,,
75,8,13,117,6,4,,goon,6 6,brute,3 3,spitter,3 3,,,,,,
76,8,14,126,6,4,,goon,6 6,brute,3 3,,,,,,,,
77,8,15,135,6,4,,goon,6 6,,,spitter,3 3,minion,4 4,,,,
78,8,16,144,6,4,,goon,6 6,brute,3 3 4,spitter,3 3,,,,,,
79,8,17,153,6,4,,goon,6 6,brute,3 3,,,,,,,,
80,8,18,162,6,4,,goon,6 6,,,spitter,3 3,minion,4 4,,,,
81,8,19,171,6,4,,goon,6 6,brute,3 3,spitter,3 3,,,,,,
82,8,City 3 (180),180,6,4,,goon,6 6,brute,3 3,spitter,3 3,minion,4 4,,,,
83,8,City 3 (x1),200,6,3,,goon,4 4 4,brute,8 8 8,spitter,4 4 4,,,elite,2 2 2,,
84,8,City 3 (x2),260,6,2,,goon,2 2 2,brute,8 8 8,spitter,4 4 4,,,elite,2 2 4,,
