a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,0,0,,,,goon,3 3 6,,,,,,,,,,
1,1,1,10,,,,goon,3 3,,,,,,,,,,
2,1,2,20,1,5,,goon,4 4,,,,,,,,,,
3,2,0,0,,,,goon,1 1 10,,,,,,,,,,
4,2,1,8,,,,goon,2 2,,,,,,,,,,
5,2,2,16,,,,goon,3 3,,,,,,,,,,
6,2,3,24,,,,goon,3 3,,,,,,,,,,
7,2,4,32,,,,goon,4 4,,,,,,,,,,
8,2,5,40,,,,goon,4 4,,,,,,,,,,
9,2,6,48,,,,goon,4 4,,,,,,,,,,
10,2,7,60,,,,goon,5 5 12,,,,,,,,,,
11,2,8,72,,,,goon,5 5,,,,,,,,,,
12,2,9,84,,,,goon,5 5,,,,,,,,,,
13,2,10,96,,,,goon,5 5,,,,,,,,,,
14,2,11,108,,,,goon,6 6,,,,,,,,,,
15,2,12,120,,,,goon,6 6,,,,,,,,,,
16,2,13,132,,,,goon,6 6,,,,,,,,,,
17,2,14,144,,,,goon,6 6,,,,,,,,,,
18,2,15,156,4,6,,goon,7 7 14,,,,,,,,,,
19,3,0,0,,,,goon,2 2 12,,,,,,,,,,
20,3,1,7,,,,goon,3 3,,,,,,,,,,
21,3,2,14,,,,goon,4 4,,,,,,,,,,
22,3,3,21,,,,goon,5 5,,,,,,,,,,
23,3,4,28,,,,goon,5 5,,,,,,,,,,
24,3,5,35,,,,goon,5 5,,,,,,,,,,
25,3,6,42,,,,goon,6 6,,,,,,,,,,
26,3,7,53,,,,goon,6 6,,,,,,,,,,
27,3,8,64,,,,goon,6 6,,,,,,,,,,
28,3,9,75,,,,goon,6 6,,,,,,,,,,
29,3,10,86,,,,goon,6 6,,,,,,,,,,
30,3,11,97,,,,goon,7 7,,,,,,,,,,
31,3,12,108,,,,goon,7 7,,,,,,,,,,
32,3,13,119,,,,goon,7 7,,,,,,,,,,
33,3,14,130,,,,goon,7 7,,,,,,,,,,
34,3,15,141,4,6,,goon,8 8,,,,,,,,,,
35,4,0,0,,,,goon,3 3 14,,,,,,,,,,
36,4,1,7,,,,goon,4 4,,,,,,,,,,
37,4,2,14,,,,goon,5 5,,,,,,,,,,
38,4,3,21,,,,goon,6 6,,,,,,,,,,
39,4,4,28,,,,goon,6 6,,,,,,,,,,
40,4,5,35,,,,goon,6 6,,,,,,,,,,
41,4,6,42,,,,goon,7 7,,,,,,,,,,
42,4,7,52,,,,goon,7 7,,,,,,,,,,
43,4,8,62,,,,goon,7 7,,,,,,,,,,
44,4,9,72,,,,goon,7 7,,,,,,,,,,
45,4,10,82,,,,goon,7 7,,,,,,,,,,
46,4,11,92,,,,goon,8 8,,,,,,,,,,
47,4,12,102,,,,goon,8 8,,,,,,,,,,
48,4,13,112,,,,goon,8 8,,,,,,,,,,
49,4,14,122,,,,goon,8 8,,,,,,,,,,
50,4,15,132,4,6,,goon,9 9,,,,,,,,,,
51,5,0,0,,,,,,spitter,4 4 6,,,,,,,,
52,5,1,18,,,,goon,4 4 4,,,,,,,,,,
53,5,2,27,,,,goon,4 4,,,,,,,,,,
