a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
0,1,0,0,,,A,goon,2 2,,,,,,,,,,
1,1,1,10,,,A,goon,2 2,,,,,,,,,,
2,1,2,20,1,5,A,goon,2 2,,,,,,,,,,
3,2,0,0,,,C,goon,2 3,,,,,,,,,,
4,2,1,12,,,B,goon,2 3,,,,,,,,,,
5,2,2,24,,,C,goon,2 3,,,,,,,,,,
6,2,3,36,,,B,goon,2 3,,,,,,,,,,
7,2,4,48,,,C,goon,3 3,,,,,,,,,,
8,2,5,60,,,B,goon,3 3,,,,,,,,,,
9,2,6,72,,,C,goon,3 3,,,,,,,,,,
10,2,7,84,,,B,goon,3 3,,,,,,,,,,
11,2,8,96,2,3,C,goon,3 3,,,,,,,,,,
12,3,0,0,,,B,goon,2 2,,,,,,,,,,
13,3,1,12,,,B,goon,2 2,,,,,,,,,,
14,3,2,24,,,C,goon,2 2,,,,,,,,,,
15,3,3,36,,,B,goon,2 2,,,,,,,,,,
16,3,4,48,,,B,goon,3 3,,,,,,,,,,
17,3,5,60,,,C,goon,3 3,,,,,,,,,,
18,3,6,72,,,B,goon,3 3,,,,,,,,,,
19,3,7,84,,,C,goon,3 3,,,,,,,,,,
20,3,8,96,2,3,B,goon,3 3,,,,,,,,,,
21,4,0,0,,,C,goon,2 2,,,,,,,,,,
22,4,1,12,,,B,goon,2 2,,,,,,,,,,
23,4,2,24,,,C,goon,2 2,,,,,,,,,,
24,4,3,36,,,B,goon,2 2,,,,,,,,,,
25,4,4,48,,,C,goon,3 3,,,,,,,,,,
26,4,5,60,,,B,goon,3 3,,,,,,,,,,
27,4,6,72,,,C,goon,3 3,,,,,,,,,,
28,4,7,84,,,B,goon,3 3,,,,,,,,,,
29,4,8,96,2,3,C,goon,3 3,,,,,,,,,,
30,5,0,0,,,A,goon,2 3,,,,,,,,,,
31,5,1,11,,,B,goon,2 3,,,,,,,,,,
32,5,2,22,,,A,goon,2 3,,,,,,,,,,
33,5,3,33,,,B,goon,2 3,,,,,,,,,,
34,5,4,46,,,A,goon,3 3,,,,,,,,,,
35,5,5,56,,,B,goon,3 3,,,,,,,,,,
36,5,6,66,,,A,goon,3 3,,,,,,,,,,
37,5,7,77,,,B,goon,3 3,,,,,,,,,,
38,5,8,88,,,A,goon,3 3,,,,,,,,,,
39,5,9,99,3,3,B,goon,3 3,,,,,,,,,,
40,6,0,0,,,A,goon,3 3,,,,,,,,,,
41,6,1,11,,,B,goon,3 3,,,,,,,,,,
42,6,2,22,,,A,goon,3 3,,,,,,,,,,
43,6,3,33,,,B,goon,3 3,,,,,,,,,,
44,6,4,46,,,A,goon,3 3,,,,,,,,,,
45,6,5,56,,,B,goon,3 3,,,,,,,,,,
46,6,6,66,,,A,goon,3 3,,,,,,,,,,
47,6,7,77,,,B,goon,3 3,,,,,,,,,,
48,6,8,88,,,A,goon,3 3,,,,,,,,,,
49,6,9,99,2,5,B,goon,3 3,,,,,,,,,,
50,7,0,0,,,A,goon,3 4,,,,,,,,,,
51,7,1,10,,,B,goon,3 4,,,,,,,,,,
52,7,2,20,,,C,goon,3 4,,,,,,,,,,
53,7,3,30,,,B,goon,3 4,,,,,,,,,,
54,7,4,40,,,A,goon,3 4,,,,,,,,,,
55,7,5,50,,,B,goon,3 4,,,,,,,,,,
56,7,6,60,,,C,goon,3 4,,,,,,,,,,
57,7,7,70,2,5,B,goon,4 4,,,,,,,,,,
58,8,0,0,,,F,goon,5 5,,,,,,,,,,
59,8,1,10,,,F,goon,5 5,,,,,,,,,,
60,8,2,20,,,F,goon,5 5,,,,,,,,,,
61,8,3,30,,,D,goon,5 5,,,,,,,,,,
62,8,4,40,,,D,goon,5 5,,,,,,,,,,
63,8,5,50,,,D,goon,5 5,,,,,,,,,,
64,8,6,60,,,E,goon,5 5,,,,,,,,,,
65,8,7,70,,,E,goon,5 5,,,,,,,,,,
66,8,8,80,,,D,goon,5 5,,,,,,,,,,
67,8,9,90,5,3,D,goon,5 5,,,,,,,,,,
68,9,0,0,,,F,goon,5 5,,,,,,,,,,
69,9,1,10,,,F,goon,5 5,,,,,,,,,,
