a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
pillage_spawn_event,100,100,0,0,100,100,-2500,,elite spitter,50 50,1 2,true,pillage_spawner_01 pillage_spawner_02,10 9,false,false,-1,
pillage_spawn_event_02,100,100,0,0,100,100,-2500,,mammoth,100,1,true,pillage_event_02_spawner_01,10,false,false,-1,
pillage_spawn_event_03,100,100,0,0,100,100,-2500,,mammoth,100,1,true,pillage_event_03_spawner_01,10,false,false,-1,
pillage_spawn_event_04,100,100,0,0,100,100,-2500,,mammoth-brute elite-brute elite-locust-brute,33 33 34,1-2 1-2 1-1-1,true,pillage_spawner_01 pillage_brute_1 pillage_brute_2,10 10 10,false,false,-1,
pillage_spawn_event_05,100,100,0,0,100,100,-2500,,mammoth-brute,100,1-2,true,pillage_spawner_01 pillage_brute_1 pillage_brute_2,10 10 10,false,false,-1,
pillage_spawn_event_06,100,100,0,0,100,100,-2500,,bomber-gargoyle,100,4-1,true,triggered_bomber_01 triggered_bomber_02 triggered_bomber_03 triggered_bomber_04 gargoyle_spawner,10 10 10 10 10,false,false,-1,
pillage_spawn_event_07,100,100,0,0,100,100,-2500,,mammoth-brute elite-brute elite-locust-brute,33 33 34,1-2 1-2 1-1-1,true,pillage_spawner_01 pillage_brute_1 pillage_brute_2,10 10 10,false,false,-1,
pillage_spawn_event_08,100,100,0,0,100,100,-2500,,mammoth-brute elite-brute elite-locust-brute elite-spitter-brute elite-spitter,20 20 20 20 20,1-2 1-2 1-1-1 1-1-1 1-2,true,pillage_spawner_01 pillage_brute_1 pillage_brute_2,10 10 10,false,false,-1,
pillage_spawn_event_09,100,100,0,0,100,100,-2500,,mammoth-brute elite-brute elite-locust-brute,33 33 34,1-2 1-2 1-1-1,true,pillage_spawner_01 pillage_brute_1 pillage_brute_2,10 10 10,false,false,-1,
intro_bomber_spawner,100,100,0,0,100,100,-2500,,bomber,100,4,true,intro_bomber_spawner_01 intro_bomber_spawner_02 intro_bomber_spawner_03 intro_bomber_spawner_04,10 10 10 10,false,false,-1,
bomber_spawner_trig1,100,100,0,0,100,100,-2500,,bomber,100,4,true,triggered_bomber_01 triggered_bomber_02 triggered_bomber_03 triggered_bomber_04,10 10 10 10,false,false,-1,
bomber_spawner_trig2,100,100,0,0,100,100,-2500,,bomber,100,4,true,triggered_bomber_01 triggered_bomber_02 triggered_bomber_03 triggered_bomber_04,10 10 10 10,false,false,-1,
bomber_spawner_trig3,100,100,0,0,100,100,-2500,,bomber,100,4,true,triggered_bomber_01 triggered_bomber_02 triggered_bomber_03 triggered_bomber_04,10 10 10 10,false,false,-1,
bomber_spawner_trig4,100,100,0,0,100,100,-2500,,bomber,100,4,true,triggered_bomber_01 triggered_bomber_02 triggered_bomber_03 triggered_bomber_04,10 10 10 10,false,false,-1,
rhino_cave_spawn,100,100,0,0,100,100,-2500,,mammoth elite,20 80,1 1,true,rhino_cave_spawn,10 10,false,false,-1,
