a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,p16,r17,s18,t19,u20,v21,w22,x23,y24,z25,aa26,ab27,
0,3000,weapon_riot,WEAPON_RIOTSHIELD,iw5_alienriotshield,,weapon_riotshield,PERKS_RIOT_SHIELD,8,,,,,,,,,,,,,,50,40,0,50,33,img_weap_kriss,weapon_riotshield
1,3001,weapon_riot,WEAPON_RIOTSHIELD,iw5_alienriotshield1,,weapon_riotshield,PERKS_RIOT_SHIELD,9,,,,,,,,,,,,,,50,40,0,50,33,img_weap_kriss,weapon_riotshield
2,3002,weapon_riot,WEAPON_RIOTSHIELD,iw5_alienriotshield2,,weapon_riotshield,PERKS_RIOT_SHIELD,10,,,,,,,,,,,,,,50,40,0,50,33,img_weap_kriss,weapon_riotshield
3,3003,weapon_riot,WEAPON_RIOTSHIELD,iw5_alienriotshield3,,weapon_riotshield,PERKS_RIOT_SHIELD,10,,,,,,,,,,,,,,50,40,0,50,33,img_weap_kriss,weapon_riotshield
4,3004,weapon_riot,WEAPON_RIOTSHIELD,iw5_alienriotshield4,,weapon_riotshield,PERKS_RIOT_SHIELD,10,,,,,,,,,,,,,,50,40,0,50,33,img_weap_kriss,weapon_riotshield
5,3005,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3006,weapon_pistol,WEAPON_MAGNUM,iw6_alienmagnum,,weapon_magnum,PERKS_PISTOL_REVOLVER,10,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,akimbo,fmj,tactical,,,,,,35,70,45,85,100,img_weap_p99,weapon_magnum
7,3007,weapon_pistol,WEAPON_M9A1,iw6_alienm9a1,,weapon_m9a1,PERKS_PISTOL_SEMIAUTO,10,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,55,30,60,85,100,img_weap_p99,weapon_m9a1
8,3008,weapon_pistol,WEAPON_P226,iw6_alienp226,,weapon_p226,PERKS_PISTOL_SEMIAUTO,10,weapon_stow_mid_up,,barrelrange,silencer,flashsuppress,akimbo,fmj,xmags,,,,,,55,30,60,85,100,img_weap_p99,weapon_p226
9,3009,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3010,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3011,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3012,weapon_smg,WEAPON_KRISS,iw6_alienkriss,,weapon_kriss,PERKS_SMG,10,weapon_stow_mid,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,40,50,40,80,100,img_weap_kriss,weapon_kriss
13,3013,weapon_smg,WEAPON_PP19,iw6_alienpp19,,weapon_pp19,PERKS_SMG_RAPID,10,weapon_stow_mid_up,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,40,50,40,90,100,img_weap_kriss,weapon_pp19
14,3014,weapon_smg,WEAPON_VEPR,iw6_alienvepr,,weapon_vepr,PERKS_SMG,10,weapon_stow_mid_up,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,40,50,40,90,100,img_weap_kriss,weapon_vepr
15,3015,weapon_smg,WEAPON_MICROTAR,iw6_alienmicrotar,,weapon_microtar,PERKS_SMG,10,weapon_stow_mid,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,40,50,40,80,100,img_weap_kriss,weapon_microtar
16,3016,weapon_smg,WEAPON_CBJMS,iw6_aliencbjms,,weapon_cbjms,PERKS_SMG,10,weapon_stow_mid,,xmags,rof,barrelrange,grip,silencer,flashsuppress,fmj,reflex,eotech,acog,,40,50,40,80,100,img_weap_kriss,weapon_cbjms
17,3017,,,,,,,,,,,,,,,,,,,,,,,,,,,
