minInaccuracy,2.00,0.75,0.50,0.25
maxInaccuracy,3.00,1.50,1.00,0.75
sniperInaccuracyScale,1.00,1.50,1.75,2.00
minAimResponse,200,150,100,50
maxAimResponse,300,250,200,150
minFireTime,500,400,300,200
maxFireTime,700,600,500,400
adsDelayFireTime,350,250,200,50
adsDelayFireTimeScoped,700,500,400,300
adsDelayFireIn,1,1,1,1
adsDelayFireOut,1,1,0,0
adsDelayFireFullAuto,1,1,1,0
adsAllowed,0,1,1,1
minGraceDelayFireTime,300,0,0,0
maxGraceDelayFireTime,600,0,0,0
fireAtDeadTime,800,700,500,300
lookAtDeadTime,1300,1200,900,500
averageEnemySightTime,500,300,250,200
reactionTime,650,400,200,100
meleeReactionTime,1250,600,400,300
strafeChance,0.0,0.5,0.7,0.9
diveChance,0.00,0.00,0.15,0.20
slideChance,0.00,0.5,1.0,1.0
cornerFireChance,0.0,0.0,0.50,1.0
cornerJumpChance,0.0,0.0,0.25,1.0
throwKnifeChance,0.0,0.05,0.25,1.0
meleeReactAllowed,0,1,1,1
meleeDist,60,80,90,100
meleeChargeDist,0,100,130,160
fireFromHipDist,80.0,300.0,300.0,300.0
sprintDistance,100.0,100.0,100.0,100.0
crouchDistance,32.0,32.0,32.0,32.0
goalRadius,16.0,16.0,16.0,16.0
diveDelay,1000,1000,500,300
targetLeadBias,2,2,2,2
yawSpeed,3.0,3.5,4.5,4.5
yawSpeedAds,3.5,4.0,5.0,5.0
pitchSpeed,1.5,2.0,2.5,2.5
pitchSpeedAds,3.5,4.0,5.0,5.0
minCrouchTime,1000,1000,1000,1000
maxCrouchTime,2400,2400,2400,2400
allowGrenades,0,1,1,1
grenadeCookPrecision,-1,-1,500,100
breakMelee,0,0,0.5,1.0
visionBlinded,0.15,0.17,0.18,0.20
hearingDeaf,0.15,0.17,0.18,0.20
turnAroundPenalty,2,1.5,1,0.5
awareViewAngle,40,35,30,25
strategyLevel,0,1,2,3
intelligentSprintLevel,0,1,2,2
advancedPersonality,0,1,1,1
quickPistolSwitch,0,0,1,1
seeHardwareChance,0.2,0.4,0.6,0.8
targetHardwareChance,0.1,0.2,0.3,0.4
targetVehicleChance,0.1,0.2,0.3,0.4
holdBreathChance,0.00,0.25,0.50,1.00
launcherRespawnChance,0.0,0.30,0.40,0.50
avoidDangerousNodesChance,0.0,0.2,0.4,0.6
intelligentReload,0.25,0.50,0.75,1.00
avoidSkyPercent,0.0,0.33,0.66,1.0
