zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_alien_armory,amb_alien_arm_ext,,,ext_street,default,default,exterior_spaces,,,,
mp_alien_armory_tunnel,amb_alien_arm_ext,,,lg_tunnel,default,default,large_spaces,,,,
mp_alien_armory_partial_cover,amb_alien_arm_ext,,,sm_partcover,default,default,partial_cover,,,,
mp_alien_armory_ext_md_alley,amb_alien_arm_ext,,,md_ext_alley,default,default,exterior_spaces,,,,
mp_alien_armory_ext_sm_alley,amb_alien_arm_ext,,,sm_ext_alley,default,default,exterior_spaces,,,,
mp_alien_armory_shipping_container,amb_alien_arm_ext,,,sm_container,interior_metal,default,tight_spaces,,,,
mp_alien_armory_int,amb_alien_arm_int,,,md_room,interior,interior,med_spaces,,,,
mp_alien_armory_int_sm_room,amb_alien_arm_int,,,sm_room,interior,interior,small_spaces,,,,
mp_alien_armory_int_lg_warehouse,amb_alien_arm_int_wh,,,lg_room,interior,interior,large_spaces,,,,
mp_alien_armory_int_sm_rm_warehouse,amb_alien_arm_int_wh,,,sm_room,interior_heavy,interior,small_spaces,,,,
mp_alien_armory_int_hallway_warehouse,amb_alien_arm_int_wh,,,sm_hallway,interior_heavy,interior,small_spaces,,,,
mp_alien_armory_int_med_rm_warehouse,amb_alien_arm_int_wh,,,md_room,interior_heavy,interior,med_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,rel_len,sus_len,sus_level,,,,,,
END_OF_FILE,,,,,,,,,,,
