zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_alien_beacon,amb_alien_bea_ext,beacon_ext,,,default,default,,,,,
mp_alien_beacon_int,amb_alien_bea_int,beacon_int,,md_room,interior,default,md_spaces,,,,
welldeck_main,amb_alien_bea_int,beacon_int,,lg_room,interior,interior,med_spaces,,,,
welldeck_sideroom,amb_alien_bea_int,beacon_int,,sm_room,interior,interior,small_spaces,,,,
welldeck_hallway,amb_alien_bea_int,beacon_int,,sm_hallway,interior,interior,small_spaces,,,,
welldeck_upperdeck,amb_alien_bea_int,beacon_int,,md_room,interior,interior,small_spaces,,,,
loadingdock_main,amb_alien_bea_int,beacon_int,,md_room,interior,interior,med_spaces,,,,
loadingdock_encounter,amb_alien_bea_int,beacon_int,,md_room,interior,interior,med_spaces,,,,
loadingdock_enccov,amb_alien_bea_int,beacon_int,,md_partcover,interior,default,partial_cover,,,,
loadingdock_hallway,amb_alien_bea_int,beacon_int,,sm_hallway,interior,interior,small_spaces,,,,
cargo_main,amb_alien_bea_int,beacon_int,,lg_room,interior,interior,large_spaces,,,,
cargo_container,amb_alien_bea_int,beacon_int,,sm_container,interior,interior,tight_spaces,,,,
cargo_room,amb_alien_bea_int,beacon_int,,sm_room,interior,interior,small_spaces,,,,
cargo_subfloor,amb_alien_bea_int,beacon_int,,sm_partcover,default,default,partial_cover,,,,
cargo_crateway,amb_alien_bea_int,beacon_int,,sm_hallway,interior,interior,small_spaces,,,,
topdeck_main,amb_alien_bea_ext,beacon_ext,,ext_street,default,default,exterior_spaces,,,,
topdeck_covered,amb_alien_bea_ext,beacon_ext,,sm_ext_alley,default,default,exterior_spaces,,,,
topdeck_container,amb_alien_bea_ext,beacon_ext,,sm_container,interior,interior,tight_spaces,,,,
lab_main,amb_alien_bea_int,beacon_int,,md_room,interior,interior,med_spaces,,,,
lab_room,amb_alien_bea_int,beacon_int,,sm_room,interior,interior,small_spaces,,,,
lab_hallway,amb_alien_bea_int,beacon_int,,sm_hallway,interior,interior,small_spaces,,,,
lab_map,amb_alien_bea_int,beacon_int,,sm_room,interior,interior,small_spaces,,,,
kraken_main,amb_alien_bea_ext,beacon_ext,,no_reverb,default,default,,,,,
