zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_alien_dlc3,amb_alien_dsnt_ext,descent_ext,,lg_tunnel,default,interior,large_spaces,,,,
descent_cave,amb_alien_dsnt_ext,descent_ext,,lg_tunnel,default,interior,large_spaces,,,,
descent_small_cave,amb_alien_dsnt_ext,descent_ext,,sm_hallway,default,interior,small_spaces,,,,
descent_overhang,amb_alien_dsnt_ext,descent_ext,,lg_partcover,default,interior,partial_cover,,,,
descent_hall,amb_alien_dsnt_hall,descent_ext,,sm_hallway,default,interior,small_spaces,,,,
descent_int,amb_alien_dsnt_hall,,,lg_tunnel,default,interior,large_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
descent_ext,2,5,,,,,,,,,
descent_int,5,7,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
descent_ext,elm_dsnt_quake,1,,,,,,,,,
descent_ext,emt_dsnt_rock_debris,2,,,,,,,,,
descent_ext,emt_dsnt_rocks_falling,2,,,,,,,,,
descent_ext,elm_alien_dist,1,,,,,,,,,
descent_int,elm_dsnt_quake,1,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_dsnt_quake,elm_dsnt_quake,500,1500,0,360,,,,,,
emt_dsnt_rock_debris,emt_dsnt_rock_debris,500,1500,0,360,,,,,,
emt_dsnt_rocks_falling,emt_dsnt_rocks_falling,500,1500,0,360,,,,,,
elm_alien_dist,elm_alien_dist,1000,1500,0,360,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
