zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_alien_last,amb_alien_last_lr,last_ext,,ext_street,default,default,exterior_spaces,,,,
last_barracks_big_room,amb_last_garage,last_int,,lg_room,default,default,large_spaces,,,,
last_barracks_foyer,amb_last_garage,last_int,,md_room,default,default,med_spaces,,,,
last_barracks_hall,amb_last_garage,last_int,,sm_hallway,default,default,small_spaces,,,,
last_base_between_walls,amb_alien_last_lr,last_ext,,ext_reflect,default,default,partial_cover,,,,
last_base_small_room,amb_alien_last_lr,last_int,,sm_partcover,default,default,partial_cover,,,,
last_ext_alley_small,amb_alien_last_lr,last_ext,,md_ext_alley,default,default,exterior_spaces,,,,
last_garage_enclosed,amb_last_garage,last_int,,lg_room,default,default,large_spaces,,,,
last_garage_exposed,amb_alien_last_lr,last_ext,,lg_partcover,default,default,partial_cover,,,,
last_garage_hall,amb_last_garage,last_int,,sm_hallway,default,default,small_spaces,,,,
last_gas_station_canopy,amb_alien_last_lr,last_ext,,md_partcover,default,default,partial_cover,,,,
last_wooden_hut,amb_alien_last_lr,last_int,,sm_partcover,default,default,partial_cover,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
last_ext,1,3,,,,,,,,,
last_int,3,6,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
last_ext,elm_last_50cal_dist,5,,,,,,,,,
last_ext,elm_last_ak47_dist,5,,,,,,,,,
last_ext,elm_last_exp_dist,5,,,,,,,,,
last_ext,elm_last_exp_low_dist,5,,,,,,,,,
last_ext,elm_last_heli,1,,,,,,,,,
last_ext,elm_last_jet,1,,,,,,,,,
last_ext,elm_last_m16_dist,5,,,,,,,,,
last_ext,elm_last_quake,5,,,,,,,,,
last_ext,elm_last_wind,2,,,,,,,,,
last_ext,alien_distant,4,,,,,,,,,
last_int,alien_distant,4,,,,,,,,,
last_int,elm_last_quake,5,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_last_50cal_dist,elm_last_50cal_dist,1000,1500,0,360,,,,,,
elm_last_ak47_dist,elm_last_ak47_dist,1000,1500,0,360,,,,,,
elm_last_exp_dist,elm_last_exp_dist,1000,1500,0,360,,,,,,
elm_last_exp_low_dist,elm_last_exp_low_dist,1000,1500,0,360,,,,,,
elm_last_heli,elm_last_heli,1000,1500,0,360,,,,,,
elm_last_jet,elm_last_jet,1000,1500,0,360,,,,,,
elm_last_m16_dist,elm_last_m16_dist,1000,1500,0,360,,,,,,
elm_last_quake,elm_last_quake,1000,1500,0,360,,,,,,
elm_last_wind,elm_last_wind,500,1000,0,360,,,,,,
alien_distant,alien_distant,3000,5000,0,360,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
