zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_alien_town,ambient_mp_alientown,,,ext_street,,default,exterior_spaces,,,,
mp_alien_town_intro_heli,ambient_mp_alientown,,mix_alien_intro_heli,ext_street,,default,exterior_spaces,,,,
at_lg_part_cover,ambient_mp_alientown,,,lg_partcover,default,default,partial_cover,,,,
at_lg_room,ambient_mp_alientown,,,lg_room,interior,interior,large_spaces,,,,
at_lg_room_dark,ambient_mp_alientown,,,lg_room_dark,interior,interior,large_spaces,,,,
at_lg_tunnel,ambient_mp_alientown,,,lg_tunnel,interior,interior,large_spaces,,,,
at_med_room,ambient_mp_alientown,,,md_room,interior,interior,med_spaces,,,,
at_med_room_dark,ambient_mp_alientown,,,md_room_dark,interior,interior,med_spaces,,,,
at_med_part_cover,ambient_mp_alientown,,,md_partcover,default,default,partial_cover,,,,
at_med_hallway,ambient_mp_alientown,,,md_hallway,interior,interior,small_spaces,,,,
at_sm_partcover,ambient_mp_alientown,,,sm_partcover,default,default,partial_cover,,,,
at_sm_room,ambient_mp_alientown,,,sm_room,interior,interior,small_spaces,,,,
at_sm_room_dark,ambient_mp_alientown,,,sm_room_dark,interior,interior,small_spaces,,,,
at_sm_container,ambient_mp_alientown,,,sm_container,interior,interior,tight_spaces,,,,
at_sm_pipe,ambient_mp_alientown,,,sm_pipe,interior,interior,tight_spaces,,,,
at_sm_hallway,ambient_mp_alientown,,,sm_hallway,interior,interior,small_spaces,,,,
at_sm_hallway_dark,ambient_mp_alientown,,,sm_hallway_dark,interior,interior,small_spaces,,,,
at_ext_street,ambient_mp_alientown,,,ext_street,default,default,exterior_spaces,,,,
at_ext_reflect,ambient_mp_alientown,,,ext_reflect,default,default,partial_cover,,,,
at_md_ext_alley,ambient_mp_alientown,,,md_ext_alley,default,default,exterior_spaces,,,,
at_sm_ext_alley,ambient_mp_alientown,,,sm_ext_alley,default,default,exterior_spaces,,,,
at_sm_room_tight,ambient_mp_alientown,,,sm_room,interior,default,tight_spaces,,,,
at_sm_room_tight_dark,ambient_mp_alientown,,,sm_room_dark,interior,default,tight_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
mix_alien_intro_heli,scripted2,0,0.1,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
