zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_battery3,ambient_mp_battery3,ext_battery3_elements,,default,default,default,exterior_spaces,,,,
customaudiozone,ambient_predator_lr,,predator_mix,predator_verb,predator_filter,default,exterior_spaces,,,,
bat_lg_part_cover,ambient_mp_battery3,ext_battery3_elements,,lg_partcover,default,default,partial_cover,,,,
bat_lg_room,ambient_mp_battery3,,,lg_room,interior,interior,large_spaces,,,,
bat_lg_room_dark,ambient_mp_battery3,,,lg_room_dark,interior,interior,large_spaces,,,,
bat_lg_tunnel,ambient_mp_battery3,,,lg_tunnel,interior,interior,large_spaces,,,,
bat_med_room,ambient_mp_battery3,,,md_room,interior,interior,med_spaces,,,,
bat_med_room_dark,ambient_mp_battery3,,,md_room_dark,interior,interior,med_spaces,,,,
bat_med_part_cover,ambient_mp_battery3,ext_battery3_elements,,md_partcover,default,default,partial_cover,,,,
bat_med_hallway,ambient_mp_battery3,,,md_hallway,interior,interior,small_spaces,,,,
bat_sm_partcover,ambient_mp_battery3,ext_battery3_elements,,sm_partcover,default,default,partial_cover,,,,
bat_sm_room,ambient_mp_battery3,,,sm_room,interior,interior,small_spaces,,,,
bat_sm_room_dark,ambient_mp_battery3,,,sm_room_dark,interior,interior,small_spaces,,,,
bat_sm_container,ambient_mp_battery3,,,sm_container,interior,interior,tight_spaces,,,,
bat_sm_pipe,ambient_mp_battery3,,,sm_pipe,interior,interior,tight_spaces,,,,
bat_sm_hallway,ambient_mp_battery3,,,sm_hallway,interior,interior,small_spaces,,,,
bat_sm_hallway_dark,ambient_mp_battery3,,,sm_hallway_dark,interior,interior,small_spaces,,,,
bat_ext_street,ambient_mp_battery3,ext_battery3_elements,,ext_street,default,default,exterior_spaces,,,,
bat_ext_reflect,ambient_mp_battery3,ext_battery3_elements,,ext_reflect,default,default,partial_cover,,,,
bat_md_ext_alley,ambient_mp_battery3,ext_battery3_elements,,md_ext_alley,default,default,exterior_spaces,,,,
bat_sm_ext_alley,ambient_mp_battery3,ext_battery3_elements,,sm_ext_alley,default,default,exterior_spaces,,,,
bat_sm_room_tight,ambient_mp_battery3,,,sm_room,interior,interior,tight_spaces,,,,
bat_sm_room_tight_dark,ambient_mp_battery3,,,sm_room_dark,interior,interior,tight_spaces,,,,
bat_lg_tunnel_ext,ambient_mp_battery3,,,lg_tunnel,default,default,large_spaces,,,,
bat_lg_tunnel_light,ambient_mp_battery3,,,lg_tunnel,battery_light,default,large_spaces,,,,
bat_sm_hallway_ext,ambient_mp_battery3,,,sm_hallway,default,default,small_spaces,,,,
bat_sm_room_ext,ambient_mp_battery3,,,sm_room,default,default,small_spaces,,,,
bat_sm_hallway_light,ambient_mp_battery3,,,sm_hallway,battery_light,interior,small_spaces,,,,
bat_lg_room_ext,ambient_mp_battery3,,,lg_room,default,interior,large_spaces,,,,
bat_med_room_ext,ambient_mp_battery3,,,md_room,default,interior,med_spaces,,,,
bat_med_hallway_light,ambient_mp_battery3,,,md_hallway,battery_light,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
battery_light,element_ext,0,highshelf,7000,-12,1,,,,,
battery_light,ambient,0,highshelf,7000,-12,1,,,,,
battery_light,ambdist1,0,highshelf,7000,-12,1,,,,,
battery_light,ambdist2,0,highshelf,7000,-12,1,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
battery_ext,mountains,1,0.5,2,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ext_battery3_elements,5,10,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ext_battery3_elements,elm_leafy_wind,0.7,,,,,,,,,
ext_battery3_elements,elm_insect_fly,0.5,,,,,,,,,
ext_battery3_elements,elm_insect_bee,0.6,,,,,,,,,
ext_battery3_elements,elm_insect_mosquito,0.6,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_leafy_wind,elm_bat_wind_leafy,1,2,,,,,,,,
elm_insect_fly,elm_bat_insect_fly,1,2,,,,,,,,
elm_insect_bee,elm_bat_insect_bee,1,2,,,,,,,,
elm_insect_mosquito,elm_bat_insect_mosq,1,2,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
