zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_boneyard_ns,ambient_mp_boneyard,air_vehicle_ext_elm,,ext_street,default,default,exterior_spaces,,,,
mp_boneyard_underground_tunnel,ambient_mp_boneyard,air_vehicle_ext_elm,,sm_hallway,interior,interior,small_spaces,,,,
mp_boneyard_underground_tunnel_exit,ambient_mp_boneyard,air_vehicle_ext_elm,,sm_ext_alley,interior,default,exterior_spaces,,,,
mp_boneyard_control_center,ambient_mp_boneyard,air_vehicle_ext_elm,,md_room,interior,interior,med_spaces,,,,
mp_boneyard_control_center_sm_rm,ambient_mp_boneyard,air_vehicle_ext_elm,,sm_room,interior,interior,small_spaces,,,,
mp_boneyard_warehouse,ambient_mp_boneyard,air_vehicle_ext_elm,,md_room,interior,interior,med_spaces,,,,
mp_boneyard_crawler,ambient_mp_boneyard,air_vehicle_ext_elm,,md_partcover,default,default,partial_cover,,,,
mp_boneyard_launch_pad,ambient_mp_boneyard,air_vehicle_ext_elm,,md_room,interior,interior,med_spaces,,,,
mp_boneyard_center_building,ambient_mp_boneyard,air_vehicle_ext_elm,,sm_hallway,interior,interior,small_spaces,,,,
mp_boneyard_center_building_top,ambient_mp_boneyard,air_vehicle_ext_elm,,sm_partcover,default,default,partial_cover,,,,
mp_boneyard_center_building_top_walkway,ambient_mp_boneyard,air_vehicle_ext_elm,,no_reverb,default,default,,,,,
mp_boneyard_center_building_alley,ambient_mp_boneyard,air_vehicle_ext_elm,,md_ext_alley,default,default,exterior_spaces,,,,
mp_boneyard_center_concrete,ambient_mp_boneyard,air_vehicle_ext_elm,,sm_partcover,default,default,partial_cover,,,,
mp_boneyard_center_trailer,ambient_mp_boneyard,air_vehicle_ext_elm,,sm_hallway,interior,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
air_vehicle_ext_elm,60,120,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
air_vehicle_ext_elm,elm_heli_flyby_ext,0.6,,,,,,,,,
air_vehicle_ext_elm,elm_jet_flyby_ext,0.8,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_heli_flyby_ext,elm_bone_heli_flyby_ext,250,1000,,,,,,,,
elm_jet_flyby_ext,elm_bone_jet_flyby_ext,250,1000,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
