zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_ca_behemoth,ambient_mp_behemoth,behemoth_dist_destruction,,default,default,default,exterior_spaces,,,,
behe_lg_part_cover,ambient_mp_behemoth,,,lg_partcover,default,default,partial_cover,,,,
behe_lg_room,ambient_mp_behemoth,,,lg_room,interior,interior,large_spaces,,,,
behe_lg_room_dark,ambient_mp_behemoth,,,lg_room_dark,interior,interior,large_spaces,,,,
behe_lg_tunnel,ambient_mp_behemoth,,,lg_tunnel,interior,interior,large_spaces,,,,
behe_med_room,ambient_mp_behemoth,,,md_room,interior,interior,med_spaces,,,,
behe_med_room_dark,ambient_mp_behemoth,,,md_room_dark,interior,interior,med_spaces,,,,
behe_med_part_cover,ambient_mp_behemoth,,,md_partcover,default,default,partial_cover,,,,
behe_med_hallway,ambient_mp_behemoth,,,md_hallway,interior,interior,small_spaces,,,,
behe_sm_partcover,ambient_mp_behemoth,,,sm_partcover,default,default,partial_cover,,,,
behe_sm_room,ambient_mp_behemoth,,,sm_room,interior,interior,small_spaces,,,,
behe_sm_room_dark,ambient_mp_behemoth,,,sm_room_dark,interior,interior,small_spaces,,,,
behe_sm_container,ambient_mp_behemoth,,,sm_container,interior,interior,tight_spaces,,,,
behe_sm_pipe,ambient_mp_behemoth,,,sm_pipe,interior,interior,tight_spaces,,,,
behe_sm_hallway,ambient_mp_behemoth,,,sm_hallway,interior,interior,small_spaces,,,,
behe_sm_hallway_dark,ambient_mp_behemoth,,,sm_hallway_dark,interior,interior,small_spaces,,,,
behe_ext_street,ambient_mp_behemoth,,,ext_street,default,default,exterior_spaces,,,,
behe_ext_reflect,ambient_mp_behemoth,,,ext_reflect,default,default,partial_cover,,,,
behe_md_ext_alley,ambient_mp_behemoth,,,md_ext_alley,default,default,exterior_spaces,,,,
behe_sm_ext_alley,ambient_mp_behemoth,,,sm_ext_alley,default,default,exterior_spaces,,,,
behe_sm_room_tight,ambient_mp_behemoth,,,sm_room,interior,interior,tight_spaces,,,,
behe_sm_room_tight_dark,ambient_mp_behemoth,,,sm_room_dark,interior,interior,tight_spaces,,,,
behe_lg_tunnel_ext,ambient_mp_behemoth,,,lg_tunnel,default,default,large_spaces,,,,
behe_sm_hallway_ext,ambient_mp_behemoth,,,sm_hallway,default,default,small_spaces,,,,
behe_sm_room_ext,ambient_mp_behemoth,,,sm_room,default,default,small_spaces,,,,
behe_sm_room_light,ambient_mp_behemoth,,,sm_room,interior_light,interior,small_spaces,,,,
behe_sm_ext_alley_light,ambient_mp_behemoth,,,sm_ext_alley,interior_light,default,exterior_spaces,,,,
behe_sm_hallway_light,ambient_mp_behemoth,,,sm_hallway,interior_light,interior,small_spaces,,,,
behe_lg_room_ext,ambient_mp_behemoth,,,lg_room,default,default,large_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
behemoth_dist_destruction,7,15,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
behemoth_dist_destruction,elm_behemoth_dist_destruction,1,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_behemoth_dist_destruction,emt_behemoth_dist_chaos,6000,8000,75,135,5,9,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
