zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_ca_impact,ambient_mp_impact,,,ext_street,default,default,exterior_spaces,,,,
impact_lg_part_cover,ambient_mp_impact,,,lg_partcover,default,default,partial_cover,,,,
impact_lg_room,ambient_mp_impact,,,lg_room,interior,interior,large_spaces,,,,
impact_lg_room_dark,ambient_mp_impact,,,lg_room_dark,interior,interior,large_spaces,,,,
impact_lg_tunnel,ambient_mp_impact,,,lg_tunnel,interior,interior,large_spaces,,,,
impact_med_room,ambient_mp_impact,,,md_room,interior,interior,med_spaces,,,,
impact_med_room_dark,ambient_mp_impact,,,md_room_dark,interior,interior,med_spaces,,,,
impact_med_part_cover,ambient_mp_impact,,,md_partcover,default,default,partial_cover,,,,
impact_med_hallway,ambient_mp_impact,,,md_hallway,interior,interior,small_spaces,,,,
impact_sm_partcover,ambient_mp_impact,,,sm_partcover,default,default,partial_cover,,,,
impact_sm_room,ambient_mp_impact,,,sm_room,interior,interior,small_spaces,,,,
impact_sm_room_dark,ambient_mp_impact,,,sm_room_dark,interior,interior,small_spaces,,,,
impact_sm_container,ambient_mp_impact,,,sm_container,interior,interior,tight_spaces,,,,
impact_sm_pipe,ambient_mp_impact,,,sm_pipe,interior,interior,tight_spaces,,,,
impact_sm_hallway,ambient_mp_impact,,,sm_hallway,interior,interior,small_spaces,,,,
impact_sm_hallway_dark,ambient_mp_impact,,,sm_hallway_dark,interior,interior,small_spaces,,,,
impact_ext_street,ambient_mp_impact,,,ext_street,default,default,exterior_spaces,,,,
impact_ext_reflect,ambient_mp_impact,,,ext_reflect,default,default,partial_cover,,,,
impact_md_ext_alley,ambient_mp_impact,,,md_ext_alley,default,default,exterior_spaces,,,,
impact_sm_ext_alley,ambient_mp_impact,,,sm_ext_alley,default,default,exterior_spaces,,,,
impact_sm_room_tight,ambient_mp_impact,,,sm_room,interior,interior,tight_spaces,,,,
impact_sm_room_tight_dark,ambient_mp_impact,,,sm_room_dark,interior,interior,tight_spaces,,,,
impact_lg_tunnel_ext,ambient_mp_impact,,,lg_tunnel,default,default,large_spaces,,,,
impact_sm_hallway_ext,ambient_mp_impact,,,sm_hallway,default,default,small_spaces,,,,
impact_sm_room_ext,ambient_mp_impact,,,sm_room,default,default,small_spaces,,,,
impact_sm_container_ext,ambient_mp_impact,,,sm_container,default,default,tight_spaces,,,,
impact_sm_container_light,ambient_mp_impact,,,sm_container,interior_very_light,default,tight_spaces,,,,
impact_sm_room_light,ambient_mp_impact,,,sm_room,interior_light,interior,small_spaces,,,,
impact_sm_hallway_light,ambient_mp_impact,,,sm_hallway,interior_light,default,small_spaces,,,,
impact_sm_hallway_under,amb_mp_ca_impact_int,,,sm_hallway,interior,interior,small_spaces,,,,
impact_med_room_under,amb_mp_ca_impact_int,,,sm_hallway,interior,interior,small_spaces,,,,
a10_player,ambient_a10_plr_lr,,a10_mix,sm_room,helo_gunner_filter,interior,,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
interior_very_light,element_ext,0,highshelf,6000,-12,1,,,,,
interior_very_light,ambient,0,highshelf,6000,-12,1,,,,,
interior_very_light,ambdist1,0,highshelf,6000,-12,1,,,,,
interior_very_light,ambdist2,0,highshelf,6000,-12,1,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
