zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_ca_rumble,ambient_mp_ca_rumble,,,ext_street,default,default,exterior_spaces,,,,
rumb_lg_part_cover,ambient_mp_ca_rumble,,,lg_partcover,default,default,partial_cover,,,,
rumb_lg_room,ambient_mp_ca_rumble,,,lg_room,interior,interior,large_spaces,,,,
rumb_lg_room_dark,ambient_mp_ca_rumble,,,lg_room_dark,interior,interior,large_spaces,,,,
rumb_lg_tunnel,ambient_mp_ca_rumble,,,lg_tunnel,cave_filter,default,large_spaces,,,,
rumb_med_room,ambient_mp_ca_rumble,,,md_room,interior,interior,med_spaces,,,,
rumb_med_room_dark,ambient_mp_ca_rumble,,,md_room_dark,interior,interior,med_spaces,,,,
rumb_med_part_cover,ambient_mp_ca_rumble,,,md_partcover,default,default,partial_cover,,,,
rumb_med_hallway,ambient_mp_ca_rumble,,,md_hallway,interior,interior,small_spaces,,,,
rumb_sm_partcover,ambient_mp_ca_rumble,,,sm_partcover,default,default,partial_cover,,,,
rumb_sm_room,ambient_mp_ca_rumble,,,sm_room,interior,interior,small_spaces,,,,
rumb_sm_room_dark,ambient_mp_ca_rumble,,,sm_room_dark,interior,interior,small_spaces,,,,
rumb_sm_container,ambient_mp_ca_rumble,,,sm_container,interior,interior,tight_spaces,,,,
rumb_sm_pipe,ambient_mp_ca_rumble,,,sm_pipe,interior,interior,tight_spaces,,,,
rumb_sm_hallway,ambient_mp_ca_rumble,,,sm_hallway,interior,interior,small_spaces,,,,
rumb_sm_hallway_dark,ambient_mp_ca_rumble,,,sm_hallway_dark,interior,interior,small_spaces,,,,
rumb_ext_street,ambient_mp_ca_rumble,,,ext_street,default,default,exterior_spaces,,,,
rumb_ext_reflect,ambient_mp_ca_rumble,,,ext_reflect,default,default,partial_cover,,,,
rumb_md_ext_alley,ambient_mp_ca_rumble,,,md_ext_alley,default,default,exterior_spaces,,,,
rumb_sm_ext_alley,ambient_mp_ca_rumble,,,sm_ext_alley,default,default,exterior_spaces,,,,
rumb_sm_room_tight,ambient_mp_ca_rumble,,,sm_room,interior,interior,tight_spaces,,,,
rumb_sm_room_tight_dark,ambient_mp_ca_rumble,,,sm_room_dark,interior,interior,tight_spaces,,,,
rumb_sm_room_light,ambient_mp_ca_rumble,,,sm_room,interior_very_light,interior,small_spaces,,,,
rumb_sm_room_dark_light,ambient_mp_ca_rumble,,,sm_room_dark,interior_very_light,interior,small_spaces,,,,
rumb_med_room_light,ambient_mp_ca_rumble,,,md_room,interior_very_light,interior,med_spaces,,,,
rumb_med_room_dark_light,ambient_mp_ca_rumble,,,md_room_dark,interior_very_light,interior,med_spaces,,,,
rumb_sm_room_ext,ambient_mp_ca_rumble,,,sm_room,default,default,small_spaces,,,,
rumb_sm_hallway_light,ambient_mp_ca_rumble,,,sm_hallway,interior_very_light,interior,small_spaces,,,,
rumb_lg_room_light,ambient_mp_ca_rumble,,,lg_room,interior_very_light,interior,large_spaces,,,,
rumb_sm_hallway_light,ambient_mp_ca_rumble,,,sm_hallway,interior_very_light,interior,small_spaces,,,,
rumb_sm_hallway_partial,ambient_mp_ca_rumble,,,sm_hallway,default,default,partial_cover,,,,
rumb_sm_room_mine,ambient_mp_ca_rumble,,,sm_room,cave_filter,interior,small_spaces,,,,
rumb_sm_hallway_mine,ambient_mp_ca_rumble,,,sm_hallway,cave_filter,interior,small_spaces,,,,
rumb_md_ext_alley_mine,ambient_mp_ca_rumble,,,md_ext_alley,cave_filter,default,exterior_spaces,,,,
rumb_sm_hallway_light_mine,ambient_mp_ca_rumble,,,sm_hallway,cave_filter,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
