zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_conflict,ambient_mp_conflict,,,ext_reflect,default,default,exterior_spaces,,,,
con_lg_part_cover,ambient_mp_conflict,,,lg_partcover,default,default,partial_cover,,,,
con_lg_room,ambient_mp_conflict,,,lg_room,interior,interior,large_spaces,,,,
con_lg_room_dark,ambient_mp_conflict,,,lg_room_dark,interior,interior,large_spaces,,,,
con_lg_tunnel,ambient_mp_conflict,,,lg_tunnel,interior,interior,large_spaces,,,,
con_med_room,ambient_mp_conflict,,,md_room,interior,interior,med_spaces,,,,
con_med_room_dark,ambient_mp_conflict,,,md_room_dark,interior,interior,med_spaces,,,,
con_med_part_cover,ambient_mp_conflict,,,md_partcover,default,default,partial_cover,,,,
con_med_hallway,ambient_mp_conflict,,,md_hallway,interior,interior,small_spaces,,,,
con_sm_partcover,ambient_mp_conflict,,,sm_partcover,default,default,partial_cover,,,,
con_sm_room,ambient_mp_conflict,,,sm_room,interior,interior,small_spaces,,,,
con_sm_room_dark,ambient_mp_conflict,,,sm_room_dark,interior,interior,small_spaces,,,,
con_sm_container,ambient_mp_conflict,,,sm_container,interior,interior,tight_spaces,,,,
con_sm_pipe,ambient_mp_conflict,,,sm_pipe,interior,interior,tight_spaces,,,,
con_sm_hallway,ambient_mp_conflict,,,sm_hallway,interior,interior,small_spaces,,,,
con_sm_hallway_dark,ambient_mp_conflict,,,sm_hallway_dark,interior,interior,small_spaces,,,,
con_ext_street,ambient_mp_conflict,,,ext_street,default,default,exterior_spaces,,,,
con_ext_reflect,ambient_mp_conflict,,,ext_reflect,default,default,partial_cover,,,,
con_md_ext_alley,ambient_mp_conflict,,,md_ext_alley,default,default,exterior_spaces,,,,
con_sm_ext_alley,ambient_mp_conflict,,,sm_ext_alley,default,default,exterior_spaces,,,,
con_sm_room_tight,ambient_mp_conflict,,,sm_room,interior,interior,tight_spaces,,,,
con_sm_room_tight_dark,ambient_mp_conflict,,,sm_room_dark,interior,interior,tight_spaces,,,,
con_med_room_ext,ambient_mp_conflict,,,md_room,default,interior,med_spaces,,,,
con_sm_room_ext,ambient_mp_conflict,,,sm_room,default,interior,small_spaces,,,,
con_sm_pipe_ext,ambient_mp_conflict,,,sm_pipe,default,interior,tight_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
