zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_dart,ambient_mp_dart,,,mp_dart_ext,default,default,exterior_spaces,,,,
dart_alley,ambient_mp_dart,,,md_ext_alley,default,default,exterior_spaces,,,,
dart_tight_space,ambient_mp_dart,,,sm_room,interior,default,small_spaces,,,,
dart_small_room,ambient_mp_dart,,,sm_room,interior,default,small_spaces,,,,
dart_med_room,ambient_mp_dart,,,md_room,interior,default,med_spaces,,,,
dart_large_room,ambient_mp_dart,,,lg_room,interior,default,large_spaces,,,,
dart_large_room_dark,ambient_mp_dart,,,lg_room_dark,interior,default,large_spaces,,,,
dart_sm_part_cover,ambient_mp_dart,,,sm_partcover,default,default,partial_cover,,,,
dart_med_part_cover,ambient_mp_dart,,,md_partcover,default,default,partial_cover,,,,
dart_large_part_cover,ambient_mp_dart,,,lg_partcover,default,default,partial_cover,,,,
dart_container,ambient_mp_dart,,,sm_container,default,default,small_spaces,,,,
dart_hallway,ambient_mp_dart,,,sm_hallway,interior,default,small_spaces,,,,
dart_opened_hallway,ambient_mp_dart,,,md_room_dark,interior,default,med_spaces,,,,
dart_street,ambient_mp_dart,,,ext_street,default,default,exterior_spaces,,,,
dart_street_reflect,ambient_mp_dart,,,ext_reflect,default,default,partial_cover,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mp_dart_ext,mountains,1,1,1,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
