zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_dig,ambient_mp_dig,dig_sand_gusts,,default,default,default,exterior_spaces,,,,
dig_lg_part_cover,ambient_mp_dig,dig_sand_gusts,,lg_partcover,default,default,partial_cover,,,,
dig_lg_room,ambient_mp_dig,,,lg_room,interior,interior,large_spaces,,,,
dig_lg_room_dark,ambient_mp_dig,,,lg_room_dark,interior,interior,large_spaces,,,,
dig_lg_tunnel,ambient_mp_dig,,,lg_tunnel,interior,interior,large_spaces,,,,
dig_med_room,ambient_mp_dig,,,md_room,interior,interior,med_spaces,,,,
dig_med_room_dark,ambient_mp_dig,,,md_room_dark,interior,interior,med_spaces,,,,
dig_med_part_cover,ambient_mp_dig,dig_sand_gusts,,md_partcover,default,default,partial_cover,,,,
dig_med_hallway,ambient_mp_dig,,,md_hallway,interior,interior,small_spaces,,,,
dig_sm_partcover,ambient_mp_dig,dig_sand_gusts,,sm_partcover,default,default,partial_cover,,,,
dig_sm_room,ambient_mp_dig,,,sm_room,interior,interior,small_spaces,,,,
dig_sm_room_dark,ambient_mp_dig,,,sm_room_dark,interior,interior,small_spaces,,,,
dig_sm_container,ambient_mp_dig,,,sm_container,interior,interior,tight_spaces,,,,
dig_sm_pipe,ambient_mp_dig,,,sm_pipe,interior,interior,tight_spaces,,,,
dig_sm_hallway,ambient_mp_dig,,,sm_hallway,interior,interior,small_spaces,,,,
dig_sm_hallway_dark,ambient_mp_dig,,,sm_hallway_dark,interior,interior,small_spaces,,,,
dig_ext_street,ambient_mp_dig,dig_sand_gusts,,ext_street,default,default,exterior_spaces,,,,
dig_ext_reflect,ambient_mp_dig,dig_sand_gusts,,ext_reflect,default,default,partial_cover,,,,
dig_md_ext_alley,ambient_mp_dig,dig_sand_gusts,,md_ext_alley,default,default,exterior_spaces,,,,
dig_sm_ext_alley,ambient_mp_dig,dig_sand_gusts,,sm_ext_alley,default,default,exterior_spaces,,,,
dig_sm_room_tight,ambient_mp_dig,,,sm_room,interior,interior,tight_spaces,,,,
dig_sm_room_tight_dark,ambient_mp_dig,,,sm_room_dark,interior,interior,tight_spaces,,,,
dig_lg_tunnel_ext,ambient_mp_dig,dig_sand_gusts,,lg_tunnel,default,default,large_spaces,,,,
dig_lg_tunnel_light,ambient_mp_dig,,,lg_tunnel,battery_light,default,large_spaces,,,,
dig_sm_hallway_ext,ambient_mp_dig,dig_sand_gusts,,sm_hallway,default,default,small_spaces,,,,
dig_sm_room_ext,ambient_mp_dig,dig_sand_gusts,,sm_room,default,default,small_spaces,,,,
dig_sm_hallway_light,ambient_mp_dig,,,sm_hallway,battery_light,interior,small_spaces,,,,
dig_lg_room_ext,ambient_mp_dig,dig_sand_gusts,,lg_room,default,interior,large_spaces,,,,
dig_med_room_ext,ambient_mp_dig,dig_sand_gusts,,md_room,default,interior,med_spaces,,,,
dig_med_hallway_light,ambient_mp_dig,,,md_hallway,battery_light,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
dig_sand_gusts,7,15,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
dig_sand_gusts,elm_dig_sand_gusts,1,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_dig_sand_gusts,elm_dig_sand_gust,6000,8000,75,135,5,9,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
