zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_fahrenheit,ambient_mp_fahrenheit,,,fahrenheit_ext,default,default,,,,,
fah_lg_part_cover,ambient_mp_fahrenheit,,,lg_partcover,default_fah,default,partial_cover,,,,
fah_lg_room,ambient_mp_fahrenheit,,,lg_room,interior_fah,interior,large_spaces,,,,
fah_lg_room_dark,ambient_mp_fahrenheit,,,lg_room_dark,interior_fah,interior,large_spaces,,,,
fah_lg_tunnel,ambient_mp_fahrenheit,,,lg_tunnel,default_fah,default,large_spaces,,,,
fah_med_room,ambient_mp_fahrenheit,,,md_room,interior_fah,interior,med_spaces,,,,
fah_med_room_dark,ambient_mp_fahrenheit,,,md_room_dark,interior_fah,interior,med_spaces,,,,
fah_med_part_cover,ambient_mp_fahrenheit,,,md_partcover,default_fah,default,partial_cover,,,,
fah_med_hallway,ambient_mp_fahrenheit,,,md_hallway,interior_fah,interior,small_spaces,,,,
fah_sm_partcover,ambient_mp_fahrenheit,,,sm_partcover,default_fah,default,partial_cover,,,,
fah_sm_room,ambient_mp_fahrenheit,,,sm_room,interior_fah,interior,small_spaces,,,,
fah_sm_room_dark,ambient_mp_fahrenheit,,,sm_room_dark,interior_fah,interior,small_spaces,,,,
fah_sm_container,ambient_mp_fahrenheit,,,sm_container,interior_fah,interior,tight_spaces,,,,
fah_sm_pipe,ambient_mp_fahrenheit,,,sm_pipe,interior_fah,interior,tight_spaces,,,,
fah_sm_hallway,ambient_mp_fahrenheit,,,sm_hallway,interior_fah,interior,small_spaces,,,,
fah_sm_hallway_dark,ambient_mp_fahrenheit,,,sm_hallway_dark,interior_fah,interior,small_spaces,,,,
fah_ext_street,ambient_mp_fahrenheit,,,ext_street,default,default,exterior_spaces,,,,
fah_ext_reflect,ambient_mp_fahrenheit,,,ext_reflect,default,default,partial_cover,,,,
fah_md_ext_alley,ambient_mp_fahrenheit,,,md_ext_alley,default_fah,default,exterior_spaces,,,,
fah_sm_ext_alley,ambient_mp_fahrenheit,,,sm_ext_alley,default_fah,default,exterior_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
default_fah,element_int,0,highshelf,1000,-12,1,,,,,
default_fah,element_ext,0,highshelf,20000,-12,1,,,,,
default_fah,ambient,0,highshelf,7000,-3,1,,,,,
default_fah,ambdist1,0,highshelf,20000,-12,1,,,,,
default_fah,ambdist2,0,highshelf,20000,-12,1,,,,,
default_fah,element,0,highshelf,3500,-6,1,,,,,
interior_fah,element_ext,0,highshelf,1500,-12,1,,,,,
interior_fah,ambient,0,highshelf,1500,-12,1,,,,,
interior_fah,ambdist1,0,highshelf,1500,-12,1,,,,,
interior_fah,ambdist2,0,highshelf,1500,-12,1,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
fahrenheit_ext,gen_ext_street,1,0.6,1,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
