zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_favela_iw6,ambient_mp_favela_iw6,,,ext_street,default,default,exterior_spaces,,,,
ac130iw6,ambient_ac130iw6_lr,,satellite_mix,ac130iw6_reverb,interior_satellite,interior,,,,,
customaudiozone,ambient_ac130iw6_lr,,,ac130iw6_reverb,interior_satellite,interior,,,,,
favela_lg_part_cover,ambient_mp_favela_iw6,,,lg_partcover,default,default,partial_cover,,,,
favela_lg_room,ambient_mp_favela_iw6,,,lg_room,interior,interior,large_spaces,,,,
favela_lg_room_dark,ambient_mp_favela_iw6,,,lg_room_dark,interior,interior,large_spaces,,,,
favela_lg_tunnel,ambient_mp_favela_iw6,,,lg_tunnel,interior,interior,large_spaces,,,,
favela_med_room,ambient_mp_favela_iw6,,,md_room,interior,interior,med_spaces,,,,
favela_med_room_dark,ambient_mp_favela_iw6,,,md_room_dark,interior,interior,med_spaces,,,,
favela_med_part_cover,ambient_mp_favela_iw6,,,md_partcover,default,default,partial_cover,,,,
favela_med_hallway,ambient_mp_favela_iw6,,,md_hallway,interior,interior,small_spaces,,,,
favela_sm_partcover,ambient_mp_favela_iw6,,,sm_partcover,default,default,partial_cover,,,,
favela_sm_room,ambient_mp_favela_iw6,,,sm_room,interior,interior,small_spaces,,,,
favela_sm_room_dark,ambient_mp_favela_iw6,,,sm_room_dark,interior,interior,small_spaces,,,,
favela_sm_container,ambient_mp_favela_iw6,,,sm_container,interior,interior,tight_spaces,,,,
favela_sm_pipe,ambient_mp_favela_iw6,,,sm_pipe,default,interior,tight_spaces,,,,
favela_sm_hallway,ambient_mp_favela_iw6,,,sm_hallway,interior,interior,small_spaces,,,,
favela_sm_hallway_dark,ambient_mp_favela_iw6,,,sm_hallway_dark,interior,interior,small_spaces,,,,
favela_ext_street,ambient_mp_favela_iw6,,,ext_street,default,default,exterior_spaces,,,,
favela_ext_reflect,ambient_mp_favela_iw6,,,ext_reflect,default,default,partial_cover,,,,
favela_md_ext_alley,ambient_mp_favela_iw6,,,md_ext_alley,default,default,exterior_spaces,,,,
favela_sm_ext_alley,ambient_mp_favela_iw6,,,sm_ext_alley,default,default,exterior_spaces,,,,
favela_sm_room_tight,ambient_mp_favela_iw6,,,sm_room,interior,interior,tight_spaces,,,,
favela_sm_room_tight_dark,ambient_mp_favela_iw6,,,sm_room_dark,interior,interior,tight_spaces,,,,
favela_lg_tunnel_ext,ambient_mp_favela_iw6,,,lg_tunnel,default,default,large_spaces,,,,
favela_lg_tunnel_light,ambient_mp_favela_iw6,,,lg_tunnel,interior,default,large_spaces,,,,
favela_sm_hallway_ext,ambient_mp_favela_iw6,,,sm_hallway,default,default,small_spaces,,,,
favela_sm_room_ext,ambient_mp_favela_iw6,,,sm_room,default,default,small_spaces,,,,
favela_sm_hallway_light,ambient_mp_favela_iw6,,,sm_hallway,interior,interior,small_spaces,,,,
favela_lg_room_ext,ambient_mp_favela_iw6,,,lg_room,default,interior,large_spaces,,,,
favela_med_room_ext,ambient_mp_favela_iw6,,,md_room,default,interior,med_spaces,,,,
favela_med_hallway_light,ambient_mp_favela_iw6,,,md_hallway,interior_light,interior,small_spaces,,,,
favela_med_hallway_ext,ambient_mp_favela_iw6,,,md_hallway,default,interior,small_spaces,,,,
favela_sm_hallway_dark_ext,ambient_mp_favela_iw6,,,sm_hallway_dark,default,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
ac130iw6_reverb,jg_iplane,1,0.7,1,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
