zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_flooded,ambient_mp_flooded,,,default,default,default,exterior_spaces,,,,
flooded_lg_part_cover,ambient_mp_flooded,,,lg_partcover,default,default,partial_cover,,,,
flooded_lg_room,ambient_mp_flooded,,,lg_room,interior,interior,large_spaces,,,,
flooded_lg_room_dark,ambient_mp_flooded,,,lg_room_dark,interior,interior,large_spaces,,,,
flooded_lg_tunnel,ambient_mp_flooded,,,lg_tunnel,interior,interior,large_spaces,,,,
flooded_med_room,ambient_mp_flooded,,,md_room,interior,interior,med_spaces,,,,
flooded_med_room_dark,ambient_mp_flooded,,,md_room_dark,interior,interior,med_spaces,,,,
flooded_med_part_cover,ambient_mp_flooded,,,md_partcover,interior,interior,med_spaces,,,,
flooded_med_hallway,ambient_mp_flooded,,,md_hallway,interior,interior,small_spaces,,,,
flooded_sm_partcover,ambient_mp_flooded,,,sm_partcover,default,default,partial_cover,,,,
flooded_sm_room,ambient_mp_flooded,,,sm_room,interior,interior,small_spaces,,,,
flooded_sm_room_dark,ambient_mp_flooded,,,sm_room_dark,interior,interior,small_spaces,,,,
flooded_sm_container,ambient_mp_flooded,,,sm_container,interior,interior,tight_spaces,,,,
flooded_sm_pipe,ambient_mp_flooded,,,sm_pipe,interior,interior,tight_spaces,,,,
flooded_sm_hallway,ambient_mp_flooded,,,sm_hallway,interior,interior,small_spaces,,,,
flooded_sm_hallway_dark,ambient_mp_flooded,,,sm_hallway_dark,interior,interior,small_spaces,,,,
flooded_ext_street,ambient_mp_flooded,,,ext_street,default,default,exterior_spaces,,,,
flooded_ext_reflect,ambient_mp_flooded,,,ext_reflect,default,default,partial_cover,,,,
flooded_md_ext_alley,ambient_mp_flooded,,,md_ext_alley,default,default,exterior_spaces,,,,
flooded_sm_ext_alley,ambient_mp_flooded,,,sm_ext_alley,default,default,exterior_spaces,,,,
flooded_sm_room_tight,ambient_mp_flooded,,,sm_room,interior,interior,tight_spaces,,,,
flooded_sm_room_tight_dark,ambient_mp_flooded,,,sm_room_dark,interior,interior,tight_spaces,,,,
flooded_md_int_alley,ambient_mp_flooded,,,md_ext_alley,interior,interior,exterior_spaces,,,,
flooded_med_room_light,ambient_mp_flooded,,,md_room,interior_light,interior,med_spaces,,,,
flooded_sm_room_light,ambient_mp_flooded,,,sm_room,interior_light,interior,small_spaces,,,,
flooded_sm_room_dark_light,ambient_mp_flooded,,,sm_room_dark,interior_light,interior,small_spaces,,,,
flooded_sm_hallway_ext,ambient_mp_flooded,,,sm_hallway,default,default,small_spaces,,,,
flooded_lg_tunnel_light,ambient_mp_flooded,,,lg_tunnel,interior_light,interior,large_spaces,,,,
flooded_med_room_dark_light,ambient_mp_flooded,,,md_room_dark,interior,interior,med_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
