zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_frag,ambient_mp_frag,,,mp_lonestar_ext,default,default,,,,,
frag_lg_part_cover,ambient_mp_frag,,,lg_partcover,default,default,partial_cover,,,,
frag_lg_room,ambient_mp_frag,,,lg_room,interior,interior,large_spaces,,,,
frag_lg_room_dark,ambient_mp_frag,,,lg_room_dark,interior,interior,large_spaces,,,,
frag_lg_tunnel,ambient_mp_frag,,,lg_tunnel,interior,interior,large_spaces,,,,
frag_med_room,ambient_mp_frag,,,md_room,interior,interior,med_spaces,,,,
frag_med_room_dark,ambient_mp_frag,,,md_room_dark,interior,interior,med_spaces,,,,
frag_med_part_cover,ambient_mp_frag,,,md_partcover,default,default,partial_cover,,,,
frag_med_hallway,ambient_mp_frag,,,md_hallway,interior,interior,small_spaces,,,,
frag_sm_partcover,ambient_mp_frag,,,sm_partcover,default,default,partial_cover,,,,
frag_sm_room,ambient_mp_frag,,,sm_room,interior,interior,small_spaces,,,,
frag_sm_room_dark,ambient_mp_frag,,,sm_room_dark,interior,interior,small_spaces,,,,
frag_sm_container,ambient_mp_frag,,,sm_container,interior,interior,tight_spaces,,,,
frag_sm_pipe,ambient_mp_frag,,,sm_pipe,interior,interior,tight_spaces,,,,
frag_sm_hallway,ambient_mp_frag,,,sm_hallway,interior,interior,small_spaces,,,,
frag_sm_hallway_dark,ambient_mp_frag,,,sm_hallway_dark,interior,interior,small_spaces,,,,
frag_ext_street,ambient_mp_frag,,,ext_street,default,default,exterior_spaces,,,,
frag_ext_reflect,ambient_mp_frag,,,ext_reflect,default,default,partial_cover,,,,
frag_md_ext_alley,ambient_mp_frag,,,md_ext_alley,default,default,exterior_spaces,,,,
frag_sm_ext_alley,ambient_mp_frag,,,sm_ext_alley,default,default,exterior_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mp_lonestar_ext,mountains,1,1,1,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
