zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,adsr,,,,
mp_hashima,ambient_mp_hashima,,,default,,,exterior_spaces,,,,
hash_lg_part_cover,ambient_mp_hashima,,,lg_partcover,default,default,partial_cover,,,,
hash_lg_room,ambient_mp_hashima,,,lg_room,interior,interior,large_spaces,,,,
hash_lg_room_dark,ambient_mp_hashima,,,lg_room_dark,interior,interior,large_spaces,,,,
hash_lg_tunnel,ambient_mp_hashima_mine,,,lg_tunnel,cave_filter,default,large_spaces,,,,
hash_med_room,ambient_mp_hashima,,,md_room,interior,interior,med_spaces,,,,
hash_med_room_dark,ambient_mp_hashima,,,md_room_dark,interior,interior,med_spaces,,,,
hash_med_part_cover,ambient_mp_hashima,,,md_partcover,default,default,partial_cover,,,,
hash_med_hallway,ambient_mp_hashima,,,md_hallway,interior,interior,small_spaces,,,,
hash_sm_partcover,ambient_mp_hashima,,,sm_partcover,default,default,partial_cover,,,,
hash_sm_room,ambient_mp_hashima,,,sm_room,interior,interior,small_spaces,,,,
hash_sm_room_dark,ambient_mp_hashima,,,sm_room_dark,interior,interior,small_spaces,,,,
hash_sm_container,ambient_mp_hashima,,,sm_container,interior,interior,tight_spaces,,,,
hash_sm_pipe,ambient_mp_hashima,,,sm_pipe,interior,interior,tight_spaces,,,,
hash_sm_hallway,ambient_mp_hashima,,,sm_hallway,interior,interior,small_spaces,,,,
hash_sm_hallway_dark,ambient_mp_hashima,,,sm_hallway_dark,interior,interior,small_spaces,,,,
hash_ext_street,ambient_mp_hashima,,,ext_street,default,default,exterior_spaces,,,,
hash_ext_reflect,ambient_mp_hashima,,,ext_reflect,default,default,partial_cover,,,,
hash_md_ext_alley,ambient_mp_hashima,,,md_ext_alley,default,default,exterior_spaces,,,,
hash_sm_ext_alley,ambient_mp_hashima,,,sm_ext_alley,default,default,exterior_spaces,,,,
hash_sm_room_tight,ambient_mp_hashima,,,sm_room,interior,interior,tight_spaces,,,,
hash_sm_room_tight_dark,ambient_mp_hashima,,,sm_room_dark,interior,interior,tight_spaces,,,,
hash_sm_room_light,ambient_mp_hashima,,,sm_room,interior_very_light,interior,small_spaces,,,,
hash_sm_room_dark_light,ambient_mp_hashima,,,sm_room_dark,interior_very_light,interior,small_spaces,,,,
hash_med_room_light,ambient_mp_hashima,,,md_room,interior_very_light,interior,med_spaces,,,,
hash_med_room_dark_light,ambient_mp_hashima,,,md_room_dark,interior_very_light,interior,med_spaces,,,,
hash_sm_room_ext,ambient_mp_hashima,,,sm_room,default,default,small_spaces,,,,
hash_sm_hallway_light,ambient_mp_hashima,,,sm_hallway,interior_very_light,interior,small_spaces,,,,
hash_lg_room_light,ambient_mp_hashima,,,lg_room,interior_very_light,interior,large_spaces,,,,
hash_sm_hallway_light,ambient_mp_hashima,,,sm_hallway,interior_very_light,interior,small_spaces,,,,
hash_sm_hallway_partial,ambient_mp_hashima,,,sm_hallway,default,default,partial_cover,,,,
hash_sm_room_mine,ambient_mp_hashima_mine,,,sm_room,cave_filter,interior,small_spaces,,,,
hash_sm_hallway_mine,ambient_mp_hashima_mine,,,sm_hallway,cave_filter,interior,small_spaces,,,,
hash_md_ext_alley_mine,ambient_mp_hashima_mine,,,md_ext_alley,cave_filter,default,exterior_spaces,,,,
hash_sm_hallway_light_mine,ambient_mp_hashima_mine,,,sm_hallway,cave_filter,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
interior_very_light,element_ext,0,highshelf,6000,-12,1,,,,,
interior_very_light,ambient,0,highshelf,6000,-12,1,,,,,
interior_very_light,ambdist1,0,highshelf,6000,-12,1,,,,,
interior_very_light,ambdist2,0,highshelf,6000,-12,1,,,,,
cave_filter,element_ext,0,highshelf,6000,-12,1,,,,,
cave_filter,ambdist1,0,highshelf,6000,-12,1,,,,,
cave_filter,ambdist2,0,highshelf,6000,-12,1,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
