zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr
mp_lonestar,ambient_mp_lonestar,,,mp_lonestar_ext,default,default,
lone_lg_part_cover,ambient_mp_lonestar,,,lg_partcover,default,default,partial_cover
lone_lg_room,ambient_mp_lonestar,,,lg_room,interior,interior,large_spaces
lone_lg_room_dark,ambient_mp_lonestar,,,lg_room_dark,interior,interior,large_spaces
lone_lg_tunnel,ambient_mp_lonestar,,,lg_tunnel,interior,interior,large_spaces
lone_med_room,ambient_mp_lonestar,,,md_room,interior,interior,med_spaces
lone_med_room_dark,ambient_mp_lonestar,,,md_room_dark,interior,interior,med_spaces
lone_med_part_cover,ambient_mp_lonestar,,,md_partcover,default,default,partial_cover
lone_med_hallway,ambient_mp_lonestar,,,md_hallway,interior,interior,small_spaces
lone_sm_partcover,ambient_mp_lonestar,,,sm_partcover,default,default,partial_cover
lone_sm_room,ambient_mp_lonestar,,,sm_room,interior,interior,small_spaces
lone_sm_room_dark,ambient_mp_lonestar,,,sm_room_dark,interior,interior,small_spaces
lone_sm_container,ambient_mp_lonestar,,,sm_container,interior,interior,tight_spaces
lone_sm_pipe,ambient_mp_lonestar,,,sm_pipe,interior,interior,tight_spaces
lone_sm_hallway,ambient_mp_lonestar,,,sm_hallway,interior,interior,small_spaces
lone_sm_hallway_dark,ambient_mp_lonestar,,,sm_hallway_dark,interior,interior,small_spaces
lone_ext_street,ambient_mp_lonestar,,,ext_street,default,default,exterior_spaces
lone_ext_reflect,ambient_mp_lonestar,,,ext_reflect,default,default,partial_cover
lone_md_ext_alley,ambient_mp_lonestar,,,md_ext_alley,default,default,exterior_spaces
lone_sm_ext_alley,ambient_mp_lonestar,,,sm_ext_alley,default,default,exterior_spaces
filter_name,channel,band,type,freq,gain,q,
reverb_name,roomtype,drylevel,wetlevel,fade,,,
mp_lonestar_ext,gen_ext_street,1,0.65,1,,,
mix_name,channel,volume,fade,,,,
ambient_name,time_min,time_max,,,,,
ambient_event,element,weight,,,,,
END_OF_FILE,,,,,,,
