zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_mine,ambient_mp_mine,,,mine_ext,default,default,exterior_spaces,,,,
mine_lg_part_cover,ambient_mp_mine,,,lg_partcover,default,default,partial_cover,,,,
mine_lg_room,ambient_mp_mine,,,lg_room,interior,interior,large_spaces,,,,
mine_lg_room_dark,ambient_mp_mine,,,lg_room_dark,interior,interior,large_spaces,,,,
mine_lg_tunnel,ambient_mp_mine,,,lg_tunnel,interior,interior,large_spaces,,,,
mine_med_room,ambient_mp_mine,,,md_room,interior,interior,med_spaces,,,,
mine_med_room_dark,ambient_mp_mine,,,md_room_dark,interior,interior,med_spaces,,,,
mine_med_part_cover,ambient_mp_mine,,,md_partcover,default,default,partial_cover,,,,
mine_med_hallway,ambient_mp_mine,,,md_hallway,interior,interior,small_spaces,,,,
mine_sm_partcover,ambient_mp_mine,,,sm_partcover,default,default,partial_cover,,,,
mine_sm_room,ambient_mp_mine,,,sm_room,interior,interior,small_spaces,,,,
mine_sm_room_dark,ambient_mp_mine,,,sm_room_dark,interior,interior,small_spaces,,,,
mine_sm_container,ambient_mp_mine,,,sm_container,interior,interior,tight_spaces,,,,
mine_sm_pipe,ambient_mp_mine,,,sm_pipe,interior,interior,tight_spaces,,,,
mine_sm_hallway,ambient_mp_mine,,,sm_hallway,interior,interior,small_spaces,,,,
mine_sm_hallway_dark,ambient_mp_mine,,,sm_hallway_dark,interior,interior,small_spaces,,,,
mine_ext_street,ambient_mp_mine,,,ext_street,default,default,exterior_spaces,,,,
mine_ext_reflect,ambient_mp_mine,,,ext_reflect,default,default,partial_cover,,,,
mine_md_ext_alley,ambient_mp_mine,,,md_ext_alley,default,default,exterior_spaces,,,,
mine_sm_ext_alley,ambient_mp_mine,,,sm_ext_alley,default,default,exterior_spaces,,,,
mine_sm_room_tight,ambient_mp_mine,,,sm_room,interior,interior,tight_spaces,,,,
mine_sm_room_tight_dark,ambient_mp_mine,,,sm_room_dark,interior,interior,tight_spaces,,,,
mine_med_hallway_light,ambient_mp_mine,,,md_hallway,interior_light,interior,small_spaces,,,,
mine_sm_hallway_light,ambient_mp_mine,,,sm_hallway,interior_light,interior,small_spaces,,,,
mine_sm_room_light,ambient_mp_mine,,,sm_room,interior_light,interior,small_spaces,,,,
mine_med_room_light,ambient_mp_mine,,,md_room,interior_light,interior,med_spaces,,,,
mine_sm_container_light,ambient_mp_mine,,,sm_container,interior_light,interior,tight_spaces,,,,
mine_md_ext_alley_light,ambient_mp_mine,,,md_ext_alley,interior_light,interior,exterior_spaces,,,,
mine_md_ext_alley_int,ambient_mp_mine,,,md_ext_alley,interior,interior,exterior_spaces,,,,
mine_sm_room_dark_light,ambient_mp_mine,,,sm_room_dark,interior_light,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mine_ext,mountains,1,1,2,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
