zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_pirate,ambient_mp_pirate,,,default,default,default,exterior_spaces,,,,
pir_lg_part_cover,ambient_mp_pirate,,,lg_partcover,default,default,partial_cover,,,,
pir_lg_room,ambient_mp_pirate,,,lg_room,interior,interior,large_spaces,,,,
pir_lg_room_dark,ambient_mp_pirate,pirate_tavern_vo,,lg_room_dark,interior,interior,large_spaces,,,,
pir_lg_tunnel,ambient_mp_pirate,,,lg_tunnel,interior,interior,large_spaces,,,,
pir_med_room,ambient_mp_pirate,,,md_room,interior,interior,med_spaces,,,,
pir_med_room_dark,ambient_mp_pirate,,,md_room_dark,interior,interior,med_spaces,,,,
pir_med_part_cover,ambient_mp_pirate,,,md_partcover,default,default,partial_cover,,,,
pir_med_hallway,ambient_mp_pirate,,,md_hallway,interior,interior,small_spaces,,,,
pir_sm_partcover,ambient_mp_pirate,,,sm_partcover,default,default,partial_cover,,,,
pir_sm_room,ambient_mp_pirate,,,sm_room,interior,interior,small_spaces,,,,
pir_sm_room_dark,ambient_mp_pirate,,,sm_room_dark,interior,interior,small_spaces,,,,
pir_sm_container,ambient_mp_pirate,,,sm_container,interior,interior,tight_spaces,,,,
pir_sm_pipe,ambient_mp_pirate,,,sm_pipe,interior,interior,tight_spaces,,,,
pir_sm_hallway,ambient_mp_pirate,,,sm_hallway,interior,interior,small_spaces,,,,
pir_sm_hallway_dark,ambient_mp_pirate,,,sm_hallway_dark,interior,interior,small_spaces,,,,
pir_ext_street,ambient_mp_pirate,,,ext_street,default,default,exterior_spaces,,,,
pir_ext_reflect,ambient_mp_pirate,,,ext_reflect,default,default,partial_cover,,,,
pir_md_ext_alley,ambient_mp_pirate,,,md_ext_alley,default,default,exterior_spaces,,,,
pir_sm_ext_alley,ambient_mp_pirate,,,sm_ext_alley,default,default,exterior_spaces,,,,
pir_sm_room_tight,ambient_mp_pirate,,,sm_room,interior,interior,tight_spaces,,,,
pir_sm_room_tight_dark,ambient_mp_pirate,,,sm_room_dark,interior,interior,tight_spaces,,,,
pir_lg_tunnel_ext,ambient_mp_pirate,,,lg_tunnel,default,default,large_spaces,,,,
pir_lg_tunnel_light,ambient_mp_pirate,,,lg_tunnel,interior,default,large_spaces,,,,
pir_sm_hallway_ext,ambient_mp_pirate,,,sm_hallway,default,default,small_spaces,,,,
pir_sm_room_ext,ambient_mp_pirate,,,sm_room,default,default,small_spaces,,,,
pir_sm_hallway_light,ambient_mp_pirate,,,sm_hallway,pir_light,interior,small_spaces,,,,
pir_lg_room_ext,ambient_mp_pirate,,,lg_room,default,interior,large_spaces,,,,
pir_med_room_ext,ambient_mp_pirate,,,md_room,default,interior,med_spaces,,,,
pir_med_hallway_light,ambient_mp_pirate,,,md_hallway,interior,interior,small_spaces,,,,
pir_sm_room_dark_light,ambient_mp_pirate,,,sm_room_dark,pir_light,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
pir_light,element_ext,0,highshelf,7000,-12,1,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
pirate_tavern_vo,5,12,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
pirate_tavern_vo,elm_tavern_pir_vo,0.6,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_tavern_pir_vo,elm_pirate_tavern_vo,1,2,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
