zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_prisonbreak,ambient_mp_prisonbreak,,,mp_pb_ext,default,default,exterior_spaces,,,,
mp_pb_small_comp_room,ambient_mp_prisonbreak,,,mp_pb_small_comp_room,default,default,tight_spaces,,,,
mp_pb_med_comp_room,ambient_mp_prisonbreak,,,mp_pb_med_comp_room,interior_light,interior,med_spaces,,,,
mp_pb_stairs_comp_room,ambient_mp_prisonbreak,,,mp_pb_stairs_comp_room,interior_light,interior,med_spaces,,,,
mp_pb_pipe,ambient_mp_prisonbreak,,,mp_pb_pipe,default,default,small_spaces,,,,
mp_pb_waterfall,ambient_mp_prisonbreak,,,mp_pb_waterfall,default,default,exterior_spaces,,,,
mp_pb_creak,ambient_mp_prisonbreak,,,mp_pb_creak,default,default,exterior_spaces,,,,
mp_pb_under_bridge,ambient_mp_prisonbreak,,,mp_pb_under_bridge,default,default,exterior_spaces,,,,
mp_pb_building_side,ambient_mp_prisonbreak,,,mp_pb_building_side,default,default,exterior_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mp_pb_ext,mp_pb_ext,1,1,1,,,,,,,
mp_pb_small_comp_room,mp_pb_sml_room,1,1,0.5,,,,,,,
mp_pb_med_comp_room,mp_pb_med_room,1,1,0.5,,,,,,,
mp_pb_stairs_comp_room,mp_pb_stairs,1,1,0.5,,,,,,,
mp_pb_pipe,mp_pb_pipe,1,1,0.5,,,,,,,
mp_pb_waterfall,mp_pb_waterfall,1,1,1.5,,,,,,,
mp_pb_creak,mp_pb_creak,1,1,1.5,,,,,,,
mp_pb_under_bridge,mp_pb_bridge,1,1,0.5,,,,,,,
mp_pb_building_side,mp_pb_bld_side,1,1,0.5,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
END_OF_FILE,,,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
