zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_shipment_ns,ambient_mp_shipment_ns,,,ext_street,default,default,exterior_spaces,,,,
shipment_ns_lg_part_cover,ambient_mp_shipment_ns,,,lg_partcover,default,default,partial_cover,,,,
shipment_ns_lg_room,ambient_mp_shipment_ns,,,lg_room,interior,interior,large_spaces,,,,
shipment_ns_lg_room_dark,ambient_mp_shipment_ns,,,lg_room_dark,ship_light,interior,large_spaces,,,,
shipment_ns_lg_tunnel,ambient_mp_shipment_ns,,,lg_tunnel,ship_light,interior,large_spaces,,,,
shipment_ns_med_room,ambient_mp_shipment_ns,,,md_room,ship_light,interior,med_spaces,,,,
shipment_ns_med_room_dark,ambient_mp_shipment_ns,,,md_room_dark,ship_light,interior,med_spaces,,,,
shipment_ns_med_part_cover,ambient_mp_shipment_ns,,,md_partcover,default,default,partial_cover,,,,
shipment_ns_med_hallway,ambient_mp_shipment_ns,,,md_hallway,ship_light,interior,small_spaces,,,,
shipment_ns_sm_partcover,ambient_mp_shipment_ns,,,sm_partcover,default,default,partial_cover,,,,
shipment_ns_sm_room,ambient_mp_shipment_ns,,,sm_room,ship_light,interior,small_spaces,,,,
shipment_ns_sm_room_dark,ambient_mp_shipment_ns,,,sm_room_dark,ship_light,interior,small_spaces,,,,
shipment_ns_sm_container,ambient_mp_shipment_ns,,,sm_container,ship_light,interior,tight_spaces,,,,
shipment_ns_sm_pipe,ambient_mp_shipment_ns,,,sm_pipe,default,interior,tight_spaces,,,,
shipment_ns_sm_hallway,ambient_mp_shipment_ns,,,sm_hallway,ship_light,interior,small_spaces,,,,
shipment_ns_sm_hallway_dark,ambient_mp_shipment_ns,,,sm_hallway_dark,ship_light,interior,small_spaces,,,,
shipment_ns_ext_street,ambient_mp_shipment_ns,,,ext_street,default,default,exterior_spaces,,,,
shipment_ns_ext_reflect,ambient_mp_shipment_ns,,,ext_reflect,default,default,partial_cover,,,,
shipment_ns_md_ext_alley,ambient_mp_shipment_ns,,,md_ext_alley,default,default,exterior_spaces,,,,
shipment_ns_sm_ext_alley,ambient_mp_shipment_ns,,,sm_ext_alley,default,default,exterior_spaces,,,,
shipment_ns_sm_room_tight,ambient_mp_shipment_ns,,,sm_room,ship_light,interior,tight_spaces,,,,
shipment_ns_sm_room_tight_dark,ambient_mp_shipment_ns,,,sm_room_dark,ship_light,interior,tight_spaces,,,,
shipment_ns_lg_tunnel_ext,ambient_mp_shipment_ns,,,lg_tunnel,default,default,large_spaces,,,,
shipment_ns_lg_tunnel_light,ambient_mp_shipment_ns,,,lg_tunnel,ship_light,default,large_spaces,,,,
shipment_ns_sm_hallway_ext,ambient_mp_shipment_ns,,,sm_hallway,default,default,small_spaces,,,,
shipment_ns_sm_room_ext,ambient_mp_shipment_ns,,,sm_room,default,default,small_spaces,,,,
shipment_ns_sm_hallway_light,ambient_mp_shipment_ns,,,sm_hallway,ship_light,interior,small_spaces,,,,
shipment_ns_lg_room_ext,ambient_mp_shipment_ns,,,lg_room,default,interior,large_spaces,,,,
shipment_ns_med_room_ext,ambient_mp_shipment_ns,,,md_room,default,interior,med_spaces,,,,
shipment_ns_med_hallway_light,ambient_mp_shipment_ns,,,md_hallway,ship_light,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
ship_light,element_ext,0,highshelf,4000,-12,1,,,,,
ship_light,ambient,0,highshelf,4000,-12,1,,,,,
ship_light,ambdist1,0,highshelf,4000,-12,1,,,,,
ship_light,ambdist2,0,highshelf,4000,-12,1,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
