zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_skeleton,ambient_mp_skeleton,,,default,default,default,exterior_spaces,,,,
skel_lg_part_cover,ambient_mp_skeleton,,,lg_partcover,default,default,partial_cover,,,,
skel_lg_room,ambient_mp_skeleton,,,lg_room,interior,interior,large_spaces,,,,
skel_lg_room_dark,ambient_mp_skeleton,,,lg_room_dark,interior,interior,large_spaces,,,,
skel_lg_tunnel,ambient_mp_skeleton,,,lg_room,interior,interior,large_spaces,,,,
skel_med_room,ambient_mp_skeleton,,,md_room,interior,interior,med_spaces,,,,
skel_med_room_dark,ambient_mp_skeleton,,,md_room_dark,interior,interior,med_spaces,,,,
skel_med_part_cover,ambient_mp_skeleton,,,md_partcover,default,default,partial_cover,,,,
skel_med_hallway,ambient_mp_skeleton,,,md_hallway,interior,interior,small_spaces,,,,
skel_sm_partcover,ambient_mp_skeleton,,,sm_partcover,default,default,partial_cover,,,,
skel_sm_room,ambient_mp_skeleton,,,md_room,interior,interior,med_spaces,,,,
skel_sm_room_dark,ambient_mp_skeleton,,,sm_room_dark,interior,interior,small_spaces,,,,
skel_sm_container,ambient_mp_skeleton,,,sm_container,interior,interior,tight_spaces,,,,
skel_sm_pipe,ambient_mp_skeleton,,,sm_pipe,interior,interior,tight_spaces,,,,
skel_sm_hallway,ambient_mp_skeleton,,,sm_hallway,interior,interior,small_spaces,,,,
skel_sm_hallway_dark,ambient_mp_skeleton,,,sm_hallway_dark,interior,interior,small_spaces,,,,
skel_ext_street,ambient_mp_skeleton,,,ext_street,default,default,exterior_spaces,,,,
skel_ext_reflect,ambient_mp_skeleton,,,ext_reflect,default,default,partial_cover,,,,
skel_md_ext_alley,ambient_mp_skeleton,,,md_ext_alley,default,default,exterior_spaces,,,,
skel_sm_ext_alley,ambient_mp_skeleton,,,sm_ext_alley,default,default,exterior_spaces,,,,
skel_sm_room_tight,ambient_mp_skeleton,,,sm_room,interior,interior,tight_spaces,,,,
skel_sm_room_tight_dark,ambient_mp_skeleton,,,sm_room_dark,interior,interior,tight_spaces,,,,
skel_lg_open_tunnel,ambient_mp_skeleton,,,lg_tunnel,default,default,exterior_spaces,,,,
skel_med_room_open,ambient_mp_skeleton,,,md_room,default,default,partial_cover,,,,
skel_sm_room_open,ambient_mp_skeleton,,,sm_room,default,default,partial_cover,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
