zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_snow,ambient_mp_snow,,,default,default,default,exterior_spaces,,,,
snow_lg_part_cover,ambient_mp_snow,,,lg_partcover,default,default,partial_cover,,,,
snow_lg_room,ambient_mp_snow,,,lg_room,interior,interior,large_spaces,,,,
snow_lg_room_dark,ambient_mp_snow,,,lg_room_dark,interior,interior,large_spaces,,,,
snow_lg_tunnel,ambient_mp_snow,,,lg_tunnel_closed,interior,interior,large_spaces,,,,
snow_med_room,ambient_mp_snow,,,md_room,interior,interior,med_spaces,,,,
snow_med_room_dark,ambient_mp_snow,,,md_room_dark,interior,interior,med_spaces,,,,
snow_med_part_cover,ambient_mp_snow,,,md_partcover,default,default,partial_cover,,,,
snow_med_hallway,ambient_mp_snow,,,md_hallway,interior,interior,small_spaces,,,,
snow_sm_partcover,ambient_mp_snow,,,sm_partcover,default,default,partial_cover,,,,
snow_sm_room,ambient_mp_snow,,,sm_room,interior,interior,small_spaces,,,,
snow_sm_room_dark,ambient_mp_snow,,,sm_room_dark,interior,interior,small_spaces,,,,
snow_sm_container,ambient_mp_snow,,,sm_container,interior,interior,tight_spaces,,,,
snow_sm_pipe,ambient_mp_snow,,,sm_pipe,interior,interior,tight_spaces,,,,
snow_sm_hallway,ambient_mp_snow,,,sm_hallway,interior,interior,small_spaces,,,,
snow_sm_hallway_dark,ambient_mp_snow,,,sm_hallway_dark,interior,interior,small_spaces,,,,
snow_ext_street,ambient_mp_snow,,,ext_street,default,default,exterior_spaces,,,,
snow_ext_reflect,ambient_mp_snow,,,ext_reflect,default,default,partial_cover,,,,
snow_md_ext_alley,ambient_mp_snow,,,md_ext_alley,default,default,exterior_spaces,,,,
snow_sm_ext_alley,ambient_mp_snow,,,sm_ext_alley,default,default,exterior_spaces,,,,
snow_sm_room_tight,ambient_mp_snow,,,sm_room,interior,default,tight_spaces,,,,
snow_sm_room_tight_dark,ambient_mp_snow,,,sm_room_dark,interior,default,tight_spaces,,,,
snow_lg_open_tunnel,ambient_mp_snow,,,lg_tunnel_open,default,default,exterior_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
snow_ext,mountains,1,0.1,1,,,,,,,
lg_tunnel_open,gen_md_ext_alley,1,0.95,1,,,,,,,
lg_tunnel_closed,gen_lg_tunnel,1,0.55,1,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
