zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,adsr,,,,
mp_sovereign,ambient_mp_sovereign,,,lg_tunnel,sovereign_amb,sovereign,exterior_spaces,,,,
sov_lg_part_cover,ambient_mp_sovereign,,,lg_partcover,sovereign,sovereign,partial_cover,,,,
sov_lg_room,ambient_mp_sovereign,,,lg_room,sovereign,sovereign,large_spaces,,,,
sov_lg_room_dark,ambient_mp_sovereign,,,lg_room_dark,sovereign,sovereign,large_spaces,,,,
sov_lg_tunnel,ambient_mp_sovereign,,,lg_tunnel,sovereign,sovereign,large_spaces,,,,
sov_med_room,ambient_mp_sovereign,,,md_room,sovereign,sovereign,med_spaces,,,,
sov_med_room_dark,ambient_mp_sovereign,,,md_room_dark,sovereign,sovereign,med_spaces,,,,
sov_med_part_cover,ambient_mp_sovereign,,,md_partcover,sovereign,sovereign,partial_cover,,,,
sov_med_hallway,ambient_mp_sovereign,,,md_hallway,sovereign,sovereign,small_spaces,,,,
sov_sm_partcover,ambient_mp_sovereign,,,sm_partcover,sovereign,sovereign,partial_cover,,,,
sov_sm_room,ambient_mp_sovereign,,,sm_room,sovereign,sovereign,small_spaces,,,,
sov_sm_room_dark,ambient_mp_sovereign,,,sm_room_dark,sovereign,sovereign,small_spaces,,,,
sov_sm_container,ambient_mp_sovereign,,,sm_container,sovereign,sovereign,tight_spaces,,,,
sov_sm_pipe,ambient_mp_sovereign,,,sm_pipe,sovereign,sovereign,tight_spaces,,,,
sov_sm_hallway,ambient_mp_sovereign,,,sm_hallway,sovereign,sovereign,small_spaces,,,,
sov_sm_hallway_dark,ambient_mp_sovereign,,,sm_hallway_dark,sovereign,sovereign,small_spaces,,,,
sov_ext_street,ambient_mp_sovereign,,,ext_street,sovereign,sovereign,exterior_spaces,,,,
sov_ext_reflect,ambient_mp_sovereign,,,ext_reflect,sovereign,sovereign,partial_cover,,,,
sov_md_ext_alley,ambient_mp_sovereign,,,md_ext_alley,sovereign,sovereign,exterior_spaces,,,,
sov_sm_ext_alley,ambient_mp_sovereign,,,sm_ext_alley,sovereign,sovereign,exterior_spaces,,,,
sov_sm_room_tight,ambient_mp_sovereign,,,sm_room,sovereign,sovereign,tight_spaces,,,,
sov_sm_room_tight_dark,ambient_mp_sovereign,,,sm_room_dark,sovereign,sovereign,tight_spaces,,,,
sov_sm_room_light,ambient_mp_sovereign,,,sm_room,sovereign,sovereign,small_spaces,,,,
sov_sm_hallway_open,ambient_mp_sovereign,,,sm_hallway,sovereign,sovereign,small_spaces,,,,
sov_sm_room_open,ambient_mp_sovereign,,,sm_room,sovereign,sovereign,exterior_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
sovereign,ambdist1,0,highshelf,3000,-12,1,,,,,
sovereign,ambdist2,0,highshelf,3000,-12,1,,,,,
sovereign_amb,ambient,0,highshelf,3000,-12,1,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
occlusion_name,channel,frequency,type,gain,q,,,,,,
sovereign,voice,3000,highshelf,-6,1,,,,,,
sovereign,weapon,3500,highshelf,-9,1,,,,,,
sovereign,weapon_mid,4500,highshelf,-9,1,,,,,,
sovereign,vehicle,3500,highshelf,-9,1,,,,,,
sovereign,aircraft,4500,highshelf,-9,1,,,,,,
sovereign,physics,4500,highshelf,-6,1,,,,,,
sovereign,body,2200,highshelf,-9,1,,,,,,
sovereign,alarm,3500,highshelf,-12,1,,,,,,
sovereign,reload,2200,highshelf,-9,1,,,,,,
sovereign,auto,2200,highshelf,-9,1,,,,,,
sovereign,auto2,3000,highshelf,-6,1,,,,,,
sovereign,explosiveimpact,3000,highshelf,-9,1,,,,,,
sovereign,explosion1,2800,highshelf,-12,1,,,,,,
sovereign,explosion2,3800,highshelf,-9,1,,,,,,
sovereign,explosion3,5000,highshelf,-6,1,,,,,,
sovereign,explosion4,1000,highshelf,-12,1,,,,,,
sovereign,explosion5,1000,highshelf,-12,1,,,,,,
sovereign,explosiondist1,5000,highshelf,-6,1,,,,,,
sovereign,explosiondist2,5000,highshelf,-6,1,,,,,,
sovereign,bulletimpact,1500,highshelf,-6,1,,,,,,
sovereign,bulletflesh1,1500,highshelf,-6,1,,,,,,
sovereign,bulletflesh1,1500,highshelf,-6,1,,,,,,
sovereign,element_ext,1500,highshelf,-6,1,,,,,,
sovereign,element_int,1500,highshelf,-6,1,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
