zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_strikezone,ambient_mp_strikezone,,,default,default,default,exterior_spaces,,,,
mp_strikezone_nuke,ambient_mp_strikezone_nuke,,,default,default,default,exterior_spaces,,,,
strike_lg_part_cover,ambient_mp_strikezone,,,lg_partcover,default,default,partial_cover,,,,
strike_lg_room,ambient_mp_strikezone,,,lg_room,interior,interior,large_spaces,,,,
strike_lg_room_dark,ambient_mp_strikezone,,,lg_room_dark,interior,interior,large_spaces,,,,
strike_lg_tunnel,ambient_mp_strikezone,,,lg_tunnel,interior,interior,large_spaces,,,,
strike_med_room,ambient_mp_strikezone,,,md_room,interior,interior,med_spaces,,,,
strike_med_room_dark,ambient_mp_strikezone,,,md_room_dark,interior,interior,med_spaces,,,,
strike_med_part_cover,ambient_mp_strikezone,,,md_partcover,default,default,partial_cover,,,,
strike_med_hallway,ambient_mp_strikezone,,,md_hallway,interior,interior,small_spaces,,,,
strike_sm_partcover,ambient_mp_strikezone,,,sm_partcover,default,default,partial_cover,,,,
strike_sm_room,ambient_mp_strikezone,,,sm_room,interior,interior,small_spaces,,,,
strike_sm_room_dark,ambient_mp_strikezone,,,sm_room_dark,interior,interior,small_spaces,,,,
strike_sm_container,ambient_mp_strikezone,,,sm_container,interior,interior,tight_spaces,,,,
strike_sm_pipe,ambient_mp_strikezone,,,sm_pipe,interior,interior,tight_spaces,,,,
strike_sm_hallway,ambient_mp_strikezone,,,sm_hallway,interior,interior,small_spaces,,,,
strike_sm_hallway_dark,ambient_mp_strikezone,,,sm_hallway_dark,interior,interior,small_spaces,,,,
strike_ext_street,ambient_mp_strikezone,,,ext_street,default,default,exterior_spaces,,,,
strike_ext_reflect,ambient_mp_strikezone,,,ext_reflect,default,default,partial_cover,,,,
strike_md_ext_alley,ambient_mp_strikezone,,,md_ext_alley,default,default,exterior_spaces,,,,
strike_sm_ext_alley,ambient_mp_strikezone,,,sm_ext_alley,default,default,exterior_spaces,,,,
strike_sm_room_tight,ambient_mp_strikezone,,,sm_room,interior,default,tight_spaces,,,,
strike_sm_room_tight_dark,ambient_mp_strikezone,,,sm_room_dark,interior,default,tight_spaces,,,,
strike_lg_room_light,ambient_mp_strikezone,,,lg_room,interior_light,interior,large_spaces,,,,
