zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_swamp,ambient_mp_swamp,swamp_insect_elements,,default,default,default,exterior_spaces,,,,
swamp_lg_part_cover,ambient_mp_swamp,swamp_insect_elements,,lg_partcover,default,default,partial_cover,,,,
swamp_lg_room,ambient_mp_swamp,,,lg_room,interior,interior,large_spaces,,,,
swamp_lg_room_dark,ambient_mp_swamp,,,lg_room_dark,interior,interior,large_spaces,,,,
swamp_lg_tunnel,ambient_mp_swamp,swamp_insect_elements,,lg_tunnel,default,default,large_spaces,,,,
swamp_med_room,ambient_mp_swamp,,,md_room,interior,interior,med_spaces,,,,
swamp_med_room_dark,ambient_mp_swamp,,,md_room_dark,interior,interior,med_spaces,,,,
swamp_med_part_cover,ambient_mp_swamp,swamp_insect_elements,,md_partcover,default,default,partial_cover,,,,
swamp_med_hallway,ambient_mp_swamp,,,md_hallway,interior,interior,small_spaces,,,,
swamp_sm_partcover,ambient_mp_swamp,swamp_insect_elements,,sm_partcover,default,default,partial_cover,,,,
swamp_sm_room,ambient_mp_swamp,,,sm_room,interior,interior,small_spaces,,,,
swamp_sm_room_dark,ambient_mp_swamp,,,sm_room_dark,interior,interior,small_spaces,,,,
swamp_sm_container,ambient_mp_swamp,,,sm_container,interior,interior,tight_spaces,,,,
swamp_sm_pipe,ambient_mp_swamp,,,sm_pipe,interior,interior,tight_spaces,,,,
swamp_sm_hallway,ambient_mp_swamp,,,sm_hallway,interior,interior,small_spaces,,,,
swamp_sm_hallway_dark,ambient_mp_swamp,,,sm_hallway_dark,interior,interior,small_spaces,,,,
swamp_ext_street,ambient_mp_swamp,swamp_insect_elements,,ext_street,default,default,exterior_spaces,,,,
swamp_ext_reflect,ambient_mp_swamp,swamp_insect_elements,,ext_reflect,default,default,partial_cover,,,,
swamp_md_ext_alley,ambient_mp_swamp,swamp_insect_elements,,md_ext_alley,default,default,exterior_spaces,,,,
swamp_sm_ext_alley,ambient_mp_swamp,swamp_insect_elements,,sm_ext_alley,default,default,exterior_spaces,,,,
swamp_sm_room_tight,ambient_mp_swamp,,,sm_room,interior,interior,tight_spaces,,,,
swamp_sm_room_tight_dark,ambient_mp_swamp,,,sm_room_dark,interior,interior,tight_spaces,,,,
swamp_lg_tunnel_int,ambient_mp_swamp,,,lg_tunnel,interior,interior,large_spaces,,,,
swamp_lg_room_dark_ext,ambient_mp_swamp,,,lg_room_dark,interior_light,interior,large_spaces,,,,
swamp_sm_room_dark_light,ambient_mp_swamp,,,sm_room_dark,interior_light,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
swamp_insect_elements,5,20,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
swamp_insect_elements,elm_insect_fly,0.7,,,,,,,,,
swamp_insect_elements,elm_insect_bee,0.6,,,,,,,,,
swamp_insect_elements,elm_insect_mosquito,0.8,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
elm_insect_fly,elm_swamp_insect_fly,1,2,,,,,,,,
elm_insect_bee,elm_swamp_insect_bee,1,2,,,,,,,,
elm_insect_mosquito,elm_swamp_insect_mosq,1,2,,,,,,,,
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
