zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,,,,,
mp_zebra,ambient_mp_zebra,,,,default,default,,,,,
zebra_lg_part_cover,ambient_mp_zebra,,,lg_partcover,default,default,partial_cover,,,,
zebra_lg_room,ambient_mp_zebra,,,lg_room,interior,interior,large_spaces,,,,
zebra_lg_room_dark,ambient_mp_zebra,,,lg_room_dark,interior,interior,large_spaces,,,,
zebra_lg_tunnel,ambient_mp_zebra,,,lg_tunnel,interior,interior,large_spaces,,,,
zebra_med_room,ambient_mp_zebra,,,md_room,interior,interior,med_spaces,,,,
zebra_med_room_dark,ambient_mp_zebra,,,md_room_dark,interior,interior,med_spaces,,,,
zebra_med_part_cover,ambient_mp_zebra,,,md_partcover,default,default,partial_cover,,,,
zebra_med_hallway,ambient_mp_zebra,,,md_hallway,interior,interior,small_spaces,,,,
zebra_sm_partcover,ambient_mp_zebra,,,sm_partcover,default,default,partial_cover,,,,
zebra_sm_room,ambient_mp_zebra,,,sm_room,interior,interior,small_spaces,,,,
zebra_sm_room_dark,ambient_mp_zebra,,,sm_room_dark,interior,interior,small_spaces,,,,
zebra_sm_container,ambient_mp_zebra,,,sm_container,interior,interior,tight_spaces,,,,
zebra_sm_pipe,ambient_mp_zebra,,,sm_pipe,interior,interior,tight_spaces,,,,
zebra_sm_hallway,ambient_mp_zebra,,,sm_hallway,interior,interior,small_spaces,,,,
zebra_sm_hallway_dark,ambient_mp_zebra,,,sm_hallway_dark,interior,interior,small_spaces,,,,
zebra_ext_street,ambient_mp_zebra,,,ext_street,default,default,exterior_spaces,,,,
zebra_ext_reflect,ambient_mp_zebra,,,ext_reflect,default,default,partial_cover,,,,
zebra_md_ext_alley,ambient_mp_zebra,,,md_ext_alley,default,default,exterior_spaces,,,,
zebra_sm_ext_alley,ambient_mp_zebra,,,sm_ext_alley,default,default,exterior_spaces,,,,
zebra_hangar,ambient_mp_zebra,,,lg_room,interior_light,interior,large_spaces,,,,
zebra_sm_room_light,ambient_mp_zebra,,,sm_room,interior_light,interior,small_spaces,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
END_OF_FILE,,,,,,,,,,,
