zone_name,ambience,ambient_name,mix,reverb,filter,occlusion,player_adsr,,,,
mp_zulu,ambient_mp_zulu,,,ext_street,default,default_zulu,exterior_spaces,,,,
zulu_lg_part_cover,ambient_mp_zulu,,,lg_partcover,default,default_zulu,partial_cover,,,,
zulu_lg_room,ambient_mp_zulu,,,lg_room,interior,interior,large_spaces,,,,
zulu_lg_room_dark,ambient_mp_zulu,,,lg_room_dark,interior,interior,large_spaces,,,,
zulu_lg_tunnel,ambient_mp_zulu,,,lg_tunnel,interior,interior,large_spaces,,,,
zulu_med_room,ambient_mp_zulu,,,md_room,interior,interior,med_spaces,,,,
zulu_med_room_dark,ambient_mp_zulu,,,md_room_dark,interior,interior,med_spaces,,,,
zulu_med_part_cover,ambient_mp_zulu,,,md_partcover,default,default_zulu,partial_cover,,,,
zulu_med_hallway,ambient_mp_zulu,,,md_hallway,interior,interior,small_spaces,,,,
zulu_sm_partcover,ambient_mp_zulu,,,sm_partcover,default,default_zulu,partial_cover,,,,
zulu_sm_room,ambient_mp_zulu,,,sm_room,interior,interior,small_spaces,,,,
zulu_sm_room_dark,ambient_mp_zulu,,,sm_room_dark,interior,interior,small_spaces,,,,
zulu_sm_container,ambient_mp_zulu,,,sm_container,interior,interior,tight_spaces,,,,
zulu_sm_pipe,ambient_mp_zulu,,,sm_pipe,default,interior,tight_spaces,,,,
zulu_sm_hallway,ambient_mp_zulu,,,sm_hallway,interior,interior,small_spaces,,,,
zulu_sm_hallway_dark,ambient_mp_zulu,,,sm_hallway_dark,interior,interior,small_spaces,,,,
zulu_ext_street,ambient_mp_zulu,,,ext_street,default,default_zulu,exterior_spaces,,,,
zulu_ext_reflect,ambient_mp_zulu,,,ext_reflect,default,default_zulu,partial_cover,,,,
zulu_md_ext_alley,ambient_mp_zulu,,,md_ext_alley,default,default_zulu,exterior_spaces,,,,
zulu_sm_ext_alley,ambient_mp_zulu,,,sm_ext_alley,default,default_zulu,exterior_spaces,,,,
zulu_sm_room_tight,ambient_mp_zulu,,,sm_room,interior,interior,tight_spaces,,,,
zulu_sm_room_tight_dark,ambient_mp_zulu,,,sm_room_dark,interior,interior,tight_spaces,,,,
zulu_lg_tunnel_ext,ambient_mp_zulu,,,lg_tunnel,default,default_zulu,large_spaces,,,,
zulu_lg_tunnel_light,ambient_mp_zulu,,,lg_tunnel,interior,default_zulu,large_spaces,,,,
zulu_sm_hallway_ext,ambient_mp_zulu,,,sm_hallway,default,default_zulu,small_spaces,,,,
zulu_sm_room_ext,ambient_mp_zulu,,,sm_room,default,default_zulu,small_spaces,,,,
zulu_sm_hallway_light,ambient_mp_zulu,,,sm_hallway,interior,interior,small_spaces,,,,
zulu_lg_room_ext,ambient_mp_zulu,,,lg_room,default,interior,large_spaces,,,,
zulu_med_room_ext,ambient_mp_zulu,,,md_room,default,interior,med_spaces,,,,
zulu_med_hallway_light,ambient_mp_zulu,,,md_hallway,interior,interior,small_spaces,,,,
occlusion_name,channel,frequency,type,gain,q,,,,,,
default_zulu,music_emitter,7000,highshelf,-3,1,,,,,,
default_zulu,voice,4000,highshelf,-6,1,,,,,,
default_zulu,weapon,5500,highshelf,-6,1,,,,,,
default_zulu,weapon_mid,6500,highshelf,-6,1,,,,,,
default_zulu,vehicle,4500,highshelf,-6,1,,,,,,
default_zulu,aircraft,5500,highshelf,-6,1,,,,,,
default_zulu,physics,5500,highshelf,-6,1,,,,,,
default_zulu,body,3200,highshelf,-9,1,,,,,,
default_zulu,alarm,4000,highshelf,-9,1,,,,,,
default_zulu,reload,3200,highshelf,-9,1,,,,,,
default_zulu,auto,3200,highshelf,-9,1,,,,,,
default_zulu,auto2,3500,highshelf,-6,1,,,,,,
default_zulu,autodog,4400,highshelf,-6,1,,,,,,
default_zulu,explosiveimpact,4400,highshelf,-6,1,,,,,,
default_zulu,explosion1,4800,highshelf,-6,1,,,,,,
default_zulu,explosion2,5800,highshelf,-6,1,,,,,,
default_zulu,explosion3,7000,highshelf,-3,1,,,,,,
default_zulu,explosion4,3000,highshelf,-6,1,,,,,,
default_zulu,explosion5,2500,highshelf,-6,1,,,,,,
default_zulu,bulletimpact,3500,highshelf,-6,1,,,,,,
default_zulu,bulletflesh1,3500,highshelf,-6,1,,,,,,
default_zulu,bulletflesh2,3500,highshelf,-6,1,,,,,,
filter_name,channel,band,type,freq,gain,q,,,,,
reverb_name,roomtype,drylevel,wetlevel,fade,,,,,,,
mix_name,channel,volume,fade,,,,,,,,
ambient_name,time_min,time_max,,,,,,,,,
ambient_event,element,weight,,,,,,,,,
ambient_element,alias,range_min,range_max,cone_min,cone_max,time_min,time_max,travel_min,travel_max,travel_time_min,travel_time_max
adsr_zone_player,weapon,adsr,,,,,,,,,
adsr_zone_npc,weapon,adsr,,,,,,,,,
adsr_name,att_len,dec_len,sus_len,sus_level,rel_len,,,,,,
END_OF_FILE,,,,,,,,,,,
